Date,Team 1,FT,HT,Team 2
Sat Sep 10 2011,Ankaragucu,1-2,0-0,Mersin Idman Yurdu
Sat Sep 10 2011,Eskisehirspor,2-1,1-1,Besiktas
Sat Sep 10 2011,Manisaspor,1-1,0-1,Trabzonspor
Sat Sep 10 2011,Samsunspor,3-2,3-0,Genclerbirligi
Sun Sep 11 2011,Antalyaspor,1-0,0-0,Gaziantepspor
Sun Sep 11 2011,Bursaspor,3-0,2-0,Kayserispor
Sun Sep 11 2011,Buyuksehyr,2-0,1-0,Galatasaray
Sun Sep 11 2011,Karabukspor,2-1,2-1,Sivasspor
Mon Sep 12 2011,Fenerbahce,1-0,1-0,Orduspor
Fri Sep 16 2011,Gaziantepspor,1-3,1-1,Fenerbahce
Fri Sep 16 2011,Kayserispor,0-1,0-0,Antalyaspor
Sat Sep 17 2011,Genclerbirligi,2-1,2-0,Karabukspor
Sat Sep 17 2011,Orduspor,1-0,1-0,Manisaspor
Sat Sep 17 2011,Trabzonspor,0-1,0-0,Buyuksehyr
Sun Sep 18 2011,Galatasaray,3-1,1-0,Samsunspor
Sun Sep 18 2011,Mersin Idman Yurdu,1-3,1-1,Bursaspor
Sun Sep 18 2011,Sivasspor,0-4,0-2,Eskisehirspor
Mon Sep 19 2011,Besiktas,3-1,1-0,Ankaragucu
Tue Sep 20 2011,Buyuksehyr,1-1,0-1,Orduspor
Tue Sep 20 2011,Fenerbahce,1-1,1-0,Manisaspor
Tue Sep 20 2011,Gaziantepspor,1-2,1-0,Kayserispor
Wed Sep 21 2011,Antalyaspor,1-2,0-1,Mersin Idman Yurdu
Wed Sep 21 2011,Eskisehirspor,0-0,0-0,Genclerbirligi
Wed Sep 21 2011,Karabukspor,1-1,0-0,Galatasaray
Wed Sep 21 2011,Samsunspor,1-1,0-1,Trabzonspor
Thu Sep 22 2011,Ankaragucu,1-2,0-1,Sivasspor
Thu Sep 22 2011,Bursaspor,1-2,1-0,Besiktas
Fri Sep 23 2011,Kayserispor,0-1,0-1,Fenerbahce
Sat Sep 24 2011,Manisaspor,0-2,0-1,Buyuksehyr
Sat Sep 24 2011,Mersin Idman Yurdu,2-0,1-0,Gaziantepspor
Sat Sep 24 2011,Trabzonspor,3-1,1-1,Karabukspor
Sun Sep 25 2011,Besiktas,1-0,1-0,Antalyaspor
Sun Sep 25 2011,Genclerbirligi,1-1,1-0,Ankaragucu
Sun Sep 25 2011,Orduspor,0-0,0-0,Samsunspor
Sun Sep 25 2011,Sivasspor,3-0,0-0,Bursaspor
Mon Sep 26 2011,Galatasaray,2-0,1-0,Eskisehirspor
Fri Sep 30 2011,Bursaspor,4-0,1-0,Genclerbirligi
Sat Oct 1 2011,Antalyaspor,2-2,1-1,Sivasspor
Sat Oct 1 2011,Fenerbahce,4-2,0-0,Buyuksehyr
Sat Oct 1 2011,Karabukspor,1-2,0-2,Orduspor
Sun Oct 2 2011,Ankaragucu,0-3,0-2,Galatasaray
Sun Oct 2 2011,Eskisehirspor,0-2,0-0,Trabzonspor
Sun Oct 2 2011,Kayserispor,2-2,1-2,Mersin Idman Yurdu
Sun Oct 2 2011,Samsunspor,1-2,1-2,Manisaspor
Mon Oct 3 2011,Gaziantepspor,0-0,0-0,Besiktas
Fri Oct 14 2011,Trabzonspor,3-2,1-1,Ankaragucu
Sat Oct 15 2011,Besiktas,0-2,0-0,Kayserispor
