Date,Team 1,FT,HT,Team 2
Sat Sep 22 2001,Olympiakos,3-0,2-0,Iraklis
Sun Sep 23 2001,Akratitos,2-0,1-0,Xanthi
Sun Sep 23 2001,Ionikos,1-2,0-1,AEK
Sun Sep 23 2001,OFI,2-0,2-0,Eth Asteras
Sun Sep 23 2001,Panahaiki,5-3,3-0,Egaleo
Sun Sep 23 2001,Panionios,2-2,1-1,Panathinaikos
Sun Sep 23 2001,PAOK,1-1,0-0,Aris
Sat Sep 29 2001,Xanthi,2-0,1-0,Panahaiki
Sun Sep 30 2001,AEK,4-0,2-0,Egaleo
Sun Sep 30 2001,Aris,1-0,0-0,Ionikos
Sun Sep 30 2001,Eth Asteras,2-1,1-1,Akratitos
Sun Sep 30 2001,Iraklis,3-1,0-0,PAOK
Sun Sep 30 2001,Olympiakos,2-0,1-0,Panionios
Sun Sep 30 2001,Panathinaikos,5-1,4-1,OFI
Sat Oct 13 2001,Akratitos,0-0,0-0,Panathinaikos
Sun Oct 14 2001,AEK,2-0,0-0,Xanthi
Sun Oct 14 2001,Egaleo,0-0,0-0,Aris
Sun Oct 14 2001,Ionikos,1-1,0-0,Iraklis
Sun Oct 14 2001,Panahaiki,0-0,0-0,Eth Asteras
Sun Oct 14 2001,Panionios,1-1,1-0,OFI
Sun Oct 14 2001,PAOK,1-1,0-0,Olympiakos
Sat Oct 20 2001,Olympiakos,5-0,1-0,Ionikos
Sat Oct 20 2001,Panathinaikos,8-0,5-0,Panahaiki
Sun Oct 21 2001,Aris,1-1,0-1,Xanthi
Sun Oct 21 2001,Eth Asteras,2-0,0-0,AEK
Sun Oct 21 2001,Iraklis,2-0,1-0,Egaleo
Sun Oct 21 2001,OFI,1-0,0-0,Akratitos
Sun Oct 21 2001,PAOK,3-1,1-1,Panionios
Sat Nov 3 2001,Xanthi,4-1,3-0,Iraklis
Sun Nov 4 2001,AEK,2-0,1-0,Panathinaikos
Sun Nov 4 2001,Aris,4-2,2-1,Eth Asteras
Sun Nov 4 2001,Egaleo,3-4,2-1,Olympiakos
Sun Nov 4 2001,Ionikos,1-1,1-1,PAOK
Sun Nov 4 2001,Panahaiki,1-2,1-0,OFI
Sun Nov 4 2001,Panionios,2-2,0-1,Akratitos
Sun Nov 18 2001,Akratitos,3-1,2-0,Panahaiki
Sun Nov 18 2001,Ionikos,1-1,1-1,Panionios
Sun Nov 18 2001,Iraklis,0-0,0-0,Eth Asteras
Sun Nov 18 2001,OFI,0-1,0-0,AEK
Sun Nov 18 2001,Olympiakos,1-1,0-1,Xanthi
Sun Nov 18 2001,Panathinaikos,2-1,1-0,Aris
Sun Nov 18 2001,PAOK,3-1,1-1,Egaleo
Sat Nov 24 2001,Aris,1-0,1-0,OFI
Sat Nov 24 2001,Eth Asteras,2-4,1-2,Olympiakos
Sun Nov 25 2001,AEK,3-0,0-0,Akratitos
Sun Nov 25 2001,Egaleo,2-2,1-1,Ionikos
Sun Nov 25 2001,Iraklis,2-1,0-0,Panathinaikos
Sun Nov 25 2001,Panionios,2-0,2-0,Panahaiki
Sun Nov 25 2001,Xanthi,1-0,0-0,PAOK
Sat Dec 1 2001,OFI,1-0,1-0,Iraklis
Sat Dec 1 2001,Olympiakos,2-2,2-0,Panathinaikos
Sun Dec 2 2001,Akratitos,0-1,0-1,Aris
Sun Dec 2 2001,Egaleo,0-1,0-0,Panionios
Sun Dec 2 2001,Ionikos,1-1,0-0,Xanthi
Sun Dec 2 2001,Panahaiki,0-1,0-1,AEK
Sun Dec 2 2001,PAOK,2-1,1-1,Eth Asteras
Sat Dec 8 2001,Aris,1-1,0-1,Panahaiki
Sat Dec 8 2001,OFI,1-1,0-1,Olympiakos
Sun Dec 9 2001,Eth Asteras,1-0,0-0,Ionikos
Sun Dec 9 2001,Iraklis,1-1,0-1,Akratitos
Sun Dec 9 2001,Panathinaikos,1-2,1-0,PAOK
Sun Dec 9 2001,Panionios,2-6,1-2,AEK
Sun Dec 9 2001,Xanthi,4-2,3-1,Egaleo
Sat Dec 15 2001,Akratitos,2-3,2-2,Olympiakos
Sat Dec 15 2001,Panahaiki,1-1,0-1,Iraklis
Sun Dec 16 2001,AEK,4-2,1-1,Aris
Sun Dec 16 2001,Egaleo,1-0,1-0,Eth Asteras
Sun Dec 16 2001,Ionikos,0-2,0-0,Panathinaikos
Sun Dec 16 2001,PAOK,3-2,0-1,OFI
Sun Dec 16 2001,Xanthi,3-1,2-1,Panionios
Sat Jan 12 2002,Eth Asteras,0-0,0-0,Xanthi
Sun Jan 13 2002,Akratitos,1-2,1-2,PAOK
Sun Jan 13 2002,Iraklis,3-2,2-0,AEK
Sun Jan 13 2002,OFI,4-0,1-0,Ionikos
Sun Jan 13 2002,Olympiakos,4-0,1-0,Panahaiki
Sun Jan 13 2002,Panathinaikos,2-1,0-0,Egaleo
Sun Jan 13 2002,Panionios,1-0,0-0,Aris
Sun Jan 20 2002,AEK,2-3,2-1,Olympiakos
Sun Jan 20 2002,Aris,1-1,1-1,Iraklis
Sun Jan 20 2002,Egaleo,0-0,0-0,OFI
Sun Jan 20 2002,Eth Asteras,0-2,0-1,Panionios
Sun Jan 20 2002,Ionikos,2-1,1-0,Akratitos
Sun Jan 20 2002,Panahaiki,3-3,0-2,PAOK
Sun Jan 20 2002,Xanthi,1-2,1-1,Panathinaikos
Sat Jan 26 2002,Akratitos,0-1,0-1,Egaleo
Sun Jan 27 2002,OFI,0-1,0-0,Xanthi
Sun Jan 27 2002,Olympiakos,0-1,0-0,Aris
Sun Jan 27 2002,Panahaiki,0-2,0-1,Ionikos
Sun Jan 27 2002,Panathinaikos,1-0,0-0,Eth Asteras
Sun Jan 27 2002,Panionios,0-1,0-0,Iraklis
Sun Jan 27 2002,PAOK,3-2,2-2,AEK
Sat Feb 2 2002,Aris,2-3,1-2,PAOK
Sun Feb 3 2002,AEK,4-0,1-0,Ionikos
Sun Feb 3 2002,Egaleo,2-1,1-0,Panahaiki
Sun Feb 3 2002,Eth Asteras,2-3,2-1,OFI
Sun Feb 3 2002,Iraklis,1-1,0-0,Olympiakos
Sun Feb 3 2002,Panathinaikos,2-1,1-0,Panionios
Sun Feb 3 2002,Xanthi,3-0,0-0,Akratitos
Sat Feb 9 2002,OFI,0-1,0-0,Panathinaikos
Sun Feb 10 2002,Egaleo,1-3,1-1,AEK
Sun Feb 10 2002,Ionikos,1-0,1-0,Aris
Sun Feb 10 2002,Panahaiki,1-3,0-2,Xanthi
Sun Feb 10 2002,Panionios,3-1,3-1,Olympiakos
Sun Feb 10 2002,PAOK,3-0,1-0,Iraklis
Sat Feb 16 2002,Iraklis,3-0,2-0,Ionikos
Sat Feb 16 2002,Panathinaikos,1-0,1-0,Akratitos
Sun Feb 17 2002,Aris,1-0,1-0,Egaleo
Sun Feb 17 2002,Eth Asteras,1-1,1-0,Panahaiki
Sun Feb 17 2002,OFI,0-0,0-0,Panionios
Sun Feb 17 2002,Olympiakos,3-2,3-0,PAOK
Sun Feb 17 2002,Xanthi,1-1,1-0,AEK
Sat Feb 23 2002,Panahaiki,0-0,0-0,Panathinaikos
Sun Feb 24 2002,AEK,1-0,1-0,Eth Asteras
Sun Feb 24 2002,Akratitos,1-2,1-2,OFI
Sun Feb 24 2002,Egaleo,2-1,0-0,Iraklis
Sun Feb 24 2002,Ionikos,0-2,0-0,Olympiakos
Sun Feb 24 2002,Panionios,1-1,1-1,PAOK
