Date,Team 1,FT,HT,Team 2
Fri Aug 24 2001,Genoa,0-2,0-0,Napoli
Sun Aug 26 2001,Ancona,1-0,1-0,Reggina
Sun Aug 26 2001,Cagliari,0-0,0-0,Messina
Sun Aug 26 2001,Como,1-1,0-0,Crotone
Sun Aug 26 2001,Cosenza,2-1,0-0,Cittadella
Sun Aug 26 2001,Empoli,5-3,2-0,Palermo
Sun Aug 26 2001,Modena,2-0,1-0,Bari
Sun Aug 26 2001,Salernitana,2-0,0-0,Sampdoria
Sun Aug 26 2001,Ternana,3-0,1-0,Siena
Sun Aug 26 2001,Vicenza,1-1,0-0,Pistoiese
Sun Sep 2 2001,Bari,2-2,1-1,Empoli
Sun Sep 2 2001,Cittadella,4-4,3-2,Salernitana
Sun Sep 2 2001,Crotone,1-2,0-0,Modena
Sun Sep 2 2001,Messina,1-1,0-0,Ternana
Sun Sep 2 2001,Napoli,1-2,1-1,Ancona
Sun Sep 2 2001,Pistoiese,0-1,0-0,Genoa
Sun Sep 2 2001,Reggina,4-1,1-0,Como
Sun Sep 2 2001,Sampdoria,1-1,1-1,Cosenza
Sun Sep 2 2001,Siena,2-4,2-1,Vicenza
Mon Sep 3 2001,Palermo,0-0,0-0,Cagliari
Sun Sep 9 2001,Ancona,0-0,0-0,Siena
Sun Sep 9 2001,Cagliari,1-2,1-2,Bari
Sun Sep 9 2001,Cosenza,2-2,2-0,Ternana
Sun Sep 9 2001,Empoli,2-0,0-0,Messina
Sun Sep 9 2001,Genoa,2-1,1-1,Como
Sun Sep 9 2001,Palermo,1-0,1-0,Pistoiese
Sun Sep 9 2001,Salernitana,0-0,0-0,Crotone
Sun Sep 9 2001,Vicenza,2-1,1-0,Cittadella
Mon Sep 10 2001,Modena,4-1,2-1,Napoli
Mon Sep 10 2001,Reggina,2-0,1-0,Sampdoria
Sun Sep 16 2001,Como,1-0,1-0,Salernitana
Sun Sep 16 2001,Crotone,4-2,2-1,Cagliari
Sun Sep 16 2001,Messina,1-1,0-0,Ancona
Sun Sep 16 2001,Pistoiese,0-1,0-1,Cosenza
Sun Sep 16 2001,Sampdoria,0-2,0-2,Empoli
Sun Sep 16 2001,Siena,0-1,0-1,Genoa
Sun Sep 16 2001,Ternana,0-0,0-0,Modena
Mon Sep 17 2001,Bari,2-0,1-0,Palermo
Mon Sep 17 2001,Cittadella,0-2,0-0,Reggina
Sun Sep 23 2001,Ancona,1-0,1-0,Crotone
Sun Sep 23 2001,Cosenza,1-4,0-0,Como
Sun Sep 23 2001,Empoli,1-0,0-0,Napoli
Sun Sep 23 2001,Genoa,3-0,3-0,Messina
Sun Sep 23 2001,Modena,2-2,1-2,Siena
Sun Sep 23 2001,Palermo,3-1,1-0,Cittadella
Sun Sep 23 2001,Reggina,0-0,0-0,Bari
Sun Sep 23 2001,Salernitana,2-1,1-0,Pistoiese
Sun Sep 23 2001,Vicenza,1-1,0-0,Ternana
Mon Sep 24 2001,Cagliari,0-2,0-0,Sampdoria
Fri Sep 28 2001,Ternana,0-0,0-0,Genoa
Sun Sep 30 2001,Bari,0-2,0-1,Crotone
Sun Sep 30 2001,Cittadella,2-1,1-0,Empoli
Sun Sep 30 2001,Como,1-0,1-0,Ancona
Sun Sep 30 2001,Cosenza,0-1,0-0,Reggina
Sun Sep 30 2001,Messina,0-0,0-0,Vicenza
Sun Sep 30 2001,Napoli,0-0,0-0,Cagliari
Sun Sep 30 2001,Pistoiese,0-0,0-0,Modena
Sun Sep 30 2001,Sampdoria,1-2,0-0,Palermo
Mon Oct 1 2001,Siena,2-1,0-1,Salernitana
Sun Oct 7 2001,Ancona,1-1,0-0,Genoa
Sun Oct 7 2001,Cagliari,1-1,0-0,Siena
Sun Oct 7 2001,Crotone,1-2,1-1,Cittadella
