Date,Team 1,FT,HT,Team 2
Fri Mar 1 2024,Shandong Taishan,4-2,?,Changchun Yatai
Fri Mar 1 2024,Qingdao West Coast,1-1,?,Henan Songshan Longmen
Fri Mar 1 2024,Shanghai Port,3-1,?,Wuhan Three Towns
Sat Mar 2 2024,Cangzhou,0-2,?,Beijing Guoan
Sat Mar 2 2024,Tianjin Jinmen Tiger,1-1,?,Nantong Zhiyun
Sat Mar 2 2024,Chengdu Rongcheng,2-0,?,Qingdao Hainiu
Sun Mar 3 2024,Zhejiang Professional,1-0,?,Shenzhen Xinpengcheng
Sun Mar 3 2024,Meizhou Hakka,0-2,?,Shanghai Shenhua
Fri Mar 8 2024,Qingdao Hainiu,0-1,?,Changchun Yatai
Fri Mar 8 2024,Shanghai Shenhua,2-0,?,Qingdao West Coast
Sat Mar 9 2024,Henan Songshan Longmen,2-2,?,Meizhou Hakka
Sat Mar 9 2024,Shandong Taishan,0-0,?,Beijing Guoan
Sat Mar 9 2024,Zhejiang Professional,0-0,?,Shanghai Port
Sat Mar 9 2024,Nantong Zhiyun,1-3,?,Wuhan Three Towns
Sun Mar 10 2024,Cangzhou,1-0,?,Chengdu Rongcheng
Sun Mar 10 2024,Shenzhen Xinpengcheng,0-4,?,Tianjin Jinmen Tiger
Fri Mar 29 2024,Shenzhen Xinpengcheng,2-2,?,Cangzhou
Sat Mar 30 2024,Wuhan Three Towns,0-1,?,Beijing Guoan
Sat Mar 30 2024,Chengdu Rongcheng,1-0,?,Nantong Zhiyun
Sat Mar 30 2024,Qingdao West Coast,1-0,?,Qingdao Hainiu
Sat Mar 30 2024,Shanghai Port,3-1,?,Henan Songshan Longmen
Sun Mar 31 2024,Changchun Yatai,0-1,?,Tianjin Jinmen Tiger
Sun Mar 31 2024,Shandong Taishan,0-3,?,Shanghai Shenhua
Sun Mar 31 2024,Meizhou Hakka,1-2,?,Zhejiang Professional
Thu Apr 4 2024,Wuhan Three Towns,2-3,?,Cangzhou
Fri Apr 5 2024,Changchun Yatai,1-2,?,Shanghai Shenhua
Fri Apr 5 2024,Henan Songshan Longmen,0-2,?,Shenzhen Xinpengcheng
Fri Apr 5 2024,Beijing Guoan,2-2,?,Shanghai Port
Fri Apr 5 2024,Qingdao Hainiu,0-1,?,Shandong Taishan
Fri Apr 5 2024,Nantong Zhiyun,1-0,?,Meizhou Hakka
Sat Apr 6 2024,Tianjin Jinmen Tiger,2-3,?,Chengdu Rongcheng
Sat Apr 6 2024,Zhejiang Professional,1-2,?,Qingdao West Coast
Tue Apr 9 2024,Nantong Zhiyun,0-3,?,Shanghai Port
Tue Apr 9 2024,Beijing Guoan,1-2,?,Shenzhen Xinpengcheng
Tue Apr 9 2024,Shandong Taishan,2-2,?,Henan Songshan Longmen
Tue Apr 9 2024,Shanghai Shenhua,4-1,?,Wuhan Three Towns
Wed Apr 10 2024,Qingdao West Coast,1-3,?,Tianjin Jinmen Tiger
Wed Apr 10 2024,Cangzhou,2-0,?,Changchun Yatai
Wed Apr 10 2024,Chengdu Rongcheng,3-0,?,Zhejiang Professional
Wed Apr 10 2024,Meizhou Hakka,0-0,?,Qingdao Hainiu
Sat Apr 13 2024,Henan Songshan Longmen,1-1,?,Nantong Zhiyun
Sat Apr 13 2024,Shanghai Shenhua,1-1,?,Beijing Guoan
Sun Apr 14 2024,Changchun Yatai,1-2,?,Chengdu Rongcheng
Sun Apr 14 2024,Tianjin Jinmen Tiger,0-0,?,Meizhou Hakka
Sun Apr 14 2024,Cangzhou,3-2,?,Qingdao West Coast
Sun Apr 14 2024,Qingdao Hainiu,2-0,?,Zhejiang Professional
Sun Apr 14 2024,Shanghai Port,4-3,?,Shandong Taishan
Sun Apr 14 2024,Shenzhen Xinpengcheng,1-1,?,Wuhan Three Towns
Fri Apr 19 2024,Zhejiang Professional,3-2,?,Tianjin Jinmen Tiger
Sat Apr 20 2024,Shandong Taishan,4-1,?,Cangzhou
Sat Apr 20 2024,Chengdu Rongcheng,3-1,?,Shenzhen Xinpengcheng
Sat Apr 20 2024,Wuhan Three Towns,0-0,?,Changchun Yatai
Sat Apr 20 2024,Nantong Zhiyun,0-2,?,Shanghai Shenhua
Sun Apr 21 2024,Henan Songshan Longmen,1-0,?,Qingdao Hainiu
Sun Apr 21 2024,Beijing Guoan,4-1,?,Qingdao West Coast
Fri Apr 26 2024,Qingdao West Coast,0-2,?,Nantong Zhiyun
Fri Apr 26 2024,Shenzhen Xinpengcheng,1-3,?,Qingdao Hainiu
Fri Apr 26 2024,Cangzhou,2-3,?,Henan Songshan Longmen
Fri Apr 26 2024,Changchun Yatai,0-1,?,Meizhou Hakka
Fri Apr 26 2024,Wuhan Three Towns,2-1,?,Tianjin Jinmen Tiger
Fri Apr 26 2024,Zhejiang Professional,1-2,?,Beijing Guoan
Fri Apr 26 2024,Chengdu Rongcheng,0-1,?,Shandong Taishan
Sat Apr 27 2024,Shanghai Port,1-1,?,Shanghai Shenhua
Tue Apr 30 2024,Shandong Taishan,3-1,?,Nantong Zhiyun
Tue Apr 30 2024,Tianjin Jinmen Tiger,0-1,?,Beijing Guoan
Tue Apr 30 2024,Meizhou Hakka,1-1,?,Qingdao West Coast
Tue Apr 30 2024,Zhejiang Professional,4-1,?,Henan Songshan Longmen
Wed May 1 2024,Changchun Yatai,1-1,?,Shenzhen Xinpengcheng
Wed May 1 2024,Qingdao Hainiu,0-5,?,Shanghai Port
Wed May 1 2024,Chengdu Rongcheng,2-2,?,Wuhan Three Towns
Wed May 1 2024,Shanghai Shenhua,4-0,?,Cangzhou
