Date,Team 1,FT,HT,Team 2
Sun Jul 14 2013,Dynamo Moscow,2-2,?,Volga N. Novgorod
Sun Jul 14 2013,FK Anzi Makhackala,2-2,?,Lokomotiv Moscow
Sun Jul 14 2013,Kuban,1-1,?,Rubin Kazan
Mon Jul 15 2013,FK Rostov,2-1,?,Akhmat Grozny
Tue Jul 16 2013,Amkar,2-0,?,Tomsk
Tue Jul 16 2013,Krylya Sovetov,1-2,?,Spartak Moscow
Wed Jul 17 2013,Ural,2-2,?,CSKA Moscow
Wed Jul 17 2013,Krasnodar,1-2,?,Zenit
Fri Jul 19 2013,Dynamo Moscow,2-1,?,FK Anzi Makhackala
Sat Jul 20 2013,Tomsk,1-2,?,Kuban
Sat Jul 20 2013,Volga N. Novgorod,1-2,?,Lokomotiv Moscow
Sat Jul 20 2013,Akhmat Grozny,1-1,?,Amkar
Sun Jul 21 2013,Rubin Kazan,2-1,?,Zenit
Sun Jul 21 2013,Ural,0-2,?,Spartak Moscow
Sun Jul 21 2013,FK Rostov,2-2,?,Krasnodar
Mon Jul 22 2013,CSKA Moscow,2-1,?,Krylya Sovetov
Fri Jul 26 2013,Zenit,1-1,?,Kuban
Sat Jul 27 2013,Dynamo Moscow,1-4,?,Spartak Moscow
Sat Jul 27 2013,Ural,1-2,?,Volga N. Novgorod
Sat Jul 27 2013,FK Rostov,3-0,?,Tomsk
Sun Jul 28 2013,Lokomotiv Moscow,1-2,?,CSKA Moscow
Sun Jul 28 2013,Krylya Sovetov,1-1,?,FK Anzi Makhackala
Sun Jul 28 2013,Akhmat Grozny,0-0,?,Rubin Kazan
Mon Jul 29 2013,Krasnodar,2-1,?,Amkar
Fri Aug 2 2013,FK Anzi Makhackala,0-1,?,FK Rostov
Sat Aug 3 2013,Volga N. Novgorod,1-3,?,Zenit
Sat Aug 3 2013,Tomsk,1-2,?,Ural
Sat Aug 3 2013,Dynamo Moscow,1-0,?,Akhmat Grozny
Sun Aug 4 2013,Rubin Kazan,0-0,?,CSKA Moscow
Sun Aug 4 2013,Amkar,0-0,?,Krylya Sovetov
Sun Aug 4 2013,Kuban,2-2,?,Spartak Moscow
Mon Aug 5 2013,Lokomotiv Moscow,3-1,?,Krasnodar
Sat Aug 17 2013,Ural,0-0,?,Amkar
Sat Aug 17 2013,Zenit,3-0,?,FK Anzi Makhackala
Sat Aug 17 2013,Akhmat Grozny,0-1,?,Lokomotiv Moscow
Sun Aug 18 2013,CSKA Moscow,1-0,?,Kuban
Sun Aug 18 2013,Spartak Moscow,0-0,?,Rubin Kazan
Sun Aug 18 2013,Krylya Sovetov,1-0,?,Tomsk
Sun Aug 18 2013,Krasnodar,1-1,?,Dynamo Moscow
Mon Aug 19 2013,FK Rostov,4-0,?,Volga N. Novgorod
Sat Aug 24 2013,Dynamo Moscow,1-1,?,Zenit
Sat Aug 24 2013,Tomsk,1-2,?,CSKA Moscow
Sat Aug 24 2013,Volga N. Novgorod,1-0,?,Akhmat Grozny
Sat Aug 24 2013,FK Anzi Makhackala,1-2,?,Krasnodar
Sun Aug 25 2013,Rubin Kazan,1-1,?,Krylya Sovetov
Sun Aug 25 2013,Kuban,3-2,?,Ural
Mon Aug 26 2013,Amkar,2-1,?,Spartak Moscow
Mon Aug 26 2013,Lokomotiv Moscow,5-0,?,FK Rostov
Fri Aug 30 2013,CSKA Moscow,2-1,?,Amkar
Sat Aug 31 2013,Akhmat Grozny,1-1,?,FK Anzi Makhackala
Sat Aug 31 2013,Krasnodar,3-0,?,Volga N. Novgorod
Sun Sep 1 2013,Ural,0-3,?,Rubin Kazan
Sun Sep 1 2013,Zenit,2-1,?,Lokomotiv Moscow
Sun Sep 1 2013,Spartak Moscow,2-1,?,Tomsk
Sun Sep 1 2013,Krylya Sovetov,0-0,?,Kuban
Sun Sep 1 2013,Dynamo Moscow,1-1,?,FK Rostov
Sat Sep 14 2013,CSKA Moscow,1-0,?,FK Rostov
Sat Sep 14 2013,Volga N. Novgorod,0-1,?,Spartak Moscow
Sat Sep 14 2013,Krasnodar,1-1,?,Krylya Sovetov
Sat Sep 14 2013,Zenit,2-0,?,Akhmat Grozny
Sun Sep 15 2013,Lokomotiv Moscow,1-0,?,Kuban
