Date,Team 1,FT,HT,Team 2
Sat Aug 17 2013,Arsenal,1-3,1-1,Aston Villa
Sat Aug 17 2013,Liverpool,1-0,1-0,Stoke
Sat Aug 17 2013,Norwich,2-2,0-0,Everton
Sat Aug 17 2013,Sunderland,0-1,0-0,Fulham
Sat Aug 17 2013,Swansea,1-4,0-2,Man United
Sat Aug 17 2013,West Brom,0-1,0-0,Southampton
Sat Aug 17 2013,West Ham,2-0,1-0,Cardiff
Sun Aug 18 2013,Chelsea,2-0,2-0,Hull
Sun Aug 18 2013,Crystal Palace,0-1,0-0,Tottenham
Mon Aug 19 2013,Man City,4-0,2-0,Newcastle
Wed Aug 21 2013,Chelsea,2-1,1-1,Aston Villa
Sat Aug 24 2013,Aston Villa,0-1,0-1,Liverpool
Sat Aug 24 2013,Everton,0-0,0-0,West Brom
Sat Aug 24 2013,Fulham,1-3,0-2,Arsenal
Sat Aug 24 2013,Hull,1-0,1-0,Norwich
Sat Aug 24 2013,Newcastle,0-0,0-0,West Ham
Sat Aug 24 2013,Southampton,1-1,0-1,Sunderland
Sat Aug 24 2013,Stoke,2-1,0-1,Crystal Palace
Sun Aug 25 2013,Cardiff,3-2,0-0,Man City
Sun Aug 25 2013,Tottenham,1-0,0-0,Swansea
Mon Aug 26 2013,Man United,0-0,0-0,Chelsea
Sat Aug 31 2013,Cardiff,0-0,0-0,Everton
Sat Aug 31 2013,Crystal Palace,3-1,1-0,Sunderland
Sat Aug 31 2013,Man City,2-0,0-0,Hull
Sat Aug 31 2013,Newcastle,1-0,0-0,Fulham
Sat Aug 31 2013,Norwich,1-0,0-0,Southampton
Sat Aug 31 2013,West Ham,0-1,0-0,Stoke
Sun Sep 1 2013,Arsenal,1-0,1-0,Tottenham
Sun Sep 1 2013,Liverpool,1-0,1-0,Man United
Sun Sep 1 2013,West Brom,0-2,0-1,Swansea
Sat Sep 14 2013,Aston Villa,1-2,0-1,Newcastle
Sat Sep 14 2013,Everton,1-0,1-0,Chelsea
Sat Sep 14 2013,Fulham,1-1,1-0,West Brom
Sat Sep 14 2013,Hull,1-1,1-0,Cardiff
Sat Sep 14 2013,Man United,2-0,1-0,Crystal Palace
