Date,Team 1,FT,HT,Team 2
Fri Jul 19 2013,Zaglebie,0-2,?,Pogon Szczecin
Fri Jul 19 2013,Wisla,0-0,?,Gornik Z.
Sat Jul 20 2013,Zawisza,0-1,?,Jagiellonia
Sat Jul 20 2013,Legia,5-1,?,Widzew Lodz
Sun Jul 21 2013,Korona Kielce,0-0,?,Slask Wroclaw
Sun Jul 21 2013,Cracovia,2-3,?,Piast Gliwice
Sun Jul 21 2013,Ruch,1-1,?,Lech Poznan
Mon Jul 22 2013,Lechia Gdansk,2-2,?,Podbeskidzie
Fri Jul 26 2013,Ruch,1-1,?,Lechia Gdansk
Fri Jul 26 2013,Widzew Lodz,2-1,?,Zawisza
Sat Jul 27 2013,Podbeskidzie,1-2,?,Gornik Z.
Sat Jul 27 2013,Pogon Szczecin,0-3,?,Legia
Sun Jul 28 2013,Piast Gliwice,2-1,?,Zaglebie
Sun Jul 28 2013,Slask Wroclaw,2-3,?,Jagiellonia
Sun Jul 28 2013,Lech Poznan,1-1,?,Cracovia
Mon Jul 29 2013,Korona Kielce,2-3,?,Wisla
Fri Aug 2 2013,Cracovia,2-1,?,Ruch
Fri Aug 2 2013,Zawisza,1-1,?,Pogon Szczecin
Sat Aug 3 2013,Widzew Lodz,2-1,?,Korona Kielce
Sat Aug 3 2013,Legia,4-0,?,Podbeskidzie
Sun Aug 4 2013,Gornik Z.,2-1,?,Piast Gliwice
Sun Aug 4 2013,Slask Wroclaw,0-0,?,Wisla
Sun Aug 4 2013,Zaglebie,0-0,?,Lech Poznan
Mon Aug 5 2013,Lechia Gdansk,2-0,?,Jagiellonia
Fri Aug 9 2013,Podbeskidzie,0-0,?,Zaglebie
Fri Aug 9 2013,Wisla,1-1,?,Jagiellonia
Sat Aug 10 2013,Widzew Lodz,0-3,?,Gornik Z.
Sat Aug 10 2013,Lechia Gdansk,3-1,?,Cracovia
Sat Aug 10 2013,Ruch,2-1,?,Legia
Sun Aug 11 2013,Pogon Szczecin,2-2,?,Slask Wroclaw
Sun Aug 11 2013,Lech Poznan,2-0,?,Korona Kielce
Mon Aug 12 2013,Piast Gliwice,1-1,?,Zawisza
Fri Aug 23 2013,Zaglebie,0-1,?,Cracovia
Fri Aug 23 2013,Gornik Z.,2-2,?,Ruch
Sat Aug 24 2013,Zawisza,2-2,?,Podbeskidzie
Sat Aug 24 2013,Jagiellonia,2-3,?,Pogon Szczecin
