Date,Team 1,FT,HT,Team 2
Fri Aug 2 2013,Arles,2-0,2-0,Le Havre
Fri Aug 2 2013,Caen,3-1,1-0,Dijon
Fri Aug 2 2013,Chateauroux,3-3,0-1,Brest
Fri Aug 2 2013,Clermont,2-1,1-1,Tours
Fri Aug 2 2013,Istres,2-4,1-2,Angers
Fri Aug 2 2013,Metz,1-0,0-0,Laval
Fri Aug 2 2013,Nimes,2-3,1-1,Creteil
Fri Aug 2 2013,Niort,1-1,0-0,Troyes
Sat Aug 3 2013,Nancy,0-0,0-0,Auxerre
Sun Aug 4 2013,Lens,1-0,0-0,CA Bastia
Fri Aug 9 2013,Auxerre,1-1,0-0,Nimes
Fri Aug 9 2013,Creteil,3-2,1-1,Metz
Fri Aug 9 2013,Laval,1-2,1-1,Caen
Fri Aug 9 2013,Le Havre,0-1,0-1,Clermont
Fri Aug 9 2013,Tours,1-1,1-0,Niort
Sat Aug 10 2013,Angers,1-0,1-0,Chateauroux
Sat Aug 10 2013,CA Bastia,1-2,0-1,Nancy
Sat Aug 10 2013,Dijon,1-1,1-1,Lens
Sat Aug 10 2013,Troyes,1-0,0-0,Arles
Mon Aug 12 2013,Brest,3-1,1-0,Istres
Fri Aug 16 2013,Caen,3-0,2-0,Creteil
Fri Aug 16 2013,Chateauroux,0-4,0-2,Tours
Fri Aug 16 2013,Clermont,2-1,1-1,Laval
Fri Aug 16 2013,Dijon,1-3,1-1,Angers
Fri Aug 16 2013,Istres,1-1,1-1,CA Bastia
Fri Aug 16 2013,Metz,1-0,1-0,Arles
Fri Aug 16 2013,Nimes,3-2,2-1,Troyes
Fri Aug 16 2013,Niort,1-1,0-1,Le Havre
Sat Aug 17 2013,Lens,4-1,3-1,Auxerre
Mon Aug 19 2013,Nancy,0-1,0-1,Brest
Fri Aug 23 2013,Arles,1-0,0-0,Clermont
Fri Aug 23 2013,Auxerre,2-0,1-0,Chateauroux
Fri Aug 23 2013,CA Bastia,1-1,0-0,Angers
Fri Aug 23 2013,Creteil,2-2,2-1,Istres
Fri Aug 23 2013,Le Havre,1-1,0-0,Nancy
Fri Aug 23 2013,Metz,1-1,0-0,Niort
Fri Aug 23 2013,Tours,3-1,3-0,Nimes
Fri Aug 23 2013,Troyes,2-1,1-0,Caen
Sat Aug 24 2013,Brest,0-0,0-0,Dijon
Sat Aug 24 2013,Laval,0-2,0-0,Lens
Fri Aug 30 2013,Angers,2-1,0-0,Brest
Fri Aug 30 2013,Chateauroux,2-0,1-0,CA Bastia
Fri Aug 30 2013,Clermont,0-0,0-0,Creteil
Fri Aug 30 2013,Dijon,1-0,0-0,Laval
Fri Aug 30 2013,Istres,1-1,1-0,Auxerre
Fri Aug 30 2013,Lens,1-0,0-0,Troyes
Fri Aug 30 2013,Nancy,2-3,0-1,Tours
Fri Aug 30 2013,Nimes,0-0,0-0,Le Havre
Fri Aug 30 2013,Niort,1-0,0-0,Arles
Mon Sep 2 2013,Caen,0-2,0-0,Metz
Fri Sep 13 2013,Arles,3-2,0-2,Caen
Fri Sep 13 2013,CA Bastia,0-0,0-0,Dijon
Fri Sep 13 2013,Creteil,1-1,0-1,Nancy
Fri Sep 13 2013,Laval,4-1,2-1,Angers
Fri Sep 13 2013,Metz,2-2,1-0,Nimes
Fri Sep 13 2013,Niort,0-0,0-0,Clermont
Fri Sep 13 2013,Tours,2-2,2-1,Istres
Fri Sep 13 2013,Troyes,3-0,3-0,Chateauroux
Sat Sep 14 2013,Le Havre,6-2,4-1,Lens
Mon Sep 16 2013,Auxerre,0-0,0-0,Brest
Fri Sep 20 2013,Brest,2-0,2-0,CA Bastia
Fri Sep 20 2013,Caen,3-1,2-0,Niort
Fri Sep 20 2013,Chateauroux,2-2,1-1,Le Havre
Fri Sep 20 2013,Clermont,0-0,0-0,Metz
Fri Sep 20 2013,Dijon,2-0,1-0,Tours
Fri Sep 20 2013,Istres,3-0,1-0,Laval
Fri Sep 20 2013,Lens,1-1,1-1,Creteil
Fri Sep 20 2013,Nancy,2-1,1-0,Troyes
Fri Sep 20 2013,Nimes,1-2,1-1,Arles
Sat Sep 21 2013,Angers,2-0,1-0,Auxerre
Mon Sep 23 2013,Tours,3-1,2-0,Lens
