Date,Team 1,FT,HT,Team 2
Sat Jul 20 2013,Austria Vienna,2-0,?,Admira
Sat Jul 20 2013,Wolfsberger AC,2-2,?,SK Rapid
Sat Jul 20 2013,Grodig,0-0,?,Ried
Sat Jul 20 2013,Neustadt,1-5,?,Salzburg
Sun Jul 21 2013,Wacker Innsbruck,2-2,?,Sturm Graz
Sat Jul 27 2013,SK Rapid,4-0,?,Neustadt
Sat Jul 27 2013,Admira,1-2,?,Wacker Innsbruck
Sat Jul 27 2013,Ried,1-0,?,Wolfsberger AC
Sat Jul 27 2013,Salzburg,5-1,?,Austria Vienna
Sun Jul 28 2013,Sturm Graz,0-2,?,Grodig
Sat Aug 3 2013,Neustadt,2-1,?,Wolfsberger AC
Sat Aug 3 2013,Austria Vienna,3-3,?,Ried
Sat Aug 3 2013,Grodig,7-1,?,Admira
Sat Aug 3 2013,Wacker Innsbruck,1-1,?,Salzburg
Sun Aug 4 2013,Sturm Graz,2-4,?,SK Rapid
Sat Aug 10 2013,Wolfsberger AC,1-1,?,Wacker Innsbruck
Sat Aug 10 2013,Admira,1-1,?,Sturm Graz
Sat Aug 10 2013,Ried,1-1,?,Neustadt
Sat Aug 10 2013,Salzburg,4-1,?,Grodig
Sun Aug 11 2013,SK Rapid,0-0,?,Austria Vienna
Sat Aug 17 2013,Sturm Graz,1-1,?,Salzburg
Sat Aug 17 2013,Austria Vienna,5-0,?,Neustadt
Sat Aug 17 2013,Grodig,4-3,?,Wolfsberger AC
Sat Aug 17 2013,Wacker Innsbruck,2-3,?,Ried
Sun Aug 18 2013,Admira,2-0,?,SK Rapid
Sat Aug 24 2013,Ried,3-0,?,Sturm Graz
Sat Aug 24 2013,Wolfsberger AC,1-4,?,Austria Vienna
Sat Aug 24 2013,Neustadt,1-1,?,Wacker Innsbruck
Sun Aug 25 2013,SK Rapid,0-1,?,Grodig
Sun Aug 25 2013,Salzburg,1-0,?,Admira
Sat Aug 31 2013,Sturm Graz,4-1,?,Wolfsberger AC
Sat Aug 31 2013,Admira,1-4,?,Ried
Sat Aug 31 2013,Austria Vienna,1-1,?,Wacker Innsbruck
Sat Aug 31 2013,Grodig,3-6,?,Neustadt
Sun Sep 1 2013,Salzburg,1-1,?,SK Rapid
Sat Sep 14 2013,Wacker Innsbruck,0-4,?,SK Rapid
Sat Sep 14 2013,Wolfsberger AC,3-1,?,Admira
Sat Sep 14 2013,Austria Vienna,2-3,?,Grodig
Sat Sep 14 2013,Neustadt,1-3,?,Sturm Graz
Sun Sep 15 2013,Ried,0-5,?,Salzburg
Sat Sep 21 2013,Sturm Graz,1-2,?,Austria Vienna
Sat Sep 21 2013,Admira,0-3,?,Neustadt
Sat Sep 21 2013,Grodig,3-3,?,Wacker Innsbruck
Sun Sep 22 2013,SK Rapid,2-0,?,Ried
Sun Sep 22 2013,Salzburg,2-2,?,Wolfsberger AC
Sat Sep 28 2013,Ried,4-2,?,Grodig
Sat Sep 28 2013,Admira,1-0,?,Austria Vienna
Sat Sep 28 2013,SK Rapid,2-4,?,Wolfsberger AC
Sat Sep 28 2013,Sturm Graz,1-0,?,Wacker Innsbruck
Sun Sep 29 2013,Salzburg,8-1,?,Neustadt
Sat Oct 5 2013,Wolfsberger AC,1-1,?,Ried
Sat Oct 5 2013,Grodig,0-1,?,Sturm Graz
Sat Oct 5 2013,Wacker Innsbruck,3-3,?,Admira
Sun Oct 6 2013,Austria Vienna,1-2,?,Salzburg
Sun Oct 6 2013,Neustadt,0-0,?,SK Rapid
Sat Oct 19 2013,Salzburg,6-0,?,Wacker Innsbruck
Sat Oct 19 2013,Wolfsberger AC,1-1,?,Neustadt
Sat Oct 19 2013,Admira,0-4,?,Grodig
Sat Oct 19 2013,Ried,1-1,?,Austria Vienna
Sun Oct 20 2013,SK Rapid,2-2,?,Sturm Graz
Sat Oct 26 2013,Wacker Innsbruck,1-2,?,Wolfsberger AC
Sat Oct 26 2013,Neustadt,3-3,?,Ried
Sat Oct 26 2013,Sturm Graz,0-2,?,Admira
Sun Oct 27 2013,Austria Vienna,0-1,?,SK Rapid
Sun Oct 27 2013,Grodig,0-3,?,Salzburg
Sat Nov 2 2013,SK Rapid,4-2,?,Admira
Sat Nov 2 2013,Wolfsberger AC,1-1,?,Grodig
Sat Nov 2 2013,Ried,4-0,?,Wacker Innsbruck
Sat Nov 2 2013,Salzburg,1-0,?,Sturm Graz
Sun Nov 3 2013,Neustadt,0-3,?,Austria Vienna
Sat Nov 9 2013,Wacker Innsbruck,4-0,?,Neustadt
Sat Nov 9 2013,Austria Vienna,1-0,?,Wolfsberger AC
Sun Nov 10 2013,Grodig,2-2,?,SK Rapid
Sun Nov 10 2013,Admira,3-1,?,Salzburg
Sat Nov 23 2013,Neustadt,0-2,?,Grodig
