Date,Team 1,FT,HT,Team 2
Fri Feb 5 2016,Banfield,2-0,?,Gimnasia L.P.
Fri Feb 5 2016,Huracan,0-1,?,Atl. Rafaela
Fri Feb 5 2016,Rosario Central,1-0,?,Godoy Cruz
Sat Feb 6 2016,Aldosivi,3-0,?,Olimpo Bahia Blanca
Sat Feb 6 2016,Argentinos Jrs,1-1,?,Tigre
Sat Feb 6 2016,Patronato,2-2,?,San Lorenzo
Sat Feb 6 2016,San Martin S.J.,2-1,?,Newells Old Boys
Sat Feb 6 2016,Temperley,0-0,?,Boca Juniors
Sun Feb 7 2016,Defensa y Justicia,2-2,?,Union de Santa Fe
Sun Feb 7 2016,Independiente,1-0,?,Belgrano
Sun Feb 7 2016,Colon Santa FE,2-1,?,Arsenal Sarandi
Sun Feb 7 2016,Atl. Tucuman,2-1,?,Racing Club
Mon Feb 8 2016,Estudiantes L.P.,0-1,?,Lanus
Mon Feb 8 2016,River Plate,5-1,?,Quilmes
Mon Feb 8 2016,Sarmiento Junin,1-0,?,Velez Sarsfield
Fri Feb 12 2016,Arsenal Sarandi,3-1,?,Banfield
Fri Feb 12 2016,Union de Santa Fe,3-0,?,Temperley
Fri Feb 12 2016,Godoy Cruz,1-1,?,Independiente
Fri Feb 12 2016,Quilmes,2-4,?,Colon Santa FE
Sat Feb 13 2016,Aldosivi,3-2,?,Argentinos Jrs
Sat Feb 13 2016,Atl. Rafaela,0-1,?,Estudiantes L.P.
Sat Feb 13 2016,San Lorenzo,2-1,?,Sarmiento Junin
Sat Feb 13 2016,Racing Club,2-2,?,San Martin S.J.
Sat Feb 13 2016,Velez Sarsfield,2-1,?,Olimpo Bahia Blanca
Sun Feb 14 2016,Lanus,2-1,?,Defensa y Justicia
Sun Feb 14 2016,Rosario Central,2-0,?,Newells Old Boys
Sun Feb 14 2016,Gimnasia L.P.,3-2,?,Patronato
Sun Feb 14 2016,Boca Juniors,0-1,?,Atl. Tucuman
Sun Feb 14 2016,Belgrano,3-2,?,River Plate
Tue Feb 16 2016,Banfield,1-1,?,Quilmes
Tue Feb 16 2016,Olimpo Bahia Blanca,0-2,?,San Lorenzo
Tue Feb 16 2016,Argentinos Jrs,0-3,?,Velez Sarsfield
Wed Feb 17 2016,Defensa y Justicia,4-1,?,Atl. Rafaela
Wed Feb 17 2016,Newells Old Boys,5-0,?,Racing Club
Wed Feb 17 2016,Independiente,0-2,?,Rosario Central
Wed Feb 17 2016,Patronato,0-0,?,Arsenal Sarandi
Wed Feb 17 2016,San Martin S.J.,0-1,?,Boca Juniors
Wed Feb 17 2016,Sarmiento Junin,1-3,?,Gimnasia L.P.
Thu Feb 18 2016,Estudiantes L.P.,1-1,?,Tigre
Thu Feb 18 2016,Colon Santa FE,3-0,?,Belgrano
Thu Feb 18 2016,Temperley,0-1,?,Lanus
Thu Feb 18 2016,Atl. Tucuman,2-0,?,Union de Santa Fe
Thu Feb 18 2016,River Plate,1-2,?,Godoy Cruz
Sat Feb 20 2016,San Lorenzo,3-2,?,Velez Sarsfield
Sat Feb 20 2016,Gimnasia L.P.,1-0,?,Olimpo Bahia Blanca
Sat Feb 20 2016,Boca Juniors,4-1,?,Newells Old Boys
Sun Feb 21 2016,Belgrano,0-0,?,Banfield
Sun Feb 21 2016,Tigre,0-2,?,Defensa y Justicia
Sun Feb 21 2016,Godoy Cruz,4-1,?,Colon Santa FE
Sun Feb 21 2016,Independiente,1-1,?,Racing Club
Sun Feb 21 2016,Rosario Central,3-3,?,River Plate
Mon Feb 22 2016,Quilmes,2-2,?,Patronato
Mon Feb 22 2016,Arsenal Sarandi,2-0,?,Sarmiento Junin
Mon Feb 22 2016,Union de Santa Fe,1-1,?,San Martin S.J.
Tue Feb 23 2016,Atl. Rafaela,0-2,?,Temperley
Tue Feb 23 2016,Aldosivi,1-2,?,Estudiantes L.P.
Tue Feb 23 2016,Lanus,1-0,?,Atl. Tucuman
Fri Feb 26 2016,Newells Old Boys,1-1,?,Union de Santa Fe
Fri Feb 26 2016,Banfield,2-3,?,Godoy Cruz
Sat Feb 27 2016,Estudiantes L.P.,4-1,?,Argentinos Jrs
Sat Feb 27 2016,Sarmiento Junin,2-2,?,Quilmes
Sat Feb 27 2016,Defensa y Justicia,4-0,?,Aldosivi
Sat Feb 27 2016,Huracan,1-1,?,San Lorenzo
Sat Feb 27 2016,Patronato,2-1,?,Belgrano
Sun Feb 28 2016,Colon Santa FE,0-3,?,Rosario Central
Sun Feb 28 2016,Atl. Tucuman,3-0,?,Atl. Rafaela
Sun Feb 28 2016,Olimpo Bahia Blanca,2-1,?,Arsenal Sarandi
Sun Feb 28 2016,Racing Club,1-0,?,Boca Juniors
Sun Feb 28 2016,San Martin S.J.,2-2,?,Lanus
Mon Feb 29 2016,Velez Sarsfield,2-1,?,Gimnasia L.P.
Mon Feb 29 2016,River Plate,1-0,?,Independiente
Mon Feb 29 2016,Temperley,2-0,?,Tigre
Fri Mar 4 2016,Quilmes,1-1,?,Olimpo Bahia Blanca
Fri Mar 4 2016,Argentinos Jrs,1-5,?,Defensa y Justicia
Fri Mar 4 2016,Arsenal Sarandi,1-0,?,Velez Sarsfield
Fri Mar 4 2016,Lanus,3-0,?,Newells Old Boys
Sat Mar 5 2016,Atl. Rafaela,1-2,?,San Martin S.J.
Sat Mar 5 2016,Huracan,1-0,?,Estudiantes L.P.
Sat Mar 5 2016,Belgrano,3-0,?,Sarmiento Junin
Sat Mar 5 2016,Gimnasia L.P.,0-0,?,San Lorenzo
Sat Mar 5 2016,Independiente,4-1,?,Colon Santa FE
Sun Mar 6 2016,River Plate,0-0,?,Boca Juniors
Sun Mar 6 2016,Rosario Central,2-2,?,Banfield
Sun Mar 6 2016,Aldosivi,1-1,?,Temperley
Sun Mar 6 2016,Union de Santa Fe,3-6,?,Racing Club
Mon Mar 7 2016,Tigre,5-0,?,Atl. Tucuman
Mon Mar 7 2016,Godoy Cruz,3-1,?,Patronato
Fri Mar 11 2016,Racing Club,2-1,?,Lanus
Fri Mar 11 2016,Newells Old Boys,1-1,?,Atl. Rafaela
Sat Mar 12 2016,Defensa y Justicia,0-2,?,Huracan
Sat Mar 12 2016,Olimpo Bahia Blanca,2-0,?,Belgrano
Sat Mar 12 2016,Banfield,1-3,?,Independiente
Sat Mar 12 2016,San Martin S.J.,1-0,?,Tigre
Sat Mar 12 2016,San Lorenzo,0-2,?,Arsenal Sarandi
Sun Mar 13 2016,Temperley,0-0,?,Argentinos Jrs
Sun Mar 13 2016,Estudiantes L.P.,3-0,?,Gimnasia L.P.
Sun Mar 13 2016,Patronato,1-0,?,Rosario Central
Sun Mar 13 2016,Atl. Tucuman,1-1,?,Aldosivi
Sun Mar 13 2016,Colon Santa FE,4-1,?,River Plate
Mon Mar 14 2016,Sarmiento Junin,0-0,?,Godoy Cruz
Mon Mar 14 2016,Boca Juniors,2-1,?,Union de Santa Fe
Wed Mar 16 2016,Tigre,1-2,?,Huracan
Fri Mar 18 2016,Aldosivi,2-2,?,San Martin S.J.
Fri Mar 18 2016,Arsenal Sarandi,0-1,?,Gimnasia L.P.
Fri Mar 18 2016,Estudiantes L.P.,2-1,?,Defensa y Justicia
Sat Mar 19 2016,Belgrano,2-3,?,Velez Sarsfield
Sat Mar 19 2016,Colon Santa FE,0-3,?,Union de Santa Fe
Sat Mar 19 2016,Argentinos Jrs,0-3,?,Atl. Tucuman
Sat Mar 19 2016,Godoy Cruz,1-0,?,Olimpo Bahia Blanca
Sat Mar 19 2016,Independiente,2-1,?,Patronato
Sun Mar 20 2016,Quilmes,3-0,?,San Lorenzo
Sun Mar 20 2016,River Plate,1-1,?,Banfield
Sun Mar 20 2016,Huracan,4-2,?,Temperley
Sun Mar 20 2016,Lanus,2-0,?,Boca Juniors
Mon Mar 21 2016,Rosario Central,1-0,?,Sarmiento Junin
Mon Mar 21 2016,Atl. Rafaela,3-6,?,Racing Club
Mon Mar 21 2016,Tigre,3-3,?,Newells Old Boys
Thu Mar 24 2016,Huracan,2-0,?,Aldosivi
Sun Mar 27 2016,Velez Sarsfield,1-2,?,Quilmes
Mon Mar 28 2016,Argentinos Jrs,0-0,?,Huracan
Fri Apr 1 2016,Atl. Tucuman,2-1,?,Huracan
Fri Apr 1 2016,Olimpo Bahia Blanca,1-1,?,Rosario Central
Fri Apr 1 2016,Temperley,1-3,?,Estudiantes L.P.
Sat Apr 2 2016,Racing Club,3-3,?,Tigre
Sat Apr 2 2016,Boca Juniors,3-0,?,Atl. Rafaela
Sat Apr 2 2016,Banfield,1-1,?,Colon Santa FE
Sat Apr 2 2016,Patronato,2-1,?,River Plate
Sun Apr 3 2016,Newells Old Boys,1-1,?,Aldosivi
Sun Apr 3 2016,San Lorenzo,3-2,?,Belgrano
Sun Apr 3 2016,San Martin S.J.,2-0,?,Argentinos Jrs
Sun Apr 3 2016,Defensa y Justicia,0-1,?,Arsenal Sarandi
Sun Apr 3 2016,Velez Sarsfield,1-4,?,Godoy Cruz
Sun Apr 3 2016,Sarmiento Junin,0-0,?,Independiente
Mon Apr 4 2016,Gimnasia L.P.,1-0,?,Quilmes
Mon Apr 4 2016,Union de Santa Fe,0-4,?,Lanus
Fri Apr 8 2016,Colon Santa FE,2-2,?,Patronato
Fri Apr 8 2016,Godoy Cruz,0-1,?,San Lorenzo
Sat Apr 9 2016,Huracan,4-3,?,San Martin S.J.
Sat Apr 9 2016,Defensa y Justicia,2-1,?,Temperley
Sat Apr 9 2016,River Plate,2-2,?,Sarmiento Junin
Sat Apr 9 2016,Independiente,0-0,?,Olimpo Bahia Blanca
Sun Apr 10 2016,Banfield,0-2,?,Lanus
Sun Apr 10 2016,Argentinos Jrs,0-0,?,Newells Old Boys
Sun Apr 10 2016,Aldosivi,2-1,?,Racing Club
Sun Apr 10 2016,Rosario Central,2-3,?,Velez Sarsfield
Sun Apr 10 2016,Belgrano,3-0,?,Gimnasia L.P.
Sun Apr 10 2016,Tigre,2-0,?,Boca Juniors
Mon Apr 11 2016,Atl. Rafaela,1-1,?,Union de Santa Fe
Mon Apr 11 2016,Quilmes,1-4,?,Arsenal Sarandi
Mon Apr 11 2016,Estudiantes L.P.,3-2,?,Atl. Tucuman
Fri Apr 15 2016,Sarmiento Junin,1-0,?,Colon Santa FE
Fri Apr 15 2016,Gimnasia L.P.,2-2,?,Godoy Cruz
Sat Apr 16 2016,Lanus,2-1,?,Atl. Rafaela
Sat Apr 16 2016,Atl. Tucuman,3-1,?,Defensa y Justicia
Sat Apr 16 2016,Newells Old Boys,1-0,?,Huracan
Sat Apr 16 2016,Boca Juniors,4-1,?,Aldosivi
Sat Apr 16 2016,Union de Santa Fe,1-0,?,Tigre
Sat Apr 16 2016,Racing Club,2-2,?,Argentinos Jrs
Sun Apr 17 2016,San Lorenzo,2-1,?,Rosario Central
Sun Apr 17 2016,San Martin S.J.,0-2,?,Estudiantes L.P.
Sun Apr 17 2016,Temperley,2-0,?,Quilmes
Sun Apr 17 2016,Velez Sarsfield,0-2,?,Independiente
Sun Apr 17 2016,Olimpo Bahia Blanca,0-1,?,River Plate
Sun Apr 17 2016,Patronato,0-2,?,Banfield
Mon Apr 18 2016,Arsenal Sarandi,3-3,?,Belgrano
Fri Apr 22 2016,Atl. Rafaela,3-1,?,Patronato
Fri Apr 22 2016,Olimpo Bahia Blanca,2-1,?,Aldosivi
Fri Apr 22 2016,Velez Sarsfield,1-0,?,Argentinos Jrs
Sat Apr 23 2016,Union de Santa Fe,1-0,?,Colon Santa FE
Sat Apr 23 2016,Arsenal Sarandi,0-0,?,Defensa y Justicia
Sat Apr 23 2016,San Lorenzo,1-0,?,Huracan
Sat Apr 23 2016,Godoy Cruz,1-0,?,San Martin S.J.
Sat Apr 23 2016,Lanus,2-0,?,Banfield
Sat Apr 23 2016,Gimnasia L.P.,0-0,?,Estudiantes L.P.
Sun Apr 24 2016,Newells Old Boys,0-0,?,Rosario Central
Sun Apr 24 2016,Boca Juniors,0-0,?,River Plate
Sun Apr 24 2016,Racing Club,0-0,?,Independiente
Sun Apr 24 2016,Belgrano,0-0,?,Atl. Tucuman
Mon Apr 25 2016,Tigre,2-0,?,Sarmiento Junin
Mon Apr 25 2016,Quilmes,2-0,?,Temperley
Fri Apr 29 2016,Aldosivi,1-1,?,Union de Santa Fe
Fri Apr 29 2016,Estudiantes L.P.,0-0,?,Newells Old Boys
Fri Apr 29 2016,Colon Santa FE,3-1,?,Olimpo Bahia Blanca
Fri Apr 29 2016,Patronato,2-1,?,Atl. Rafaela
Sat Apr 30 2016,Independiente,0-1,?,San Lorenzo
Sat Apr 30 2016,Belgrano,2-2,?,Quilmes
Sat Apr 30 2016,River Plate,0-0,?,Velez Sarsfield
Sat Apr 30 2016,Godoy Cruz,2-0,?,Arsenal Sarandi
Sat Apr 30 2016,Huracan,0-1,?,Racing Club
Sat Apr 30 2016,Defensa y Justicia,0-0,?,San Martin S.J.
Sat Apr 30 2016,Argentinos Jrs,1-0,?,Boca Juniors
Mon May 2 2016,Rosario Central,0-1,?,Gimnasia L.P.
Mon May 2 2016,Tigre,0-1,?,Lanus
Mon May 2 2016,Temperley,1-1,?,Atl. Tucuman
Tue May 3 2016,Banfield,0-0,?,Sarmiento Junin
Fri May 6 2016,Union de Santa Fe,4-0,?,Argentinos Jrs
Fri May 6 2016,Quilmes,1-3,?,Godoy Cruz
Sat May 7 2016,Newells Old Boys,0-1,?,Defensa y Justicia
Sat May 7 2016,San Martin S.J.,2-0,?,Temperley
Sat May 7 2016,Velez Sarsfield,2-0,?,Colon Santa FE
Sat May 7 2016,San Lorenzo,2-1,?,River Plate
Sat May 7 2016,Racing Club,0-0,?,Estudiantes L.P.
Sun May 8 2016,Arsenal Sarandi,1-0,?,Rosario Central
Sun May 8 2016,Lanus,2-0,?,Aldosivi
Sun May 8 2016,Atl. Tucuman,2-1,?,Belgrano
Sun May 8 2016,Boca Juniors,0-0,?,Huracan
Sun May 8 2016,Atl. Rafaela,0-0,?,Tigre
Sun May 8 2016,Gimnasia L.P.,3-3,?,Independiente
Mon May 9 2016,Olimpo Bahia Blanca,1-1,?,Banfield
Mon May 9 2016,Sarmiento Junin,1-0,?,Patronato
Fri May 13 2016,Huracan,1-1,?,Union de Santa Fe
Fri May 13 2016,Atl. Tucuman,3-2,?,San Martin S.J.
Fri May 13 2016,Defensa y Justicia,2-1,?,Racing Club
Sat May 14 2016,Colon Santa FE,0-2,?,San Lorenzo
Sat May 14 2016,Godoy Cruz,1-0,?,Belgrano
Sat May 14 2016,River Plate,1-0,?,Gimnasia L.P.
Sat May 14 2016,Independiente,2-0,?,Arsenal Sarandi
Sun May 15 2016,Argentinos Jrs,1-1,?,Lanus
Sun May 15 2016,Sarmiento Junin,0-1,?,Tigre
Sun May 15 2016,Temperley,2-0,?,Newells Old Boys
Sun May 15 2016,Aldosivi,2-1,?,Atl. Rafaela
Sun May 15 2016,Rosario Central,1-1,?,Quilmes
Sun May 15 2016,Estudiantes L.P.,3-1,?,Boca Juniors
Mon May 16 2016,Patronato,1-0,?,Olimpo Bahia Blanca
Mon May 16 2016,Banfield,0-0,?,Velez Sarsfield
Fri May 20 2016,Arsenal Sarandi,2-1,?,River Plate
Fri May 20 2016,Tigre,2-0,?,Aldosivi
Sat May 21 2016,Atl. Rafaela,0-2,?,Argentinos Jrs
Sat May 21 2016,Olimpo Bahia Blanca,0-1,?,Sarmiento Junin
Sat May 21 2016,Racing Club,2-0,?,Temperley
Sat May 21 2016,Quilmes,0-3,?,Independiente
Sat May 21 2016,Velez Sarsfield,0-0,?,Patronato
Sun May 22 2016,San Lorenzo,1-1,?,Banfield
Sun May 22 2016,San Martin S.J.,2-0,?,Godoy Cruz
Sun May 22 2016,Boca Juniors,0-0,?,Defensa y Justicia
Sun May 22 2016,Newells Old Boys,2-1,?,Atl. Tucuman
Sun May 22 2016,Union de Santa Fe,1-1,?,Estudiantes L.P.
Sun May 22 2016,Lanus,1-3,?,Huracan
Mon May 23 2016,Belgrano,1-0,?,Rosario Central
Mon May 23 2016,Gimnasia L.P.,3-0,?,Colon Santa FE
Sat May 28 2016,Godoy Cruz,0-1,?,Estudiantes L.P.
Sun May 29 2016,San Lorenzo,0-4,?,Lanus
