Date,Team 1,FT,HT,Team 2
Sat Jul 30 2022,Bonnyrigg Rose,2-0,0-0,Forfar
Sat Jul 30 2022,Dumbarton,2-0,2-0,Stirling
Sat Jul 30 2022,Elgin,1-3,0-2,East Fife
Sat Jul 30 2022,Stenhousemuir,1-0,1-0,Albion Rvs
Sat Jul 30 2022,Stranraer,1-0,1-0,Annan Athletic
Sat Aug 6 2022,Albion Rvs,1-2,1-1,Dumbarton
Sat Aug 6 2022,Annan Athletic,2-1,1-0,Stenhousemuir
Sat Aug 6 2022,East Fife,0-3,0-2,Bonnyrigg Rose
Sat Aug 6 2022,Forfar,2-0,0-0,Stranraer
Sat Aug 6 2022,Stirling,2-2,0-2,Elgin
Sat Aug 13 2022,Albion Rvs,0-1,0-0,East Fife
Sat Aug 13 2022,Dumbarton,4-0,2-0,Annan Athletic
Sat Aug 13 2022,Forfar,2-2,1-1,Elgin
Sat Aug 13 2022,Stirling,3-0,1-0,Stenhousemuir
Sat Aug 13 2022,Stranraer,2-2,1-1,Bonnyrigg Rose
Sat Aug 20 2022,Annan Athletic,1-2,1-0,Stirling
Sat Aug 20 2022,Bonnyrigg Rose,0-2,0-1,Albion Rvs
Sat Aug 20 2022,East Fife,1-0,0-0,Forfar
Sat Aug 20 2022,Elgin,2-2,2-1,Stranraer
Sat Aug 20 2022,Stenhousemuir,1-3,0-1,Dumbarton
Sat Aug 27 2022,Albion Rvs,2-2,1-1,Annan Athletic
Sat Aug 27 2022,Bonnyrigg Rose,1-0,1-0,Stirling
Sat Aug 27 2022,Dumbarton,2-1,0-1,Elgin
Sat Aug 27 2022,Forfar,1-2,0-2,Stenhousemuir
Sat Aug 27 2022,Stranraer,2-2,2-1,East Fife
Sat Sep 3 2022,Annan Athletic,2-1,0-1,Forfar
Sat Sep 3 2022,East Fife,0-1,0-1,Dumbarton
Sat Sep 3 2022,Elgin,2-0,1-0,Bonnyrigg Rose
Sat Sep 3 2022,Stenhousemuir,3-1,3-0,Stranraer
Sat Sep 3 2022,Stirling,1-1,0-0,Albion Rvs
Sat Sep 17 2022,Albion Rvs,0-2,0-0,Forfar
Sat Sep 17 2022,Annan Athletic,2-2,0-2,East Fife
Sat Sep 17 2022,Dumbarton,1-0,1-0,Bonnyrigg Rose
Sat Sep 17 2022,Stenhousemuir,3-3,1-1,Elgin
Sat Sep 17 2022,Stirling,4-1,4-1,Stranraer
Tue Sep 20 2022,East Fife,1-2,1-0,Stenhousemuir
Tue Sep 20 2022,Stranraer,3-2,0-0,Dumbarton
Sat Sep 24 2022,Forfar,1-4,0-3,Stirling
Sat Oct 1 2022,Bonnyrigg Rose,2-4,0-2,Stenhousemuir
Sat Oct 1 2022,East Fife,1-2,1-2,Stirling
Sat Oct 1 2022,Elgin,5-1,2-0,Annan Athletic
Sat Oct 1 2022,Forfar,0-0,0-0,Dumbarton
Sat Oct 1 2022,Stranraer,2-1,1-1,Albion Rvs
Sat Oct 8 2022,Albion Rvs,2-1,2-1,Bonnyrigg Rose
Sat Oct 8 2022,Forfar,1-3,0-2,East Fife
Sat Oct 8 2022,Stenhousemuir,2-2,0-1,Annan Athletic
Sat Oct 8 2022,Stirling,6-0,4-0,Dumbarton
Sat Oct 8 2022,Stranraer,2-3,2-2,Elgin
Tue Oct 11 2022,Bonnyrigg Rose,2-0,1-0,Annan Athletic
Tue Oct 11 2022,Elgin,1-0,0-0,Albion Rvs
Sat Oct 15 2022,Annan Athletic,1-1,1-0,Stranraer
Sat Oct 15 2022,Bonnyrigg Rose,1-4,1-0,East Fife
Sat Oct 15 2022,Dumbarton,1-1,1-1,Albion Rvs
Sat Oct 15 2022,Elgin,0-1,0-1,Forfar
Sat Oct 15 2022,Stenhousemuir,1-3,1-1,Stirling
Sat Oct 29 2022,Albion Rvs,2-2,1-0,Stenhousemuir
Sat Oct 29 2022,Annan Athletic,0-1,0-0,Dumbarton
Sat Oct 29 2022,East Fife,2-1,1-0,Elgin
Sat Oct 29 2022,Stirling,2-1,1-1,Bonnyrigg Rose
Sat Oct 29 2022,Stranraer,1-0,1-0,Forfar
Sat Nov 5 2022,Albion Rvs,1-1,1-0,Stirling
Sat Nov 5 2022,Bonnyrigg Rose,2-3,0-3,Elgin
Sat Nov 5 2022,Dumbarton,2-0,1-0,Stranraer
Sat Nov 5 2022,Forfar,1-4,0-2,Annan Athletic
Sat Nov 5 2022,Stenhousemuir,2-2,1-0,East Fife
Sat Nov 12 2022,East Fife,2-3,1-2,Albion Rvs
Sat Nov 12 2022,Elgin,0-4,0-1,Dumbarton
Sat Nov 12 2022,Forfar,1-1,0-0,Bonnyrigg Rose
Sat Nov 12 2022,Stirling,0-2,0-0,Annan Athletic
Sat Nov 12 2022,Stranraer,3-2,2-1,Stenhousemuir
Sat Nov 19 2022,Albion Rvs,1-0,0-0,Stranraer
Sat Nov 19 2022,Annan Athletic,1-3,0-2,Elgin
Sat Nov 19 2022,Dumbarton,2-2,1-1,Forfar
Sat Nov 19 2022,Stenhousemuir,1-1,1-1,Bonnyrigg Rose
Sat Nov 19 2022,Stirling,3-1,2-1,East Fife
Sat Nov 26 2022,Stranraer,1-1,0-1,Annan Athletic
Sat Dec 3 2022,Bonnyrigg Rose,1-1,1-0,Dumbarton
Sat Dec 3 2022,East Fife,1-3,1-1,Annan Athletic
Sat Dec 3 2022,Elgin,2-1,2-1,Stenhousemuir
Sat Dec 3 2022,Forfar,1-0,1-0,Albion Rvs
Sat Dec 3 2022,Stranraer,3-1,2-1,Stirling
Sat Dec 10 2022,East Fife,0-0,0-0,Bonnyrigg Rose
Sat Dec 10 2022,Stenhousemuir,1-2,0-1,Forfar
Fri Dec 23 2022,Annan Athletic,5-1,0-1,Albion Rvs
Fri Dec 23 2022,Bonnyrigg Rose,3-2,2-1,Stranraer
Fri Dec 23 2022,Elgin,1-2,0-1,Stirling
Sat Dec 24 2022,Dumbarton,2-0,1-0,East Fife
Sat Dec 31 2022,Albion Rvs,0-1,0-0,Dumbarton
Sat Dec 31 2022,Stirling,3-1,2-1,Stenhousemuir
Mon Jan 2 2023,Forfar,0-1,0-0,Elgin
Sat Jan 7 2023,Annan Athletic,0-2,0-2,Forfar
Sat Jan 7 2023,Bonnyrigg Rose,0-4,0-3,Albion Rvs
Sat Jan 7 2023,Elgin,1-2,0-2,East Fife
Sat Jan 7 2023,Stenhousemuir,2-1,2-1,Stranraer
Sat Jan 14 2023,East Fife,1-1,1-0,Stenhousemuir
Sat Jan 14 2023,Elgin,1-1,1-0,Annan Athletic
Sat Jan 14 2023,Forfar,2-1,0-0,Dumbarton
Sat Jan 14 2023,Stranraer,0-4,0-1,Albion Rvs
Sat Jan 21 2023,Annan Athletic,4-0,1-0,Bonnyrigg Rose
Sat Jan 21 2023,East Fife,1-3,0-2,Stranraer
Sat Jan 28 2023,Albion Rvs,0-1,0-0,Forfar
Sat Jan 28 2023,Annan Athletic,3-0,1-0,East Fife
Sat Jan 28 2023,Dumbarton,1-0,1-0,Bonnyrigg Rose
Sat Jan 28 2023,Stenhousemuir,2-0,1-0,Elgin
Sat Jan 28 2023,Stirling,1-0,0-0,Stranraer
Sat Feb 4 2023,Bonnyrigg Rose,1-2,1-2,Annan Athletic
Sat Feb 4 2023,East Fife,1-1,0-0,Stirling
Sat Feb 4 2023,Elgin,1-1,0-1,Albion Rvs
Sat Feb 4 2023,Forfar,2-1,1-0,Stranraer
Sat Feb 4 2023,Stenhousemuir,1-1,0-1,Dumbarton
Sat Feb 11 2023,Albion Rvs,0-1,0-1,East Fife
Sat Feb 11 2023,Dumbarton,2-1,1-0,Annan Athletic
Sat Feb 11 2023,Forfar,1-1,1-1,Stenhousemuir
Sat Feb 11 2023,Stranraer,0-1,0-0,Bonnyrigg Rose
Tue Feb 14 2023,Bonnyrigg Rose,1-2,0-1,Stirling
Sat Feb 18 2023,Annan Athletic,2-2,2-0,Stirling
Sat Feb 18 2023,East Fife,2-0,1-0,Dumbarton
Sat Feb 18 2023,Elgin,0-1,0-1,Stranraer
Sat Feb 18 2023,Stenhousemuir,2-0,0-0,Albion Rvs
Tue Feb 21 2023,Albion Rvs,3-0,0-0,Elgin
Sat Feb 25 2023,Albion Rvs,0-2,0-0,Annan Athletic
Sat Feb 25 2023,Bonnyrigg Rose,0-1,0-0,Stenhousemuir
Sat Feb 25 2023,Dumbarton,1-2,1-1,Elgin
Sat Feb 25 2023,Forfar,0-0,0-0,Stirling
Sat Feb 25 2023,Stranraer,2-0,1-0,East Fife
Tue Feb 28 2023,Bonnyrigg Rose,1-1,0-0,Forfar
Tue Feb 28 2023,Dumbarton,1-0,1-0,Stenhousemuir
Sat Mar 4 2023,Annan Athletic,2-3,1-1,Stenhousemuir
Sat Mar 4 2023,East Fife,3-2,1-1,Forfar
Sat Mar 4 2023,Elgin,0-1,0-0,Bonnyrigg Rose
Sat Mar 4 2023,Stirling,3-2,2-2,Albion Rvs
Sat Mar 4 2023,Stranraer,0-2,0-1,Dumbarton
Sat Mar 11 2023,Annan Athletic,4-1,2-1,Elgin
Sat Mar 11 2023,Stenhousemuir,1-2,1-0,East Fife
Sat Mar 11 2023,Stirling,2-1,0-1,Bonnyrigg Rose
Sat Mar 18 2023,Bonnyrigg Rose,1-1,0-0,East Fife
Sat Mar 18 2023,Dumbarton,1-5,0-4,Albion Rvs
Sat Mar 18 2023,Forfar,2-1,1-1,Annan Athletic
Sat Mar 18 2023,Stranraer,1-1,0-1,Stirling
Tue Mar 21 2023,Albion Rvs,0-1,0-1,Stranraer
Tue Mar 21 2023,Stirling,2-0,0-0,Forfar
Fri Mar 24 2023,East Fife,2-0,1-0,Elgin
Sat Mar 25 2023,Albion Rvs,0-1,0-0,Bonnyrigg Rose
Sat Mar 25 2023,Annan Athletic,0-0,0-0,Stranraer
Sat Mar 25 2023,Stenhousemuir,1-1,1-0,Forfar
Sat Mar 25 2023,Stirling,2-2,1-1,Dumbarton
Wed Mar 29 2023,Dumbarton,0-1,0-0,Forfar
Sat Apr 1 2023,Bonnyrigg Rose,1-0,0-0,Stranraer
Sat Apr 1 2023,Dumbarton,1-2,1-0,Stenhousemuir
Sat Apr 1 2023,East Fife,0-1,0-0,Annan Athletic
Sat Apr 1 2023,Elgin,0-3,0-2,Stirling
Sat Apr 1 2023,Forfar,2-1,0-1,Albion Rvs
Tue Apr 4 2023,Stirling,1-0,1-0,Elgin
Sat Apr 8 2023,Albion Rvs,3-0,0-0,Elgin
Sat Apr 8 2023,Annan Athletic,3-1,3-0,Dumbarton
Sat Apr 8 2023,Stenhousemuir,0-0,0-0,Bonnyrigg Rose
Sat Apr 8 2023,Stirling,2-2,2-1,East Fife
Sat Apr 8 2023,Stranraer,0-0,0-0,Forfar
Tue Apr 11 2023,Elgin,1-1,0-0,Stenhousemuir
Sat Apr 15 2023,Annan Athletic,4-0,2-0,Albion Rvs
Sat Apr 15 2023,Bonnyrigg Rose,0-2,0-0,Dumbarton
Sat Apr 15 2023,East Fife,8-0,2-0,Stranraer
Sat Apr 15 2023,Elgin,2-0,2-0,Forfar
Sat Apr 15 2023,Stenhousemuir,0-1,0-0,Stirling
Tue Apr 18 2023,Dumbarton,0-0,0-0,Stirling
Sat Apr 22 2023,Albion Rvs,3-1,1-0,Stenhousemuir
Sat Apr 22 2023,Dumbarton,1-0,0-0,East Fife
Sat Apr 22 2023,Forfar,0-1,0-1,Bonnyrigg Rose
Sat Apr 22 2023,Stirling,3-1,1-1,Annan Athletic
Sat Apr 22 2023,Stranraer,3-1,1-0,Elgin
Sat Apr 29 2023,Annan Athletic,0-0,0-0,Bonnyrigg Rose
Sat Apr 29 2023,East Fife,2-1,1-1,Albion Rvs
Sat Apr 29 2023,Elgin,1-0,0-0,Dumbarton
Sat Apr 29 2023,Stirling,2-1,1-0,Forfar
Sat Apr 29 2023,Stranraer,2-0,1-0,Stenhousemuir
Sat May 6 2023,Albion Rvs,2-0,0-0,Stirling
Sat May 6 2023,Bonnyrigg Rose,3-0,0-0,Elgin
Sat May 6 2023,Dumbarton,1-1,1-1,Stranraer
Sat May 6 2023,Forfar,1-0,0-0,East Fife
Sat May 6 2023,Stenhousemuir,2-1,1-0,Annan Athletic
