Date,Team 1,FT,HT,Team 2
Fri Jul 15 2022,FC Hermannstadt,3-0,?,Mioveni
Fri Jul 15 2022,Univ. Craiova,2-2,?,Sepsi Sf. Gheorghe
Sat Jul 16 2022,FC Arges,2-0,?,UTA Arad
Sat Jul 16 2022,CFR Cluj,1-0,?,FC Rapid Bucuresti
Sun Jul 17 2022,Farul Constanta,2-1,?,U Craiova 1948
Sun Jul 17 2022,FCSB,1-1,?,U. Cluj
Mon Jul 18 2022,FC Botosani,3-2,?,Chindia Targoviste
Mon Jul 18 2022,Petrolul,0-1,?,FC Voluntari
Fri Jul 22 2022,Mioveni,0-2,?,Farul Constanta
Sat Jul 23 2022,FC Voluntari,0-1,?,FC Botosani
Sun Jul 24 2022,Sepsi Sf. Gheorghe,4-0,?,FC Arges
Sun Jul 24 2022,U Craiova 1948,3-1,?,CFR Cluj
Sun Jul 24 2022,U. Cluj,1-1,?,Univ. Craiova
Sun Jul 24 2022,FC Rapid Bucuresti,2-0,?,FCSB
Mon Jul 25 2022,Chindia Targoviste,1-1,?,FC Hermannstadt
Mon Jul 25 2022,UTA Arad,2-0,?,Petrolul
Fri Jul 29 2022,FC Arges,3-1,?,U. Cluj
Fri Jul 29 2022,Farul Constanta,0-0,?,Chindia Targoviste
Sat Jul 30 2022,FC Voluntari,3-0,?,UTA Arad
Sat Jul 30 2022,CFR Cluj,4-2,?,Mioveni
Sun Jul 31 2022,Petrolul,1-1,?,Sepsi Sf. Gheorghe
Sun Jul 31 2022,Univ. Craiova,0-1,?,FC Rapid Bucuresti
Sun Jul 31 2022,FCSB,1-1,?,U Craiova 1948
Mon Aug 1 2022,FC Hermannstadt,1-1,?,FC Botosani
Fri Aug 5 2022,U. Cluj,0-1,?,Petrolul
Sat Aug 6 2022,Mioveni,1-1,?,FCSB
Sat Aug 6 2022,FC Rapid Bucuresti,2-1,?,FC Arges
Sun Aug 7 2022,Sepsi Sf. Gheorghe,0-0,?,UTA Arad
Sun Aug 7 2022,Chindia Targoviste,0-2,?,CFR Cluj
Sun Aug 7 2022,U Craiova 1948,1-2,?,Univ. Craiova
Mon Aug 8 2022,FC Hermannstadt,2-1,?,FC Voluntari
Mon Aug 8 2022,FC Botosani,1-1,?,Farul Constanta
Fri Aug 12 2022,FC Arges,0-2,?,U Craiova 1948
Sat Aug 13 2022,UTA Arad,2-1,?,U. Cluj
Sat Aug 13 2022,Petrolul,1-0,?,FC Rapid Bucuresti
Sun Aug 14 2022,Univ. Craiova,1-0,?,Mioveni
Sun Aug 14 2022,CFR Cluj,0-1,?,FC Botosani
Sun Aug 14 2022,FCSB,3-2,?,Chindia Targoviste
Mon Aug 15 2022,FC Voluntari,0-0,?,Sepsi Sf. Gheorghe
Mon Aug 15 2022,Farul Constanta,0-0,?,FC Hermannstadt
Fri Aug 19 2022,Mioveni,0-1,?,FC Arges
Fri Aug 19 2022,U Craiova 1948,0-1,?,Petrolul
Sat Aug 20 2022,FC Rapid Bucuresti,1-0,?,UTA Arad
Mon Aug 22 2022,U. Cluj,0-1,?,Sepsi Sf. Gheorghe
Mon Aug 22 2022,Farul Constanta,2-1,?,FC Voluntari
Fri Aug 26 2022,FC Voluntari,0-0,?,U. Cluj
Fri Aug 26 2022,UTA Arad,2-1,?,U Craiova 1948
Sat Aug 27 2022,Petrolul,0-0,?,Mioveni
Sat Aug 27 2022,Sepsi Sf. Gheorghe,1-2,?,FC Rapid Bucuresti
Sun Aug 28 2022,FC Arges,2-1,?,Chindia Targoviste
Sun Aug 28 2022,CFR Cluj,1-3,?,Farul Constanta
Sun Aug 28 2022,FCSB,2-2,?,FC Hermannstadt
Mon Aug 29 2022,Univ. Craiova,1-0,?,FC Botosani
Tue Aug 30 2022,Mioveni,1-1,?,UTA Arad
Tue Aug 30 2022,U Craiova 1948,1-0,?,Sepsi Sf. Gheorghe
Tue Aug 30 2022,FC Rapid Bucuresti,1-0,?,U. Cluj
Wed Aug 31 2022,Chindia Targoviste,2-3,?,Petrolul
Wed Aug 31 2022,CFR Cluj,4-0,?,FC Voluntari
Wed Aug 31 2022,Farul Constanta,3-1,?,FCSB
Thu Sep 1 2022,FC Botosani,0-0,?,FC Arges
Thu Sep 1 2022,FC Hermannstadt,1-0,?,Univ. Craiova
Fri Sep 2 2022,Sepsi Sf. Gheorghe,0-1,?,Mioveni
Fri Sep 2 2022,U. Cluj,1-1,?,U Craiova 1948
Sat Sep 3 2022,UTA Arad,1-1,?,Chindia Targoviste
Sat Sep 3 2022,FC Voluntari,0-1,?,FC Rapid Bucuresti
Sun Sep 4 2022,Petrolul,2-1,?,FC Botosani
Mon Sep 5 2022,FC Arges,0-1,?,FC Hermannstadt
Mon Sep 5 2022,Univ. Craiova,4-3,?,Farul Constanta
Fri Sep 9 2022,FC Botosani,1-2,?,UTA Arad
Sat Sep 10 2022,Chindia Targoviste,1-2,?,Sepsi Sf. Gheorghe
Sat Sep 10 2022,FC Hermannstadt,2-1,?,Petrolul
Sat Sep 10 2022,U Craiova 1948,1-0,?,FC Rapid Bucuresti
Sun Sep 11 2022,Farul Constanta,3-0,?,FC Arges
Sun Sep 11 2022,CFR Cluj,2-0,?,Univ. Craiova
Mon Sep 12 2022,Mioveni,0-1,?,U. Cluj
Mon Sep 12 2022,FCSB,1-1,?,FC Voluntari
Fri Sep 16 2022,FC Voluntari,1-0,?,U Craiova 1948
Fri Sep 16 2022,Petrolul,1-3,?,Farul Constanta
Sat Sep 17 2022,UTA Arad,1-2,?,FC Hermannstadt
Sat Sep 17 2022,Sepsi Sf. Gheorghe,7-0,?,FC Botosani
Sat Sep 17 2022,FC Rapid Bucuresti,2-1,?,Mioveni
Sun Sep 18 2022,U. Cluj,1-0,?,Chindia Targoviste
Sun Sep 18 2022,Univ. Craiova,2-1,?,FCSB
Mon Sep 19 2022,FC Arges,0-1,?,CFR Cluj
Fri Sep 30 2022,Univ. Craiova,1-1,?,FC Voluntari
Sat Oct 1 2022,Mioveni,2-2,?,U Craiova 1948
Sat Oct 1 2022,CFR Cluj,1-0,?,Petrolul
Sun Oct 2 2022,FC Hermannstadt,1-2,?,Sepsi Sf. Gheorghe
Sun Oct 2 2022,Farul Constanta,2-0,?,UTA Arad
