Date,Team 1,FT,HT,Team 2
Sat Jul 16 2022,Young Boys,4-0,?,Zurich
Sat Jul 16 2022,Winterthur,1-1,?,Basel
Sun Jul 17 2022,Lugano,2-3,?,Sion
Sun Jul 17 2022,Servette,1-0,?,St. Gallen
Sat Jul 23 2022,Zurich,0-0,?,Luzern
Sat Jul 23 2022,St. Gallen,2-0,?,Winterthur
Sun Jul 24 2022,Basel,1-1,?,Servette
Sun Jul 24 2022,Grasshoppers,2-1,?,Lugano
Sun Jul 24 2022,Sion,0-3,?,Young Boys
Sat Jul 30 2022,St. Gallen,2-0,?,Zurich
Sat Jul 30 2022,Sion,0-0,?,Servette
Sun Jul 31 2022,Winterthur,1-4,?,Lugano
Sun Jul 31 2022,Young Boys,1-1,?,Grasshoppers
Sat Aug 6 2022,Servette,1-0,?,Winterthur
Sat Aug 6 2022,Grasshoppers,3-2,?,St. Gallen
Sun Aug 7 2022,Zurich,0-3,?,Sion
Sun Aug 7 2022,Basel,0-0,?,Young Boys
Sun Aug 7 2022,Lugano,1-2,?,Luzern
Wed Aug 10 2022,Luzern,1-1,?,Grasshoppers
Sat Aug 13 2022,Sion,2-2,?,Grasshoppers
Sat Aug 13 2022,St. Gallen,4-1,?,Luzern
Sun Aug 14 2022,Winterthur,1-1,?,Zurich
Sun Aug 14 2022,Basel,0-2,?,Lugano
Sun Aug 14 2022,Young Boys,3-0,?,Servette
Sat Aug 27 2022,Luzern,2-0,?,Sion
Sat Aug 27 2022,Servette,3-1,?,Grasshoppers
Sun Aug 28 2022,Lugano,2-3,?,St. Gallen
Sun Aug 28 2022,Winterthur,1-5,?,Young Boys
Sun Aug 28 2022,Zurich,2-4,?,Basel
Sat Sep 3 2022,Sion,2-1,?,Basel
Sat Sep 3 2022,Zurich,1-2,?,Lugano
Sun Sep 4 2022,Luzern,0-2,?,Servette
Sun Sep 4 2022,Grasshoppers,3-0,?,Winterthur
Sun Sep 4 2022,St. Gallen,2-1,?,Young Boys
Sat Sep 10 2022,St. Gallen,1-2,?,Sion
Sat Sep 10 2022,Winterthur,0-6,?,Luzern
Sun Sep 11 2022,Servette,3-2,?,Zurich
Sun Sep 11 2022,Basel,5-1,?,Grasshoppers
Sun Sep 11 2022,Young Boys,3-0,?,Lugano
Sat Oct 1 2022,Basel,3-2,?,St. Gallen
Sat Oct 1 2022,Grasshoppers,1-1,?,Zurich
Sun Oct 2 2022,Sion,1-3,?,Winterthur
Sun Oct 2 2022,Lugano,1-0,?,Servette
Sun Oct 2 2022,Luzern,1-2,?,Young Boys
Sat Oct 8 2022,Grasshoppers,4-4,?,Sion
Sat Oct 8 2022,Young Boys,2-1,?,St. Gallen
Sun Oct 9 2022,Servette,1-1,?,Luzern
Sun Oct 9 2022,Lugano,1-0,?,Basel
Sun Oct 9 2022,Zurich,0-0,?,Winterthur
Sat Oct 15 2022,Sion,2-0,?,Luzern
Sat Oct 15 2022,Winterthur,1-0,?,Grasshoppers
Sun Oct 16 2022,St. Gallen,1-1,?,Lugano
Sun Oct 16 2022,Servette,0-0,?,Basel
Sun Oct 16 2022,Zurich,0-0,?,Young Boys
Tue Oct 18 2022,Winterthur,1-0,?,Sion
Wed Oct 19 2022,Luzern,3-3,?,St. Gallen
Wed Oct 19 2022,Lugano,1-4,?,Young Boys
Thu Oct 20 2022,Grasshoppers,2-3,?,Servette
Thu Oct 20 2022,Basel,0-0,?,Zurich
Sat Oct 22 2022,Young Boys,1-1,?,Sion
Sat Oct 22 2022,Luzern,3-1,?,Lugano
Sun Oct 23 2022,Basel,3-1,?,Winterthur
Sun Oct 23 2022,St. Gallen,1-1,?,Servette
Sun Oct 23 2022,Zurich,1-4,?,Grasshoppers
Sat Oct 29 2022,Grasshoppers,1-3,?,Luzern
Sat Oct 29 2022,Servette,2-2,?,Lugano
Sun Oct 30 2022,Sion,0-1,?,Zurich
Sun Oct 30 2022,Winterthur,1-0,?,St. Gallen
Sun Oct 30 2022,Young Boys,3-1,?,Basel
Sat Nov 5 2022,St. Gallen,2-1,?,Grasshoppers
Sat Nov 5 2022,Luzern,1-1,?,Winterthur
Sun Nov 6 2022,Servette,0-0,?,Young Boys
Sun Nov 6 2022,Basel,0-0,?,Sion
Sun Nov 6 2022,Lugano,2-0,?,Zurich
Wed Nov 9 2022,Luzern,0-2,?,Basel
Sat Nov 12 2022,Sion,2-7,?,St. Gallen
Sat Nov 12 2022,Grasshoppers,1-0,?,Basel
Sun Nov 13 2022,Zurich,4-1,?,Servette
Sun Nov 13 2022,Lugano,3-1,?,Winterthur
Sun Nov 13 2022,Young Boys,3-0,?,Luzern
Sat Jan 21 2023,Luzern,2-2,?,Zurich
Sat Jan 21 2023,Grasshoppers,1-2,?,Young Boys
Sun Jan 22 2023,Sion,2-3,?,Lugano
Sun Jan 22 2023,St. Gallen,1-1,?,Basel
Sat Jan 28 2023,Lugano,1-1,?,Grasshoppers
Sat Jan 28 2023,Basel,2-3,?,Luzern
Sun Jan 29 2023,Young Boys,5-1,?,Winterthur
Sun Jan 29 2023,Servette,2-2,?,Sion
Sun Jan 29 2023,Zurich,1-0,?,St. Gallen
Sat Feb 4 2023,Grasshoppers,1-0,?,Basel
Sat Feb 4 2023,St. Gallen,3-0,?,Servette
Sun Feb 5 2023,Sion,0-1,?,Zurich
Sun Feb 5 2023,Luzern,1-1,?,Young Boys
Sun Feb 5 2023,Winterthur,1-0,?,Lugano
Sat Feb 11 2023,Servette,2-1,?,Grasshoppers
Sat Feb 11 2023,Basel,3-1,?,Sion
Sun Feb 12 2023,Lugano,1-1,?,Luzern
Sun Feb 12 2023,Young Boys,5-1,?,St. Gallen
Sun Feb 12 2023,Zurich,1-1,?,Winterthur
Wed Feb 15 2023,Winterthur,1-2,?,Servette
Sat Feb 18 2023,Winterthur,1-1,?,Sion
Sat Feb 18 2023,Young Boys,1-1,?,Lugano
Sun Feb 19 2023,St. Gallen,2-2,?,Luzern
Sun Feb 19 2023,Basel,2-2,?,Servette
Sun Feb 19 2023,Grasshoppers,1-2,?,Zurich
Sat Feb 25 2023,Sion,0-4,?,St. Gallen
Sat Feb 25 2023,Zurich,2-2,?,Young Boys
Sun Feb 26 2023,Luzern,1-0,?,Grasshoppers
Sun Feb 26 2023,Lugano,2-2,?,Basel
Sun Feb 26 2023,Servette,1-1,?,Winterthur
Sat Mar 4 2023,Winterthur,1-1,?,Young Boys
Sat Mar 4 2023,Luzern,0-1,?,Basel
Sun Mar 5 2023,St. Gallen,1-1,?,Grasshoppers
Sun Mar 5 2023,Sion,1-1,?,Lugano
Sun Mar 5 2023,Zurich,1-1,?,Servette
Sat Mar 11 2023,Young Boys,4-0,?,Sion
Sat Mar 11 2023,Lugano,2-0,?,Zurich
Sun Mar 12 2023,Servette,0-1,?,Luzern
Sun Mar 12 2023,Basel,1-1,?,St. Gallen
Sun Mar 12 2023,Grasshoppers,2-1,?,Winterthur
Sat Mar 18 2023,Zurich,2-1,?,Luzern
Sat Mar 18 2023,Sion,1-2,?,Grasshoppers
Sun Mar 19 2023,Winterthur,1-0,?,St. Gallen
Sun Mar 19 2023,Lugano,1-1,?,Servette
Sun Mar 19 2023,Young Boys,3-0,?,Basel
Sat Apr 1 2023,Servette,2-1,?,Young Boys
Sat Apr 1 2023,Basel,2-0,?,Winterthur
Sun Apr 2 2023,Grasshoppers,2-1,?,Lugano
Sun Apr 2 2023,Luzern,1-2,?,Sion
Sun Apr 2 2023,St. Gallen,2-2,?,Zurich
Sat Apr 8 2023,Zurich,1-1,?,Basel
Sat Apr 8 2023,Sion,2-2,?,Servette
Mon Apr 10 2023,Lugano,1-1,?,St. Gallen
Mon Apr 10 2023,Winterthur,1-2,?,Luzern
Mon Apr 10 2023,Young Boys,2-0,?,Grasshoppers
Sat Apr 15 2023,Servette,0-0,?,Lugano
Sat Apr 15 2023,Luzern,4-1,?,Zurich
Sun Apr 16 2023,St. Gallen,2-3,?,Winterthur
Sun Apr 16 2023,Basel,1-1,?,Young Boys
Sun Apr 16 2023,Grasshoppers,1-3,?,Sion
Sat Apr 22 2023,Winterthur,1-2,?,Grasshoppers
Sat Apr 22 2023,Young Boys,6-1,?,Servette
Sun Apr 23 2023,Basel,0-2,?,Luzern
Sun Apr 23 2023,Lugano,2-0,?,Sion
Sun Apr 23 2023,Zurich,1-0,?,St. Gallen
Tue Apr 25 2023,Grasshoppers,4-1,?,Young Boys
Wed Apr 26 2023,Servette,4-0,?,Zurich
Wed Apr 26 2023,St. Gallen,1-2,?,Lugano
Thu Apr 27 2023,Luzern,3-1,?,Winterthur
Thu Apr 27 2023,Sion,1-2,?,Basel
Sat Apr 29 2023,Lugano,5-1,?,Grasshoppers
Sat Apr 29 2023,Servette,1-1,?,St. Gallen
Sun Apr 30 2023,Zurich,2-2,?,Sion
Sun Apr 30 2023,Winterthur,1-4,?,Basel
Sun Apr 30 2023,Young Boys,5-1,?,Luzern
Sat May 6 2023,Sion,0-1,?,Winterthur
Sat May 6 2023,St. Gallen,0-2,?,Young Boys
Sun May 7 2023,Luzern,2-2,?,Lugano
Sun May 7 2023,Basel,0-2,?,Zurich
Sun May 7 2023,Grasshoppers,2-3,?,Servette
Sat May 13 2023,Grasshoppers,2-0,?,Luzern
Sat May 13 2023,Servette,5-0,?,Sion
Sun May 14 2023,Young Boys,1-1,?,Zurich
Sun May 14 2023,Lugano,2-1,?,Winterthur
Sun May 14 2023,St. Gallen,6-1,?,Basel
Sat May 20 2023,Winterthur,0-1,?,Servette
Sat May 20 2023,Luzern,1-1,?,St. Gallen
Sun May 21 2023,Sion,0-2,?,Young Boys
Sun May 21 2023,Basel,1-1,?,Lugano
Sun May 21 2023,Zurich,2-1,?,Grasshoppers
Thu May 25 2023,Grasshoppers,2-2,?,St. Gallen
Thu May 25 2023,Lugano,2-0,?,Young Boys
Thu May 25 2023,Servette,3-3,?,Basel
Thu May 25 2023,Sion,1-2,?,Luzern
Thu May 25 2023,Winterthur,0-2,?,Zurich
Mon May 29 2023,Basel,3-1,?,Grasshoppers
Mon May 29 2023,Luzern,0-1,?,Servette
Mon May 29 2023,St. Gallen,4-0,?,Sion
Mon May 29 2023,Young Boys,2-1,?,Winterthur
Mon May 29 2023,Zurich,2-3,?,Lugano
Sat Jun 3 2023,Sion,0-2,?,Lausanne Ouchy
Tue Jun 6 2023,Lausanne Ouchy,4-2,?,Sion
