Date,Team 1,FT,HT,Team 2
Mon Apr 10 2023,Rosenborg,1-0,?,Viking
Mon Apr 10 2023,Aalesund,0-1,?,Valerenga
Mon Apr 10 2023,Ham-Kam,2-0,?,Sandefjord
Mon Apr 10 2023,Sarpsborg 08,0-2,?,Bodo/Glimt
Mon Apr 10 2023,Stabaek,0-0,?,Odd
Mon Apr 10 2023,Tromso,1-0,?,Molde
Mon Apr 10 2023,Brann,3-0,?,Haugesund
Sat Apr 15 2023,Viking,2-0,?,Lillestrom
Sun Apr 16 2023,Bodo/Glimt,4-0,?,Stabaek
Sun Apr 16 2023,Haugesund,3-2,?,Ham-Kam
Sun Apr 16 2023,Molde,1-1,?,Rosenborg
Sun Apr 16 2023,Odd,2-0,?,Brann
Sun Apr 16 2023,Sandefjord,0-0,?,Tromso
Sun Apr 16 2023,Stromsgodset,1-0,?,Aalesund
Sun Apr 16 2023,Valerenga,0-2,?,Sarpsborg 08
Wed Apr 19 2023,Lillestrom,4-3,?,Stromsgodset
Sat Apr 22 2023,Brann,3-1,?,Valerenga
Sun Apr 23 2023,Aalesund,0-3,?,Bodo/Glimt
Sun Apr 23 2023,Ham-Kam,2-0,?,Stromsgodset
Sun Apr 23 2023,Rosenborg,1-1,?,Sandefjord
Sun Apr 23 2023,Sarpsborg 08,0-0,?,Odd
Sun Apr 23 2023,Stabaek,3-0,?,Haugesund
Sun Apr 23 2023,Tromso,1-1,?,Viking
Sun Apr 23 2023,Lillestrom,2-1,?,Molde
Sat Apr 29 2023,Bodo/Glimt,2-2,?,Brann
Sun Apr 30 2023,Haugesund,0-0,?,Sarpsborg 08
Sun Apr 30 2023,Molde,2-3,?,Stabaek
Sun Apr 30 2023,Sandefjord,4-0,?,Aalesund
Sun Apr 30 2023,Stromsgodset,0-1,?,Tromso
Sun Apr 30 2023,Viking,7-3,?,Ham-Kam
Sun Apr 30 2023,Odd,0-0,?,Rosenborg
Mon May 1 2023,Valerenga,3-4,?,Lillestrom
Wed May 3 2023,Bodo/Glimt,2-0,?,Odd
Wed May 3 2023,Molde,3-0,?,Aalesund
Wed May 3 2023,Rosenborg,0-2,?,Brann
Sat May 6 2023,Rosenborg,1-3,?,Valerenga
Sun May 7 2023,Aalesund,0-0,?,Haugesund
Sun May 7 2023,Ham-Kam,0-4,?,Molde
Sun May 7 2023,Stabaek,1-1,?,Sarpsborg 08
Sun May 7 2023,Tromso,0-1,?,Odd
Sun May 7 2023,Viking,1-1,?,Stromsgodset
Sun May 7 2023,Lillestrom,1-2,?,Bodo/Glimt
Mon May 8 2023,Brann,0-0,?,Sandefjord
Fri May 12 2023,Odd,0-1,?,Lillestrom
Sat May 13 2023,Bodo/Glimt,3-2,?,Rosenborg
Sat May 13 2023,Ham-Kam,1-2,?,Tromso
Sat May 13 2023,Molde,3-2,?,Stromsgodset
Sat May 13 2023,Sandefjord,1-2,?,Viking
Sat May 13 2023,Sarpsborg 08,2-1,?,Brann
Sat May 13 2023,Stabaek,1-0,?,Aalesund
Sat May 13 2023,Haugesund,1-1,?,Valerenga
Tue May 16 2023,Aalesund,3-1,?,Molde
Tue May 16 2023,Brann,4-1,?,Stabaek
Tue May 16 2023,Lillestrom,1-2,?,Sarpsborg 08
Tue May 16 2023,Rosenborg,1-0,?,Haugesund
Tue May 16 2023,Stromsgodset,1-0,?,Sandefjord
Tue May 16 2023,Tromso,2-3,?,Bodo/Glimt
Tue May 16 2023,Valerenga,3-0,?,Ham-Kam
Tue May 16 2023,Viking,3-2,?,Odd
Mon May 29 2023,Bodo/Glimt,5-1,?,Viking
Mon May 29 2023,Brann,3-1,?,Rosenborg
Mon May 29 2023,Haugesund,1-2,?,Tromso
Mon May 29 2023,Molde,5-0,?,Sandefjord
Mon May 29 2023,Odd,1-1,?,Stromsgodset
Mon May 29 2023,Sarpsborg 08,3-1,?,Aalesund
Mon May 29 2023,Stabaek,2-1,?,Valerenga
Mon May 29 2023,Ham-Kam,0-0,?,Lillestrom
Sun Jun 4 2023,Aalesund,1-3,?,Brann
Sun Jun 4 2023,Lillestrom,3-1,?,Stabaek
Sun Jun 4 2023,Rosenborg,4-0,?,Ham-Kam
Sun Jun 4 2023,Sandefjord,4-1,?,Odd
Sun Jun 4 2023,Stromsgodset,1-2,?,Haugesund
Sun Jun 4 2023,Tromso,2-1,?,Sarpsborg 08
Sun Jun 4 2023,Valerenga,1-3,?,Bodo/Glimt
Sun Jun 4 2023,Viking,3-4,?,Molde
Sun Jun 11 2023,Aalesund,2-3,?,Tromso
Sun Jun 11 2023,Bodo/Glimt,3-0,?,Ham-Kam
Sun Jun 11 2023,Haugesund,3-2,?,Sandefjord
Sun Jun 11 2023,Odd,1-0,?,Molde
Sun Jun 11 2023,Sarpsborg 08,1-3,?,Viking
Sun Jun 11 2023,Stabaek,2-2,?,Rosenborg
Sun Jun 11 2023,Valerenga,0-1,?,Stromsgodset
Sun Jun 11 2023,Brann,2-2,?,Lillestrom
Sat Jun 24 2023,Viking,3-1,?,Brann
Sun Jun 25 2023,Ham-Kam,0-1,?,Odd
Sun Jun 25 2023,Molde,1-0,?,Haugesund
Sun Jun 25 2023,Rosenborg,0-3,?,Sarpsborg 08
Sun Jun 25 2023,Tromso,2-1,?,Stabaek
Sun Jun 25 2023,Stromsgodset,2-0,?,Bodo/Glimt
Sat Jul 1 2023,Valerenga,1-2,?,Viking
Sun Jul 2 2023,Aalesund,1-0,?,Rosenborg
Sun Jul 2 2023,Brann,2-1,?,Ham-Kam
Sun Jul 2 2023,Haugesund,2-1,?,Odd
Sun Jul 2 2023,Lillestrom,0-1,?,Tromso
Sun Jul 2 2023,Sarpsborg 08,6-1,?,Sandefjord
Sun Jul 2 2023,Bodo/Glimt,2-2,?,Molde
Mon Jul 3 2023,Stabaek,0-1,?,Stromsgodset
Fri Jul 7 2023,Ham-Kam,2-1,?,Aalesund
Sat Jul 8 2023,Viking,2-0,?,Haugesund
Sun Jul 9 2023,Odd,0-2,?,Bodo/Glimt
Sun Jul 9 2023,Rosenborg,1-2,?,Lillestrom
Sun Jul 9 2023,Sandefjord,0-0,?,Stabaek
Sun Jul 9 2023,Stromsgodset,5-2,?,Sarpsborg 08
Sun Jul 9 2023,Tromso,0-0,?,Valerenga
Sun Jul 9 2023,Molde,2-0,?,Brann
Sat Jul 15 2023,Valerenga,0-4,?,Molde
Sun Jul 16 2023,Aalesund,0-3,?,Odd
Sun Jul 16 2023,Bodo/Glimt,2-1,?,Haugesund
Sun Jul 16 2023,Lillestrom,4-2,?,Sandefjord
Sun Jul 16 2023,Rosenborg,2-1,?,Tromso
Sun Jul 16 2023,Sarpsborg 08,2-3,?,Ham-Kam
