Date,Team 1,FT,HT,Team 2
Fri Jul 13 2012,Aarhus,1-1,?,Aalborg
Sat Jul 14 2012,Sonderjyske,6-1,?,Randers FC
Sun Jul 15 2012,Esbjerg,2-3,?,Silkeborg
Sun Jul 15 2012,Brondby,0-1,?,Odense
Sun Jul 15 2012,FC Copenhagen,4-2,?,Midtjylland
Mon Jul 16 2012,Horsens,0-4,?,Nordsjaelland
Fri Jul 20 2012,Silkeborg,0-2,?,Horsens
Sat Jul 21 2012,Midtjylland,3-1,?,Nordsjaelland
Sun Jul 22 2012,Odense,0-1,?,Randers FC
Sun Jul 22 2012,Sonderjyske,1-1,?,FC Copenhagen
Sun Jul 22 2012,Aalborg,2-1,?,Brondby
Mon Jul 23 2012,Aarhus,0-0,?,Esbjerg
Fri Jul 27 2012,Horsens,2-2,?,Midtjylland
Sat Jul 28 2012,FC Copenhagen,3-0,?,Aalborg
Sat Jul 28 2012,Esbjerg,1-2,?,Sonderjyske
Sun Jul 29 2012,Randers FC,2-1,?,Aarhus
Sun Jul 29 2012,Nordsjaelland,1-1,?,Odense
Mon Jul 30 2012,Brondby,2-1,?,Silkeborg
Fri Aug 3 2012,Silkeborg,0-1,?,Odense
Sat Aug 4 2012,Aalborg,1-1,?,Nordsjaelland
Sat Aug 4 2012,Esbjerg,1-2,?,FC Copenhagen
Sun Aug 5 2012,Midtjylland,2-1,?,Randers FC
Sun Aug 5 2012,Aarhus,3-1,?,Brondby
Mon Aug 6 2012,Sonderjyske,0-2,?,Horsens
Fri Aug 10 2012,Odense,2-1,?,Midtjylland
Sat Aug 11 2012,Nordsjaelland,6-1,?,Silkeborg
Sun Aug 12 2012,Horsens,1-4,?,Aalborg
Sun Aug 12 2012,Brondby,0-1,?,Sonderjyske
Sun Aug 12 2012,FC Copenhagen,3-0,?,Aarhus
Mon Aug 13 2012,Randers FC,1-0,?,Esbjerg
Fri Aug 17 2012,Aalborg,3-0,?,Midtjylland
Sat Aug 18 2012,Silkeborg,0-1,?,Randers FC
Sat Aug 18 2012,FC Copenhagen,1-1,?,Brondby
Sun Aug 19 2012,Esbjerg,0-0,?,Horsens
Sun Aug 19 2012,Aarhus,0-1,?,Nordsjaelland
Mon Aug 20 2012,Sonderjyske,1-2,?,Odense
Fri Aug 24 2012,Nordsjaelland,4-1,?,Sonderjyske
Sat Aug 25 2012,Randers FC,2-3,?,FC Copenhagen
