Date,Team 1,FT,HT,Team 2
Fri Aug 3 2012,Arsenal Sarandi,1-0,?,Union de Santa Fe
Fri Aug 3 2012,Velez Sarsfield,3-0,?,Argentinos Jrs
Sat Aug 4 2012,Racing Club,1-1,?,Atl. Rafaela
Sat Aug 4 2012,Colon Santa FE,1-0,?,Lanus
Sat Aug 4 2012,Quilmes,3-0,?,Boca Juniors
Sat Aug 4 2012,Newells Old Boys,0-0,?,Independiente
Sun Aug 5 2012,Godoy Cruz,1-1,?,All Boys
Sun Aug 5 2012,San Lorenzo,2-1,?,San Martin S.J.
Sun Aug 5 2012,River Plate,1-2,?,Belgrano
Mon Aug 6 2012,Tigre,1-2,?,Estudiantes L.P.
Fri Aug 10 2012,San Martin S.J.,0-1,?,Colon Santa FE
Fri Aug 10 2012,Lanus,0-1,?,Newells Old Boys
Sat Aug 11 2012,Estudiantes L.P.,0-2,?,River Plate
Sat Aug 11 2012,All Boys,1-1,?,Quilmes
Sat Aug 11 2012,Belgrano,0-0,?,San Lorenzo
Sun Aug 12 2012,Argentinos Jrs,0-2,?,Racing Club
Sun Aug 12 2012,Union de Santa Fe,0-1,?,Godoy Cruz
Sun Aug 12 2012,Boca Juniors,2-0,?,Tigre
Mon Aug 13 2012,Atl. Rafaela,0-0,?,Arsenal Sarandi
Mon Aug 13 2012,Independiente,0-0,?,Velez Sarsfield
Sat Aug 18 2012,Boca Juniors,3-1,?,All Boys
Sat Aug 18 2012,Colon Santa FE,2-2,?,Belgrano
Sat Aug 18 2012,San Lorenzo,0-1,?,Estudiantes L.P.
Sun Aug 19 2012,Racing Club,2-0,?,Independiente
Sun Aug 19 2012,Godoy Cruz,2-0,?,Atl. Rafaela
Sun Aug 19 2012,Velez Sarsfield,0-2,?,Lanus
Sun Aug 19 2012,Tigre,2-3,?,River Plate
Mon Aug 20 2012,Quilmes,2-1,?,Union de Santa Fe
Mon Aug 20 2012,Arsenal Sarandi,2-2,?,Argentinos Jrs
Mon Aug 20 2012,Newells Old Boys,2-0,?,San Martin S.J.
Sat Aug 25 2012,All Boys,2-2,?,Tigre
Sat Aug 25 2012,Union de Santa Fe,1-2,?,Boca Juniors
Sat Aug 25 2012,Argentinos Jrs,2-1,?,Godoy Cruz
Sat Aug 25 2012,Independiente,0-2,?,Arsenal Sarandi
Sun Aug 26 2012,Atl. Rafaela,1-1,?,Quilmes
Sun Aug 26 2012,Belgrano,0-0,?,Newells Old Boys
Sun Aug 26 2012,Lanus,1-1,?,Racing Club
Sun Aug 26 2012,San Martin S.J.,0-3,?,Velez Sarsfield
Sun Aug 26 2012,River Plate,0-0,?,San Lorenzo
Mon Aug 27 2012,Estudiantes L.P.,1-2,?,Colon Santa FE
Fri Aug 31 2012,All Boys,3-1,?,Union de Santa Fe
Sat Sep 1 2012,Newells Old Boys,1-0,?,Estudiantes L.P.
Sat Sep 1 2012,Arsenal Sarandi,1-0,?,Lanus
Sat Sep 1 2012,Velez Sarsfield,2-1,?,Belgrano
Sun Sep 2 2012,Tigre,1-1,?,San Lorenzo
Sun Sep 2 2012,Boca Juniors,2-1,?,Atl. Rafaela
Sun Sep 2 2012,Godoy Cruz,2-1,?,Independiente
Sun Sep 2 2012,Colon Santa FE,1-1,?,River Plate
Mon Sep 3 2012,Quilmes,0-1,?,Argentinos Jrs
Mon Sep 3 2012,Racing Club,3-1,?,San Martin S.J.
Sat Sep 8 2012,San Martin S.J.,4-0,?,Arsenal Sarandi
Sat Sep 8 2012,Atl. Rafaela,2-1,?,All Boys
Sat Sep 8 2012,Estudiantes L.P.,0-0,?,Velez Sarsfield
Sat Sep 8 2012,San Lorenzo,2-1,?,Colon Santa FE
Sun Sep 9 2012,Argentinos Jrs,1-1,?,Boca Juniors
Sun Sep 9 2012,Belgrano,1-0,?,Racing Club
Sun Sep 9 2012,Independiente,1-1,?,Quilmes
Sun Sep 9 2012,River Plate,3-3,?,Newells Old Boys
Mon Sep 10 2012,Union de Santa Fe,1-1,?,Tigre
Mon Sep 10 2012,Lanus,2-0,?,Godoy Cruz
Sat Sep 15 2012,Tigre,2-2,?,Colon Santa FE
Sat Sep 15 2012,All Boys,0-1,?,Argentinos Jrs
Sat Sep 15 2012,Godoy Cruz,1-0,?,San Martin S.J.
Sat Sep 15 2012,Racing Club,0-1,?,Estudiantes L.P.
Sun Sep 16 2012,Boca Juniors,2-1,?,Independiente
Sun Sep 16 2012,Newells Old Boys,1-0,?,San Lorenzo
Sun Sep 16 2012,Arsenal Sarandi,0-2,?,Belgrano
Sun Sep 16 2012,Velez Sarsfield,2-0,?,River Plate
Mon Sep 17 2012,Union de Santa Fe,0-0,?,Atl. Rafaela
Mon Sep 17 2012,Quilmes,0-0,?,Lanus
Fri Sep 21 2012,Belgrano,1-0,?,Godoy Cruz
Fri Sep 21 2012,Atl. Rafaela,3-0,?,Tigre
Sat Sep 22 2012,Argentinos Jrs,3-3,?,Union de Santa Fe
Sat Sep 22 2012,San Lorenzo,1-2,?,Velez Sarsfield
Sat Sep 22 2012,Independiente,1-1,?,All Boys
Sun Sep 23 2012,River Plate,0-1,?,Racing Club
Sun Sep 23 2012,Colon Santa FE,1-2,?,Newells Old Boys
Sun Sep 23 2012,San Martin S.J.,4-0,?,Quilmes
Sun Sep 23 2012,Lanus,2-0,?,Boca Juniors
Mon Sep 24 2012,Estudiantes L.P.,2-1,?,Arsenal Sarandi
Fri Sep 28 2012,Quilmes,1-1,?,Belgrano
Sat Sep 29 2012,All Boys,2-1,?,Lanus
Sat Sep 29 2012,Godoy Cruz,1-0,?,Estudiantes L.P.
Sat Sep 29 2012,Atl. Rafaela,5-3,?,Argentinos Jrs
Sat Sep 29 2012,Racing Club,4-0,?,San Lorenzo
Sun Sep 30 2012,Arsenal Sarandi,0-4,?,River Plate
Sun Sep 30 2012,Tigre,0-0,?,Newells Old Boys
Sun Sep 30 2012,Union de Santa Fe,1-2,?,Independiente
Sun Sep 30 2012,Velez Sarsfield,2-4,?,Colon Santa FE
Sun Sep 30 2012,Boca Juniors,1-1,?,San Martin S.J.
Fri Oct 5 2012,Lanus,2-0,?,Union de Santa Fe
