Date,Team 1,FT,HT,Team 2
Sat Oct 17 2020,Albion Rvs,1-3,0-1,Stenhousemuir
Sat Oct 17 2020,Brechin,1-5,0-1,Edinburgh City
Sat Oct 17 2020,Cowdenbeath,0-3,0-2,Annan Athletic
Sat Oct 17 2020,Stirling,0-0,0-0,Queens Park
Sat Oct 17 2020,Stranraer,1-4,0-1,Elgin
Sat Oct 24 2020,Annan Athletic,1-1,1-1,Stranraer
Sat Oct 24 2020,Edinburgh City,0-1,0-0,Cowdenbeath
Sat Oct 24 2020,Elgin,3-0,1-0,Brechin
Sat Oct 24 2020,Queens Park,2-0,2-0,Albion Rvs
Sat Oct 24 2020,Stenhousemuir,2-2,0-1,Stirling
Sat Oct 31 2020,Albion Rvs,0-2,0-1,Brechin
Sat Oct 31 2020,Cowdenbeath,1-1,0-0,Stenhousemuir
Sat Oct 31 2020,Edinburgh City,1-0,1-0,Elgin
Sat Oct 31 2020,Stirling,1-0,1-0,Annan Athletic
Sat Oct 31 2020,Stranraer,0-1,0-0,Queens Park
Sat Nov 7 2020,Annan Athletic,2-3,0-0,Albion Rvs
Sat Nov 7 2020,Brechin,0-5,0-2,Stirling
Sat Nov 7 2020,Elgin,0-1,0-1,Queens Park
Sat Nov 7 2020,Stenhousemuir,2-0,0-0,Edinburgh City
Sat Nov 7 2020,Stranraer,2-0,1-0,Cowdenbeath
Sat Nov 21 2020,Edinburgh City,0-1,0-1,Stranraer
Sat Nov 21 2020,Queens Park,3-0,2-0,Brechin
Sat Nov 21 2020,Stenhousemuir,1-2,0-1,Annan Athletic
Sat Nov 21 2020,Stirling,1-2,0-1,Elgin
