Date,Team 1,FT,HT,Team 2
Fri Jul 24 2020,Necaxa,0-3,?,U.A.N.L.- Tigres
Sat Jul 25 2020,Guadalajara Chivas,0-0,?,Club Leon
Sat Jul 25 2020,Club Tijuana,3-1,?,Atlas
Sat Jul 25 2020,Cruz Azul,2-0,?,Santos Laguna
Sun Jul 26 2020,U.N.A.M.- Pumas,3-2,?,Queretaro
Mon Jul 27 2020,Atl. San Luis,1-1,?,Juarez
Mon Jul 27 2020,Pachuca,1-2,?,Club America
Mon Jul 27 2020,Mazatlan FC,1-4,?,Puebla
Tue Jul 28 2020,Monterrey,3-1,?,Toluca
Fri Jul 31 2020,Puebla,1-1,?,Cruz Azul
Fri Jul 31 2020,Juarez,1-0,?,Necaxa
Sat Aug 1 2020,U.A.N.L.- Tigres,1-1,?,Pachuca
Sat Aug 1 2020,Club America,4-0,?,Club Tijuana
Sun Aug 2 2020,Toluca,3-2,?,Atl. San Luis
Sun Aug 2 2020,Queretaro,1-1,?,Mazatlan FC
Sun Aug 2 2020,Santos Laguna,2-0,?,Guadalajara Chivas
Mon Aug 3 2020,Atlas,1-2,?,U.N.A.M.- Pumas
Mon Aug 3 2020,Club Leon,1-0,?,Monterrey
Thu Aug 6 2020,Pachuca,1-0,?,Queretaro
Thu Aug 6 2020,Club Tijuana,0-0,?,U.A.N.L.- Tigres
Fri Aug 7 2020,Necaxa,1-1,?,Club America
Fri Aug 7 2020,Mazatlan FC,2-1,?,Toluca
Sat Aug 8 2020,Cruz Azul,2-0,?,Club Leon
Sat Aug 8 2020,Monterrey,2-2,?,Santos Laguna
Sat Aug 8 2020,Guadalajara Chivas,0-1,?,Puebla
Sun Aug 9 2020,U.N.A.M.- Pumas,1-1,?,Juarez
Sun Aug 9 2020,Atl. San Luis,1-1,?,Atlas
Tue Aug 11 2020,Necaxa,1-0,?,Mazatlan FC
Tue Aug 11 2020,Pachuca,0-1,?,Club Leon
Tue Aug 11 2020,U.A.N.L.- Tigres,2-1,?,Puebla
Wed Aug 12 2020,Queretaro,1-0,?,Cruz Azul
Wed Aug 12 2020,Juarez,0-2,?,Guadalajara Chivas
Wed Aug 12 2020,U.N.A.M.- Pumas,1-1,?,Monterrey
Wed Aug 12 2020,Club Tijuana,0-2,?,Atl. San Luis
Thu Aug 13 2020,Atlas,1-2,?,Toluca
Thu Aug 13 2020,Club America,3-1,?,Santos Laguna
Fri Aug 14 2020,Puebla,0-1,?,Pachuca
Sat Aug 15 2020,Guadalajara Chivas,2-1,?,Atl. San Luis
Sat Aug 15 2020,Cruz Azul,3-2,?,Juarez
Sat Aug 15 2020,Mazatlan FC,0-0,?,U.N.A.M.- Pumas
Sat Aug 15 2020,Monterrey,1-1,?,Necaxa
Sun Aug 16 2020,Toluca,3-2,?,U.A.N.L.- Tigres
Sun Aug 16 2020,Santos Laguna,0-0,?,Atlas
Sun Aug 16 2020,Queretaro,4-1,?,Club America
Mon Aug 17 2020,Club Leon,2-1,?,Club Tijuana
Fri Aug 21 2020,Necaxa,2-1,?,Santos Laguna
Fri Aug 21 2020,Juarez,0-0,?,Club Leon
Sat Aug 22 2020,Atlas,1-0,?,Queretaro
Sat Aug 22 2020,U.A.N.L.- Tigres,1-1,?,U.N.A.M.- Pumas
Sat Aug 22 2020,Club America,1-3,?,Monterrey
Sun Aug 23 2020,Toluca,1-0,?,Guadalajara Chivas
Sun Aug 23 2020,Atl. San Luis,1-3,?,Cruz Azul
Sun Aug 23 2020,Club Tijuana,1-0,?,Puebla
Mon Aug 24 2020,Pachuca,4-3,?,Mazatlan FC
Fri Aug 28 2020,Puebla,4-1,?,Toluca
Fri Aug 28 2020,Mazatlan FC,1-1,?,U.A.N.L.- Tigres
Sat Aug 29 2020,Atl. San Luis,1-2,?,Club America
Sat Aug 29 2020,Guadalajara Chivas,0-0,?,Pachuca
Sat Aug 29 2020,Cruz Azul,3-0,?,Necaxa
Sun Aug 30 2020,U.N.A.M.- Pumas,3-0,?,Club Tijuana
Sun Aug 30 2020,Santos Laguna,2-1,?,Queretaro
Sun Aug 30 2020,Monterrey,2-1,?,Juarez
Mon Aug 31 2020,Club Leon,2-1,?,Atlas
Wed Sep 2 2020,Club America,3-1,?,Mazatlan FC
Thu Sep 3 2020,Queretaro,4-1,?,Toluca
Thu Sep 3 2020,Pachuca,3-1,?,Atl. San Luis
Fri Sep 4 2020,Necaxa,0-2,?,Club Leon
Fri Sep 4 2020,Club Tijuana,2-1,?,Monterrey
Fri Sep 4 2020,Juarez,1-1,?,Santos Laguna
Sat Sep 5 2020,U.N.A.M.- Pumas,4-1,?,Puebla
Sat Sep 5 2020,Atlas,1-0,?,Cruz Azul
Sat Sep 5 2020,U.A.N.L.- Tigres,1-3,?,Guadalajara Chivas
Tue Sep 8 2020,Atl. San Luis,2-1,?,Necaxa
Tue Sep 8 2020,Toluca,0-1,?,Juarez
Tue Sep 8 2020,Monterrey,1-1,?,Atlas
Tue Sep 8 2020,Guadalajara Chivas,1-1,?,Queretaro
Tue Sep 8 2020,Puebla,2-3,?,Club America
Wed Sep 9 2020,Club Leon,1-1,?,U.A.N.L.- Tigres
Wed Sep 9 2020,Cruz Azul,1-0,?,Pachuca
Wed Sep 9 2020,Mazatlan FC,1-0,?,Club Tijuana
Wed Sep 9 2020,Santos Laguna,1-2,?,U.N.A.M.- Pumas
