Date,Team 1,FT,HT,Team 2
Sat Jul 19 2014,Salzburg,6-1,?,Rapid Vienna
Sat Jul 19 2014,Admira,1-4,?,Wolfsberger AC
Sat Jul 19 2014,Altach,1-0,?,Sturm Graz
Sat Jul 19 2014,Ried,3-1,?,Neustadt
Sun Jul 20 2014,Austria Vienna,1-1,?,Grodig
Sat Jul 26 2014,Wolfsberger AC,4-0,?,Austria Vienna
Sat Jul 26 2014,Neustadt,0-5,?,Salzburg
Sat Jul 26 2014,Rapid Vienna,1-0,?,Ried
Sun Jul 27 2014,Grodig,2-1,?,Sturm Graz
Sat Aug 2 2014,Admira,1-1,?,Rapid Vienna
Sat Aug 2 2014,Austria Vienna,0-0,?,Altach
Sat Aug 2 2014,Ried,0-2,?,Salzburg
Sat Aug 2 2014,Sturm Graz,4-2,?,Neustadt
Sun Aug 3 2014,Grodig,0-2,?,Wolfsberger AC
Sat Aug 9 2014,Neustadt,2-2,?,Austria Vienna
Sat Aug 9 2014,Altach,1-2,?,Wolfsberger AC
Sat Aug 9 2014,Rapid Vienna,1-1,?,Sturm Graz
Sat Aug 9 2014,Ried,1-1,?,Admira
Sun Aug 10 2014,Salzburg,8-0,?,Grodig
Wed Aug 13 2014,Altach,0-2,?,Admira
Sat Aug 16 2014,Rapid Vienna,0-1,?,Altach
Sat Aug 16 2014,Wolfsberger AC,4-1,?,Ried
Sat Aug 16 2014,Admira,0-3,?,Salzburg
Sat Aug 16 2014,Grodig,3-0,?,Neustadt
Sun Aug 17 2014,Sturm Graz,1-1,?,Austria Vienna
Sat Aug 23 2014,Sturm Graz,1-2,?,Wolfsberger AC
Sat Aug 23 2014,Neustadt,5-4,?,Admira
Sat Aug 23 2014,Ried,2-2,?,Grodig
Sat Aug 23 2014,Salzburg,5-0,?,Altach
Sun Aug 24 2014,Austria Vienna,2-2,?,Rapid Vienna
Sat Aug 30 2014,Salzburg,2-3,?,Sturm Graz
Sat Aug 30 2014,Wolfsberger AC,0-1,?,Neustadt
Sat Aug 30 2014,Admira,2-1,?,Austria Vienna
Sat Aug 30 2014,Altach,2-2,?,Ried
Sun Aug 31 2014,Rapid Vienna,2-0,?,Grodig
Sat Sep 13 2014,Austria Vienna,3-1,?,Ried
Sat Sep 13 2014,Sturm Graz,0-2,?,Admira
Sun Sep 14 2014,Wolfsberger AC,1-0,?,Salzburg
Wed Sep 17 2014,Grodig,3-3,?,Altach
Wed Sep 17 2014,Neustadt,1-5,?,Rapid Vienna
Sat Sep 20 2014,Rapid Vienna,3-0,?,Wolfsberger AC
Sat Sep 20 2014,Admira,0-0,?,Grodig
Sat Sep 20 2014,Altach,2-0,?,Neustadt
Sat Sep 20 2014,Ried,0-1,?,Sturm Graz
Sun Sep 21 2014,Salzburg,2-3,?,Austria Vienna
Sat Sep 27 2014,Sturm Graz,2-2,?,Altach
Sat Sep 27 2014,Wolfsberger AC,2-1,?,Admira
Sat Sep 27 2014,Grodig,0-0,?,Austria Vienna
Sat Sep 27 2014,Neustadt,0-1,?,Ried
Sun Sep 28 2014,Rapid Vienna,1-2,?,Salzburg
Sat Oct 4 2014,Austria Vienna,0-2,?,Wolfsberger AC
Sat Oct 4 2014,Admira,0-2,?,Altach
Sat Oct 4 2014,Sturm Graz,1-0,?,Grodig
