Date,Team 1,FT,HT,Team 2
Wed Jul 28 1993,Chemnitz,0-0,?,Wuppertaler
Wed Jul 28 1993,CZ Jena,1-1,?,Hertha
Wed Jul 28 1993,Hansa Rostock,4-0,?,Munich 1860
Wed Jul 28 1993,Homburg,2-1,?,St Pauli
Wed Jul 28 1993,Mannheim,1-1,?,F Koln
Wed Jul 28 1993,Meppen,0-1,?,Bochum
Wed Jul 28 1993,RW Essen,3-1,?,Saarbrucken
Wed Jul 28 1993,Stuttgarter K,0-0,?,Hannover
Wed Jul 28 1993,TB Berlin,0-1,?,Mainz
Wed Jul 28 1993,Wolfsburg,3-0,?,Uerdingen
Sat Jul 31 1993,Bochum,2-0,?,Hansa Rostock
Sat Jul 31 1993,F Koln,2-0,?,Wolfsburg
Sat Jul 31 1993,Hannover,0-1,?,TB Berlin
Sat Jul 31 1993,Hertha,1-0,?,Mannheim
Sat Jul 31 1993,Mainz,2-0,?,CZ Jena
Sat Jul 31 1993,Munich 1860,1-0,?,RW Essen
Sat Jul 31 1993,Saarbrucken,3-0,?,Stuttgarter K
Sat Jul 31 1993,St Pauli,3-0,?,Chemnitz
Sat Jul 31 1993,Uerdingen,0-1,?,Homburg
Sat Jul 31 1993,Wuppertaler,0-1,?,Meppen
Sat Aug 7 1993,Chemnitz,1-4,?,Uerdingen
Sat Aug 7 1993,CZ Jena,2-2,?,Mannheim
Sat Aug 7 1993,Hansa Rostock,0-1,?,Wuppertaler
Sat Aug 7 1993,Homburg,1-2,?,F Koln
Sat Aug 7 1993,Mainz,1-0,?,Hannover
Sat Aug 7 1993,Meppen,1-1,?,St Pauli
Sat Aug 7 1993,RW Essen,0-2,?,Bochum
Sat Aug 7 1993,Stuttgarter K,0-2,?,Munich 1860
Sat Aug 7 1993,TB Berlin,0-4,?,Saarbrucken
Sat Aug 7 1993,Wolfsburg,1-0,?,Hertha
Sat Aug 14 1993,Bochum,3-1,?,Stuttgarter K
Sat Aug 14 1993,F Koln,0-1,?,Chemnitz
Sat Aug 14 1993,Hannover,1-0,?,CZ Jena
Sat Aug 14 1993,Hertha,1-0,?,Homburg
Sat Aug 14 1993,Mannheim,1-1,?,Wolfsburg
Sat Aug 14 1993,Munich 1860,2-1,?,TB Berlin
Sat Aug 14 1993,Saarbrucken,2-0,?,Mainz
Sat Aug 14 1993,St Pauli,2-4,?,Hansa Rostock
Sat Aug 14 1993,Uerdingen,1-0,?,Meppen
Sat Aug 14 1993,Wuppertaler,0-0,?,RW Essen
Sat Aug 21 1993,Chemnitz,1-1,?,Hertha
Sat Aug 21 1993,CZ Jena,2-0,?,Wolfsburg
Sat Aug 21 1993,Hannover,4-1,?,Saarbrucken
Sat Aug 21 1993,Hansa Rostock,2-0,?,Uerdingen
Sat Aug 21 1993,Homburg,3-0,?,Mannheim
Sat Aug 21 1993,Mainz,1-1,?,Munich 1860
Sat Aug 21 1993,Meppen,4-2,?,F Koln
Sat Aug 21 1993,RW Essen,0-0,?,St Pauli
Sat Aug 21 1993,Stuttgarter K,1-0,?,Wuppertaler
Sat Aug 21 1993,TB Berlin,1-1,?,Bochum
Sat Aug 28 1993,Bochum,2-0,?,Mainz
Sat Aug 28 1993,F Koln,0-0,?,Hansa Rostock
Sat Aug 28 1993,Hertha,1-1,?,Meppen
Sat Aug 28 1993,Mannheim,1-0,?,Chemnitz
Sat Aug 28 1993,Munich 1860,2-2,?,Hannover
Sat Aug 28 1993,Saarbrucken,2-1,?,CZ Jena
Sat Aug 28 1993,St Pauli,3-0,?,Stuttgarter K
Sat Aug 28 1993,Uerdingen,2-0,?,RW Essen
Sat Aug 28 1993,Wolfsburg,2-0,?,Homburg
Sat Aug 28 1993,Wuppertaler,1-0,?,TB Berlin
Sat Sep 4 1993,Chemnitz,1-1,?,Wolfsburg
Sat Sep 4 1993,CZ Jena,2-1,?,Homburg
Sat Sep 4 1993,Hannover,0-0,?,Bochum
Sat Sep 4 1993,Hansa Rostock,2-2,?,Hertha
Sat Sep 4 1993,Mainz,1-1,?,Wuppertaler
Sat Sep 4 1993,Meppen,1-0,?,Mannheim
Sat Sep 4 1993,RW Essen,3-0,?,F Koln
Sat Sep 4 1993,Saarbrucken,0-2,?,Munich 1860
Sat Sep 4 1993,Stuttgarter K,0-2,?,Uerdingen
Sat Sep 4 1993,TB Berlin,0-0,?,St Pauli
Sat Sep 18 1993,Bochum,4-0,?,Saarbrucken
Sat Sep 18 1993,F Koln,2-1,?,Stuttgarter K
Sat Sep 18 1993,Hertha,3-4,?,RW Essen
Sat Sep 18 1993,Homburg,4-0,?,Chemnitz
Sat Sep 18 1993,Mannheim,3-3,?,Hansa Rostock
Sat Sep 18 1993,Munich 1860,2-0,?,CZ Jena
Sat Sep 18 1993,St Pauli,1-0,?,Mainz
Sat Sep 18 1993,Uerdingen,3-1,?,TB Berlin
Sat Sep 18 1993,Wolfsburg,3-2,?,Meppen
Sat Sep 18 1993,Wuppertaler,0-0,?,Hannover
Sat Sep 25 1993,CZ Jena,0-2,?,Chemnitz
Sat Sep 25 1993,Hannover,4-1,?,St Pauli
Sat Sep 25 1993,Hansa Rostock,2-0,?,Wolfsburg
