Date,Team 1,FT,HT,Team 2
Fri Mar 6 2015,Los Angeles Galaxy,2-0,?,Chicago Fire
Sat Mar 7 2015,DC United,1-0,?,CF Montreal
Sat Mar 7 2015,Philadelphia Union,0-0,?,Colorado Rapids
Sat Mar 7 2015,Vancouver Whitecaps,1-3,?,Toronto FC
Sat Mar 7 2015,FC Dallas,1-0,?,San Jose Earthquakes
Sat Mar 7 2015,Houston Dynamo,1-0,?,Columbus Crew
Sat Mar 7 2015,Portland Timbers,0-0,?,Real Salt Lake
Sun Mar 8 2015,Orlando City,1-1,?,New York City
Sun Mar 8 2015,Sporting Kansas City,1-1,?,New York Red Bulls
Sun Mar 8 2015,Seattle Sounders,3-0,?,New England Revolution
Fri Mar 13 2015,Houston Dynamo,0-1,?,Orlando City
Sat Mar 14 2015,Chicago Fire,0-1,?,Vancouver Whitecaps
Sat Mar 14 2015,Columbus Crew,2-0,?,Toronto FC
Sat Mar 14 2015,FC Dallas,3-1,?,Sporting Kansas City
Sat Mar 14 2015,Real Salt Lake,3-3,?,Philadelphia Union
Sat Mar 14 2015,Seattle Sounders,2-3,?,San Jose Earthquakes
Sun Mar 15 2015,New York City,2-0,?,New England Revolution
Sun Mar 15 2015,Portland Timbers,2-2,?,Los Angeles Galaxy
Sat Mar 21 2015,New England Revolution,0-0,?,CF Montreal
Sat Mar 21 2015,Colorado Rapids,0-0,?,New York City
Sat Mar 21 2015,Philadelphia Union,0-2,?,FC Dallas
Sat Mar 21 2015,Orlando City,0-1,?,Vancouver Whitecaps
Sat Mar 21 2015,Sporting Kansas City,0-0,?,Portland Timbers
Sat Mar 21 2015,Los Angeles Galaxy,1-1,?,Houston Dynamo
Sun Mar 22 2015,New York Red Bulls,2-0,?,DC United
Sun Mar 22 2015,San Jose Earthquakes,2-1,?,Chicago Fire
Sat Mar 28 2015,New England Revolution,2-1,?,San Jose Earthquakes
Sat Mar 28 2015,CF Montreal,2-2,?,Orlando City
Sat Mar 28 2015,DC United,1-0,?,Los Angeles Galaxy
Sat Mar 28 2015,New York City,0-1,?,Sporting Kansas City
Sat Mar 28 2015,Columbus Crew,1-2,?,New York Red Bulls
Sat Mar 28 2015,Vancouver Whitecaps,2-1,?,Portland Timbers
Sat Mar 28 2015,FC Dallas,0-0,?,Seattle Sounders
Sat Mar 28 2015,Houston Dynamo,0-0,?,Colorado Rapids
Sun Mar 29 2015,Chicago Fire,1-0,?,Philadelphia Union
Sun Mar 29 2015,Real Salt Lake,2-1,?,Toronto FC
Fri Apr 3 2015,Orlando City,0-1,?,DC United
Sat Apr 4 2015,Chicago Fire,3-2,?,Toronto FC
Sat Apr 4 2015,Colorado Rapids,0-2,?,New England Revolution
Sat Apr 4 2015,Seattle Sounders,1-0,?,Houston Dynamo
Sat Apr 4 2015,Vancouver Whitecaps,2-0,?,Los Angeles Galaxy
Sat Apr 4 2015,Portland Timbers,3-1,?,FC Dallas
Sun Apr 5 2015,San Jose Earthquakes,0-1,?,Real Salt Lake
Sun Apr 5 2015,Sporting Kansas City,3-2,?,Philadelphia Union
Wed Apr 8 2015,Vancouver Whitecaps,2-2,?,Columbus Crew
Fri Apr 10 2015,FC Dallas,0-4,?,Colorado Rapids
Sat Apr 11 2015,New England Revolution,0-0,?,Columbus Crew
Sat Apr 11 2015,Philadelphia Union,2-1,?,New York City
Sat Apr 11 2015,DC United,2-2,?,New York Red Bulls
Sat Apr 11 2015,Houston Dynamo,3-0,?,CF Montreal
Sat Apr 11 2015,Sporting Kansas City,0-0,?,Real Salt Lake
Sat Apr 11 2015,San Jose Earthquakes,1-0,?,Vancouver Whitecaps
Sun Apr 12 2015,Portland Timbers,0-2,?,Orlando City
Sun Apr 12 2015,Los Angeles Galaxy,1-0,?,Seattle Sounders
