Date,Team 1,FT,HT,Team 2
Fri Feb 13 2015,Velez Sarsfield,2-0,?,Aldosivi
Fri Feb 13 2015,Racing Club,0-1,?,Rosario Central
Sat Feb 14 2015,Gimnasia L.P.,0-1,?,Defensa y Justicia
Sat Feb 14 2015,San Lorenzo,2-0,?,Colon Santa FE
Sat Feb 14 2015,Godoy Cruz,1-1,?,San Martin S.J.
Sat Feb 14 2015,Newells Old Boys,2-3,?,Independiente
Sat Feb 14 2015,Banfield,0-1,?,Temperley
Sat Feb 14 2015,Crucero del Norte,0-0,?,Tigre
Sun Feb 15 2015,Quilmes,0-1,?,Lanus
Sun Feb 15 2015,Union de Santa Fe,1-0,?,Huracan
Sun Feb 15 2015,Boca Juniors,3-1,?,Olimpo Bahia Blanca
Sun Feb 15 2015,Argentinos Jrs,2-0,?,Atl. Rafaela
Sun Feb 15 2015,Sarmiento Junin,1-4,?,River Plate
Mon Feb 16 2015,Arsenal Sarandi,0-1,?,Estudiantes L.P.
Mon Feb 16 2015,Belgrano,3-1,?,Nueva Chicago
Fri Feb 20 2015,Atl. Rafaela,1-4,?,Banfield
Sat Feb 21 2015,Huracan,1-0,?,Arsenal Sarandi
Sat Feb 21 2015,Estudiantes L.P.,2-1,?,Godoy Cruz
Sat Feb 21 2015,Rosario Central,2-1,?,Tigre
Sat Feb 21 2015,Olimpo Bahia Blanca,0-0,?,Racing Club
Sat Feb 21 2015,Velez Sarsfield,2-1,?,Crucero del Norte
Sat Feb 21 2015,San Martin S.J.,1-1,?,Gimnasia L.P.
Sun Feb 22 2015,Aldosivi,0-1,?,Newells Old Boys
Sun Feb 22 2015,Independiente,1-1,?,Sarmiento Junin
Sun Feb 22 2015,Nueva Chicago,2-2,?,Union de Santa Fe
Sun Feb 22 2015,River Plate,2-2,?,Quilmes
Sun Feb 22 2015,Colon Santa FE,1-1,?,Argentinos Jrs
Sun Feb 22 2015,Temperley,0-2,?,Boca Juniors
Mon Feb 23 2015,Lanus,0-0,?,Belgrano
Mon Feb 23 2015,Defensa y Justicia,1-2,?,San Lorenzo
Fri Feb 27 2015,Arsenal Sarandi,1-1,?,Nueva Chicago
Fri Feb 27 2015,Godoy Cruz,2-1,?,Huracan
Sat Feb 28 2015,Tigre,1-0,?,Olimpo Bahia Blanca
Sat Feb 28 2015,Crucero del Norte,0-1,?,Rosario Central
Sat Feb 28 2015,Union de Santa Fe,1-1,?,Lanus
Sat Feb 28 2015,Quilmes,1-2,?,Independiente
Sat Feb 28 2015,San Lorenzo,1-2,?,San Martin S.J.
Sun Mar 1 2015,Gimnasia L.P.,1-3,?,Estudiantes L.P.
Sun Mar 1 2015,Boca Juniors,1-0,?,Atl. Rafaela
Sun Mar 1 2015,Argentinos Jrs,1-0,?,Defensa y Justicia
Sun Mar 1 2015,Racing Club,2-1,?,Temperley
Sun Mar 1 2015,Belgrano,1-2,?,River Plate
Mon Mar 2 2015,Sarmiento Junin,2-2,?,Aldosivi
Mon Mar 2 2015,Banfield,0-0,?,Colon Santa FE
Mon Mar 2 2015,Newells Old Boys,0-0,?,Velez Sarsfield
Fri Mar 6 2015,Huracan,1-1,?,Gimnasia L.P.
