Date,Team 1,FT,HT,Team 2
Sat Mar 7 2015,Hangzhou Greentown,1-2,?,Guangzhou R&F
Sat Mar 7 2015,Shanghai SIPG,2-1,?,Jiangsu Suning
Sat Mar 7 2015,Beijing Renhe,0-1,?,Liaoning
Sun Mar 8 2015,Chongqing Lifan,0-3,?,Beijing Guoan
Sun Mar 8 2015,Shandong Luneng,2-0,?,Changchun Yatai
Sun Mar 8 2015,Henan Jianye,3-1,?,Tianjin Teda
Sun Mar 8 2015,Shanghai Shenhua,6-2,?,Shanghai Shenxin
Mon Mar 9 2015,Guangzhou Evergrande,2-1,?,Shijiazhuang
Fri Mar 13 2015,Liaoning,3-2,?,Shandong Luneng
Fri Mar 13 2015,Beijing Guoan,1-0,?,Henan Jianye
Fri Mar 13 2015,Guangzhou R&F,0-1,?,Shanghai Shenhua
Sat Mar 14 2015,Chongqing Lifan,1-2,?,Guangzhou Evergrande
Sat Mar 14 2015,Jiangsu Suning,2-0,?,Beijing Renhe
Sun Mar 15 2015,Shanghai Shenxin,0-2,?,Shanghai SIPG
Sun Mar 15 2015,Tianjin Teda,0-0,?,Hangzhou Greentown
Sat Mar 21 2015,Beijing Renhe,2-1,?,Shanghai Shenxin
Sat Mar 21 2015,Shijiazhuang,1-1,?,Liaoning
Sun Mar 22 2015,Hangzhou Greentown,1-1,?,Beijing Guoan
Sun Mar 22 2015,Shanghai SIPG,2-1,?,Guangzhou R&F
Sun Mar 22 2015,Shandong Luneng,5-1,?,Jiangsu Suning
Sun Mar 22 2015,Shanghai Shenhua,1-0,?,Tianjin Teda
Sun Mar 22 2015,Henan Jianye,3-3,?,Chongqing Lifan
Sun Mar 22 2015,Guangzhou Evergrande,1-1,?,Changchun Yatai
Fri Apr 3 2015,Shanghai Shenxin,1-2,?,Shandong Luneng
Fri Apr 3 2015,Guangzhou R&F,4-0,?,Beijing Renhe
Fri Apr 3 2015,Beijing Guoan,2-0,?,Shanghai Shenhua
Fri Apr 3 2015,Henan Jianye,2-1,?,Guangzhou Evergrande
Sat Apr 4 2015,Liaoning,2-2,?,Changchun Yatai
Sat Apr 4 2015,Chongqing Lifan,1-2,?,Hangzhou Greentown
Sun Apr 5 2015,Tianjin Teda,0-0,?,Shanghai SIPG
Sun Apr 5 2015,Jiangsu Suning,2-1,?,Shijiazhuang
Sat Apr 11 2015,Beijing Renhe,0-1,?,Tianjin Teda
Sat Apr 11 2015,Shijiazhuang,2-1,?,Shanghai Shenxin
Sat Apr 11 2015,Shanghai Shenhua,2-2,?,Chongqing Lifan
Sun Apr 12 2015,Changchun Yatai,2-2,?,Jiangsu Suning
Sun Apr 12 2015,Shanghai SIPG,1-1,?,Beijing Guoan
Sun Apr 12 2015,Shandong Luneng,1-2,?,Guangzhou R&F
Sun Apr 12 2015,Guangzhou Evergrande,6-1,?,Liaoning
Mon Apr 13 2015,Hangzhou Greentown,0-0,?,Henan Jianye
Fri Apr 17 2015,Beijing Guoan,2-2,?,Beijing Renhe
Fri Apr 17 2015,Shandong Luneng,2-3,?,Tianjin Teda
Fri Apr 17 2015,Guangzhou Evergrande,1-0,?,Hangzhou Greentown
Sat Apr 18 2015,Shanghai Shenxin,1-4,?,Changchun Yatai
Sat Apr 18 2015,Guangzhou R&F,0-0,?,Shijiazhuang
Sat Apr 18 2015,Jiangsu Suning,2-1,?,Liaoning
Sun Apr 19 2015,Shanghai SIPG,2-1,?,Chongqing Lifan
Sun Apr 19 2015,Henan Jianye,2-1,?,Shanghai Shenhua
Fri Apr 24 2015,Shijiazhuang,4-3,?,Tianjin Teda
Sat Apr 25 2015,Liaoning,1-1,?,Shanghai Shenxin
Sat Apr 25 2015,Beijing Renhe,0-1,?,Chongqing Lifan
Sat Apr 25 2015,Shanghai Shenhua,2-0,?,Hangzhou Greentown
Sun Apr 26 2015,Changchun Yatai,1-2,?,Guangzhou R&F
Sun Apr 26 2015,Shanghai SIPG,3-0,?,Henan Jianye
Sun Apr 26 2015,Shandong Luneng,3-0,?,Beijing Guoan
Sun Apr 26 2015,Guangzhou Evergrande,3-3,?,Jiangsu Suning
Fri May 1 2015,Guangzhou R&F,0-0,?,Liaoning
Fri May 1 2015,Beijing Guoan,3-1,?,Shijiazhuang
Fri May 1 2015,Shanghai Shenhua,0-3,?,Guangzhou Evergrande
Sat May 2 2015,Chongqing Lifan,2-2,?,Shandong Luneng
Sat May 2 2015,Henan Jianye,1-1,?,Beijing Renhe
Sat May 2 2015,Jiangsu Suning,1-0,?,Shanghai Shenxin
Sun May 3 2015,Hangzhou Greentown,1-1,?,Shanghai SIPG
Sun May 3 2015,Tianjin Teda,1-1,?,Changchun Yatai
Sat May 9 2015,Liaoning,3-2,?,Tianjin Teda
Sat May 9 2015,Hangzhou Greentown,1-0,?,Beijing Renhe
Sat May 9 2015,Shijiazhuang,2-0,?,Chongqing Lifan
Sat May 9 2015,Shanghai SIPG,5-0,?,Shanghai Shenhua
Sun May 10 2015,Changchun Yatai,1-2,?,Beijing Guoan
Sun May 10 2015,Shandong Luneng,2-1,?,Henan Jianye
Sun May 10 2015,Jiangsu Suning,2-2,?,Guangzhou R&F
Sun May 10 2015,Guangzhou Evergrande,6-1,?,Shanghai Shenxin
Fri May 15 2015,Guangzhou Evergrande,1-1,?,Shanghai SIPG
Sat May 16 2015,Beijing Guoan,2-0,?,Liaoning
Sat May 16 2015,Chongqing Lifan,2-1,?,Changchun Yatai
Sat May 16 2015,Guangzhou R&F,1-3,?,Shanghai Shenxin
Sat May 16 2015,Hangzhou Greentown,0-1,?,Shandong Luneng
Sat May 16 2015,Henan Jianye,0-1,?,Shijiazhuang
Sun May 17 2015,Tianjin Teda,1-0,?,Jiangsu Suning
Sun May 17 2015,Shanghai Shenhua,1-1,?,Beijing Renhe
Fri May 22 2015,Beijing Renhe,2-0,?,Shanghai SIPG
Fri May 22 2015,Shijiazhuang,0-0,?,Hangzhou Greentown
Sat May 23 2015,Shandong Luneng,2-0,?,Shanghai Shenhua
Sat May 23 2015,Jiangsu Suning,0-0,?,Beijing Guoan
Sat May 23 2015,Guangzhou Evergrande,2-2,?,Guangzhou R&F
Sun May 24 2015,Changchun Yatai,2-0,?,Henan Jianye
Sun May 24 2015,Liaoning,1-1,?,Chongqing Lifan
Sun May 24 2015,Shanghai Shenxin,0-1,?,Tianjin Teda
Fri May 29 2015,Shanghai SIPG,3-4,?,Shandong Luneng
Sat May 30 2015,Chongqing Lifan,2-3,?,Jiangsu Suning
Sat May 30 2015,Hangzhou Greentown,0-1,?,Changchun Yatai
Sat May 30 2015,Shanghai Shenhua,0-0,?,Shijiazhuang
Sun May 31 2015,Tianjin Teda,2-0,?,Guangzhou R&F
Sun May 31 2015,Henan Jianye,1-1,?,Liaoning
Sun May 31 2015,Guangzhou Evergrande,3-0,?,Beijing Renhe
Mon Jun 1 2015,Beijing Guoan,2-1,?,Shanghai Shenxin
Wed Jun 3 2015,Changchun Yatai,3-1,?,Shanghai Shenhua
Wed Jun 3 2015,Shijiazhuang,2-2,?,Shanghai SIPG
Wed Jun 3 2015,Henan Jianye,1-0,?,Jiangsu Suning
Thu Jun 4 2015,Liaoning,0-2,?,Hangzhou Greentown
Thu Jun 4 2015,Beijing Renhe,2-2,?,Shandong Luneng
Thu Jun 4 2015,Shanghai Shenxin,0-1,?,Chongqing Lifan
Thu Jun 4 2015,Guangzhou Evergrande,2-2,?,Tianjin Teda
Fri Jun 5 2015,Guangzhou R&F,0-0,?,Beijing Guoan
Fri Jun 19 2015,Shanghai SIPG,5-3,?,Changchun Yatai
Sat Jun 20 2015,Hangzhou Greentown,2-1,?,Jiangsu Suning
Sat Jun 20 2015,Beijing Guoan,3-0,?,Tianjin Teda
Sat Jun 20 2015,Chongqing Lifan,2-1,?,Guangzhou R&F
Sat Jun 20 2015,Shandong Luneng,1-2,?,Guangzhou Evergrande
Sat Jun 20 2015,Henan Jianye,5-0,?,Shanghai Shenxin
Sat Jun 20 2015,Shanghai Shenhua,3-1,?,Liaoning
Sun Jun 21 2015,Beijing Renhe,0-0,?,Shijiazhuang
Wed Jun 24 2015,Changchun Yatai,2-1,?,Beijing Renhe
Wed Jun 24 2015,Guangzhou R&F,1-2,?,Henan Jianye
Wed Jun 24 2015,Liaoning,1-3,?,Shanghai SIPG
Wed Jun 24 2015,Shijiazhuang,1-1,?,Shandong Luneng
Wed Jun 24 2015,Tianjin Teda,0-3,?,Chongqing Lifan
Wed Jun 24 2015,Jiangsu Suning,3-2,?,Shanghai Shenhua
Thu Jun 25 2015,Shanghai Shenxin,2-0,?,Hangzhou Greentown
Thu Jun 25 2015,Guangzhou Evergrande,0-0,?,Beijing Guoan
Sat Jun 27 2015,Liaoning,2-1,?,Beijing Renhe
Sat Jun 27 2015,Jiangsu Suning,1-4,?,Shanghai SIPG
Sun Jun 28 2015,Changchun Yatai,1-2,?,Shandong Luneng
Sun Jun 28 2015,Beijing Guoan,2-0,?,Chongqing Lifan
Sun Jun 28 2015,Guangzhou R&F,2-0,?,Hangzhou Greentown
Sun Jun 28 2015,Shijiazhuang,1-1,?,Guangzhou Evergrande
Sun Jun 28 2015,Tianjin Teda,2-3,?,Henan Jianye
Sun Jun 28 2015,Shanghai Shenxin,1-1,?,Shanghai Shenhua
Sat Jul 4 2015,Beijing Renhe,0-1,?,Jiangsu Suning
Sat Jul 4 2015,Shandong Luneng,2-0,?,Liaoning
Sat Jul 4 2015,Shijiazhuang,0-0,?,Changchun Yatai
Sat Jul 4 2015,Henan Jianye,0-1,?,Beijing Guoan
Sat Jul 4 2015,Shanghai Shenhua,1-0,?,Guangzhou R&F
Sun Jul 5 2015,Hangzhou Greentown,2-1,?,Tianjin Teda
Sun Jul 5 2015,Shanghai SIPG,2-0,?,Shanghai Shenxin
Sun Jul 5 2015,Guangzhou Evergrande,7-0,?,Chongqing Lifan
Fri Jul 10 2015,Shanghai Shenxin,2-5,?,Beijing Renhe
Sat Jul 11 2015,Changchun Yatai,0-2,?,Guangzhou Evergrande
Sat Jul 11 2015,Chongqing Lifan,1-1,?,Henan Jianye
Sat Jul 11 2015,Tianjin Teda,1-1,?,Shanghai Shenhua
Sat Jul 11 2015,Jiangsu Suning,2-3,?,Shandong Luneng
Sun Jul 12 2015,Beijing Guoan,4-0,?,Hangzhou Greentown
Sun Jul 12 2015,Guangzhou R&F,2-3,?,Shanghai SIPG
Sun Jul 12 2015,Liaoning,1-1,?,Shijiazhuang
Wed Jul 15 2015,Changchun Yatai,2-1,?,Liaoning
Wed Jul 15 2015,Hangzhou Greentown,1-3,?,Chongqing Lifan
Wed Jul 15 2015,Shandong Luneng,2-2,?,Shanghai Shenxin
Wed Jul 15 2015,Shijiazhuang,2-1,?,Jiangsu Suning
Wed Jul 15 2015,Shanghai Shenhua,3-1,?,Beijing Guoan
Wed Jul 15 2015,Guangzhou Evergrande,1-1,?,Henan Jianye
Thu Jul 16 2015,Beijing Renhe,2-2,?,Guangzhou R&F
Thu Jul 16 2015,Shanghai SIPG,2-1,?,Tianjin Teda
Sat Jul 18 2015,Liaoning,1-3,?,Guangzhou Evergrande
Sun Jul 19 2015,Chongqing Lifan,0-2,?,Shanghai Shenhua
Sun Jul 19 2015,Guangzhou R&F,2-4,?,Shandong Luneng
Sun Jul 19 2015,Tianjin Teda,3-4,?,Beijing Renhe
Sun Jul 19 2015,Henan Jianye,0-0,?,Hangzhou Greentown
Sun Jul 19 2015,Jiangsu Suning,1-1,?,Changchun Yatai
Sun Jul 19 2015,Shanghai Shenxin,0-0,?,Shijiazhuang
Mon Jul 20 2015,Beijing Guoan,0-0,?,Shanghai SIPG
Fri Jul 24 2015,Tianjin Teda,1-3,?,Shandong Luneng
Sat Jul 25 2015,Changchun Yatai,1-1,?,Shanghai Shenxin
