Date,Team 1,FT,HT,Team 2
Fri Mar 6 2015,Dundalk,1-0,?,Longford
Fri Mar 6 2015,Galway,1-2,?,Derry City
Fri Mar 6 2015,Shamrock Rovers,1-0,?,St. Patricks
Sat Mar 7 2015,Bray,0-1,?,Drogheda
Sat Mar 7 2015,Limerick,0-3,?,Bohemians
Sat Mar 7 2015,Sligo Rovers,1-1,?,Cork City
Fri Mar 13 2015,Bohemians,2-0,?,Galway
Fri Mar 13 2015,Cork City,5-0,?,Limerick
Fri Mar 13 2015,Derry City,0-1,?,Dundalk
Fri Mar 13 2015,Drogheda,3-2,?,Sligo Rovers
Fri Mar 13 2015,St. Patricks,3-0,?,Bray
Sat Mar 14 2015,Longford,0-2,?,Shamrock Rovers
Fri Mar 20 2015,Dundalk,3-0,?,St. Patricks
Fri Mar 20 2015,Galway,1-0,?,Drogheda
Fri Mar 20 2015,Shamrock Rovers,0-0,?,Cork City
Sat Mar 21 2015,Bray,0-1,?,Bohemians
Sat Mar 21 2015,Limerick,2-2,?,Longford
Sat Mar 21 2015,Sligo Rovers,1-1,?,Derry City
Tue Mar 24 2015,Bohemians,0-3,?,Dundalk
Tue Mar 24 2015,Cork City,2-0,?,Galway
Tue Mar 24 2015,Drogheda,1-1,?,Limerick
Tue Mar 24 2015,Sligo Rovers,1-2,?,Shamrock Rovers
Tue Mar 24 2015,St. Patricks,2-0,?,Derry City
Tue Mar 24 2015,Longford,2-0,?,Bray
Fri Mar 27 2015,Dundalk,3-0,?,Sligo Rovers
Fri Mar 27 2015,Derry City,3-0,?,Drogheda
Fri Mar 27 2015,Galway,1-2,?,Longford
Fri Mar 27 2015,Shamrock Rovers,0-0,?,Bohemians
Sat Mar 28 2015,Bray,0-1,?,Cork City
Sat Mar 28 2015,Limerick,1-2,?,St. Patricks
Fri Apr 3 2015,Sligo Rovers,1-3,?,Bray
Fri Apr 3 2015,Cork City,3-0,?,Derry City
Fri Apr 3 2015,Drogheda,0-1,?,Bohemians
Fri Apr 3 2015,Shamrock Rovers,3-0,?,Galway
Sat Apr 4 2015,Limerick,1-1,?,Dundalk
Sat Apr 4 2015,Longford,2-2,?,St. Patricks
Fri Apr 10 2015,Bohemians,2-0,?,Longford
Fri Apr 10 2015,Derry City,0-0,?,Shamrock Rovers
Fri Apr 10 2015,Dundalk,1-0,?,Drogheda
Fri Apr 10 2015,Galway,0-1,?,Sligo Rovers
Fri Apr 10 2015,St. Patricks,0-0,?,Cork City
Sat Apr 11 2015,Bray,4-0,?,Limerick
Fri Apr 17 2015,Bohemians,0-1,?,St. Patricks
Fri Apr 17 2015,Derry City,0-0,?,Bray
Fri Apr 17 2015,Drogheda,1-2,?,Cork City
Fri Apr 17 2015,Galway,3-2,?,Limerick
Fri Apr 17 2015,Longford,1-1,?,Sligo Rovers
Fri Apr 17 2015,Shamrock Rovers,2-2,?,Dundalk
Mon Apr 20 2015,Bray,0-3,?,Shamrock Rovers
Mon Apr 20 2015,Cork City,2-0,?,Longford
Mon Apr 20 2015,Dundalk,3-0,?,Galway
Mon Apr 20 2015,Limerick,0-2,?,Derry City
Mon Apr 20 2015,Sligo Rovers,0-0,?,Bohemians
Mon Apr 20 2015,St. Patricks,2-2,?,Drogheda
Fri Apr 24 2015,Cork City,1-2,?,Dundalk
Fri Apr 24 2015,Derry City,1-2,?,Bohemians
Fri Apr 24 2015,Drogheda,0-3,?,Longford
Fri Apr 24 2015,St. Patricks,3-0,?,Sligo Rovers
Sat Apr 25 2015,Bray,0-5,?,Galway
Sat Apr 25 2015,Limerick,1-1,?,Shamrock Rovers
Fri May 1 2015,Galway,1-4,?,St. Patricks
Fri May 1 2015,Shamrock Rovers,1-0,?,Drogheda
Sat May 2 2015,Longford,0-0,?,Derry City
Sat May 2 2015,Sligo Rovers,1-1,?,Limerick
Mon May 4 2015,Dundalk,8-1,?,Bray
Mon May 4 2015,Bohemians,1-1,?,Cork City
Fri May 8 2015,Bohemians,2-1,?,Limerick
Fri May 8 2015,Cork City,3-2,?,Sligo Rovers
Fri May 8 2015,Derry City,0-2,?,Galway
Fri May 8 2015,Drogheda,4-2,?,Bray
Sat May 9 2015,Longford,0-2,?,Dundalk
Mon May 11 2015,Cork City,4-1,?,Drogheda
Mon May 11 2015,St. Patricks,0-0,?,Shamrock Rovers
Fri May 15 2015,Dundalk,1-0,?,Derry City
Fri May 15 2015,Galway,5-3,?,Bohemians
Fri May 15 2015,Shamrock Rovers,3-2,?,Longford
Sat May 16 2015,Bray,1-0,?,St. Patricks
Sat May 16 2015,Limerick,0-1,?,Cork City
Sat May 16 2015,Sligo Rovers,2-0,?,Drogheda
Fri May 22 2015,Bohemians,0-0,?,Bray
Fri May 22 2015,Cork City,0-0,?,Shamrock Rovers
Fri May 22 2015,Derry City,1-1,?,Sligo Rovers
