Date,Team 1,FT,HT,Team 2
Sat Sep 5 2015,Cesena,2-0,2-0,Brescia
Sun Sep 6 2015,Bari,4-3,2-2,Spezia
Sun Sep 6 2015,Livorno,4-0,3-0,Pescara
Sun Sep 6 2015,Modena,0-1,0-0,Vicenza
Sun Sep 6 2015,Novara,1-1,1-0,Latina
Sun Sep 6 2015,Perugia,2-0,1-0,Como
Sun Sep 6 2015,Pro Vercelli,2-1,1-0,Virtus Lanciano
Sun Sep 6 2015,Salernitana,3-1,1-1,Avellino
Sun Sep 6 2015,Trapani,3-0,1-0,Ternana
Mon Sep 7 2015,Cagliari,4-0,1-0,Crotone
Fri Sep 11 2015,Pescara,2-1,1-0,Perugia
Sat Sep 12 2015,Avellino,2-0,0-0,Modena
Sat Sep 12 2015,Brescia,2-2,0-1,Salernitana
Sat Sep 12 2015,Como,1-2,1-1,Livorno
Sat Sep 12 2015,Crotone,2-1,0-1,Novara
Sat Sep 12 2015,Ternana,1-1,0-1,Cagliari
Sat Sep 12 2015,Vicenza,0-0,0-0,Bari
Sat Sep 12 2015,Virtus Entella,2-1,1-1,Cesena
Sat Sep 12 2015,Virtus Lanciano,2-0,1-0,Ascoli
Sun Sep 13 2015,Spezia,1-1,1-1,Pro Vercelli
Mon Sep 14 2015,Latina,1-1,0-0,Trapani
Tue Sep 15 2015,Ascoli,1-0,1-0,Virtus Entella
Fri Sep 18 2015,Livorno,3-1,1-1,Brescia
Fri Sep 18 2015,Modena,1-0,0-0,Ternana
Sat Sep 19 2015,Ascoli,1-3,0-0,Cesena
Sat Sep 19 2015,Bari,0-0,0-0,Pescara
Sat Sep 19 2015,Cagliari,2-1,1-0,Avellino
Sat Sep 19 2015,Novara,1-0,0-0,Virtus Entella
Sat Sep 19 2015,Perugia,0-0,0-0,Crotone
Sat Sep 19 2015,Pro Vercelli,1-1,0-1,Latina
Sat Sep 19 2015,Salernitana,0-2,0-1,Spezia
Sat Sep 19 2015,Trapani,1-1,1-0,Virtus Lanciano
Sat Sep 19 2015,Vicenza,3-3,2-2,Como
Mon Sep 21 2015,Ternana,2-3,2-1,Livorno
Tue Sep 22 2015,Avellino,0-0,0-0,Novara
Tue Sep 22 2015,Brescia,2-0,1-0,Pro Vercelli
Tue Sep 22 2015,Cesena,2-0,1-0,Modena
Tue Sep 22 2015,Como,0-0,0-0,Trapani
Tue Sep 22 2015,Crotone,4-1,2-1,Bari
Tue Sep 22 2015,Latina,1-0,1-0,Ascoli
Tue Sep 22 2015,Pescara,1-1,1-0,Salernitana
Tue Sep 22 2015,Spezia,1-0,1-0,Perugia
Tue Sep 22 2015,Virtus Entella,1-3,1-1,Cagliari
Tue Sep 22 2015,Virtus Lanciano,0-0,0-0,Vicenza
Sat Sep 26 2015,Ascoli,0-0,0-0,Brescia
Sat Sep 26 2015,Cagliari,3-2,2-1,Latina
Sat Sep 26 2015,Livorno,1-2,0-1,Spezia
Sat Sep 26 2015,Modena,1-0,0-0,Virtus Lanciano
Sat Sep 26 2015,Perugia,0-0,0-0,Cesena
Sat Sep 26 2015,Pro Vercelli,0-2,0-1,Crotone
Sat Sep 26 2015,Salernitana,2-1,0-0,Ternana
Sat Sep 26 2015,Trapani,4-2,2-1,Virtus Entella
