Date,Team 1,FT,HT,Team 2
Fri Jul 24 2015,St Truiden,2-1,0-1,Club Brugge
Sat Jul 25 2015,Genk,3-1,1-0,Oud-Heverlee Leuven
Sat Jul 25 2015,Kortrijk,2-1,1-0,Standard
Sat Jul 25 2015,Oostende,3-1,1-0,Mechelen
Sat Jul 25 2015,Waregem,3-1,1-0,Lokeren
Sun Jul 26 2015,Anderlecht,3-2,2-0,Waasland-Beveren
Sun Jul 26 2015,Charleroi,2-1,2-0,Mouscron-Peruwelz
Sun Jul 26 2015,Westerlo,1-1,1-1,Gent
Fri Jul 31 2015,Gent,1-0,1-0,Genk
Sat Aug 1 2015,Club Brugge,3-0,1-0,Mechelen
Sat Aug 1 2015,Mouscron-Peruwelz,0-2,0-1,St Truiden
Sat Aug 1 2015,Oostende,2-1,1-0,Westerlo
Sat Aug 1 2015,Waasland-Beveren,2-1,1-0,Kortrijk
Sun Aug 2 2015,Lokeren,2-2,1-1,Charleroi
Sun Aug 2 2015,Oud-Heverlee Leuven,0-2,0-0,Anderlecht
Sun Aug 2 2015,Standard,2-1,1-1,Waregem
Fri Aug 7 2015,Waregem,0-0,0-0,Genk
Sat Aug 8 2015,Kortrijk,0-0,0-0,Lokeren
Sat Aug 8 2015,Mechelen,3-1,1-0,Mouscron-Peruwelz
Sat Aug 8 2015,St Truiden,1-1,0-0,Oostende
Sat Aug 8 2015,Westerlo,3-2,1-1,Oud-Heverlee Leuven
Sun Aug 9 2015,Anderlecht,1-1,1-0,Gent
Sun Aug 9 2015,Charleroi,0-0,0-0,Club Brugge
Sun Aug 9 2015,Standard,1-0,0-0,Waasland-Beveren
Fri Aug 14 2015,Club Brugge,2-1,0-0,Kortrijk
Sat Aug 15 2015,Genk,2-1,1-1,Westerlo
Sat Aug 15 2015,Lokeren,2-0,1-0,Mechelen
Sat Aug 15 2015,Mouscron-Peruwelz,1-1,1-1,Standard
Sat Aug 15 2015,Waasland-Beveren,2-1,1-0,Waregem
Sun Aug 16 2015,Gent,1-0,1-0,St Truiden
Sun Aug 16 2015,Oostende,3-1,1-0,Anderlecht
Sun Aug 16 2015,Oud-Heverlee Leuven,2-0,0-0,Charleroi
Fri Aug 21 2015,St Truiden,3-1,1-0,Genk
Sat Aug 22 2015,Charleroi,0-0,0-0,Westerlo
Sat Aug 22 2015,Mechelen,2-1,0-0,Oud-Heverlee Leuven
Sat Aug 22 2015,Waasland-Beveren,3-3,1-2,Mouscron-Peruwelz
Sat Aug 22 2015,Waregem,2-0,1-0,Club Brugge
Sun Aug 23 2015,Anderlecht,1-0,0-0,Lokeren
Sun Aug 23 2015,Kortrijk,0-0,0-0,Gent
Sun Aug 23 2015,Standard,1-2,1-1,Oostende
Fri Aug 28 2015,Genk,2-0,1-0,Charleroi
Sat Aug 29 2015,Gent,2-2,0-1,Mechelen
Sat Aug 29 2015,Mouscron-Peruwelz,0-1,0-0,Kortrijk
Sat Aug 29 2015,Oostende,0-2,0-1,Waregem
Sat Aug 29 2015,Oud-Heverlee Leuven,1-0,0-0,St Truiden
Sun Aug 30 2015,Club Brugge,7-1,4-1,Standard
Sun Aug 30 2015,Lokeren,1-2,0-0,Waasland-Beveren
Sun Aug 30 2015,Westerlo,0-3,0-1,Anderlecht
