Date,Team 1,FT,HT,Team 2
Sat Mar 2 2019,Philadelphia Union,1-3,?,Toronto FC
Sat Mar 2 2019,Orlando City,2-2,?,New York City
Sat Mar 2 2019,Columbus Crew,1-1,?,New York Red Bulls
Sat Mar 2 2019,FC Dallas,1-1,?,New England Revolution
Sat Mar 2 2019,Colorado Rapids,3-3,?,Portland Timbers
Sat Mar 2 2019,Houston Dynamo,1-1,?,Real Salt Lake
Sat Mar 2 2019,Vancouver Whitecaps,2-3,?,Minnesota United
Sat Mar 2 2019,Los Angeles Galaxy,2-1,?,Chicago Fire
Sat Mar 2 2019,San Jose Earthquakes,1-2,?,CF Montreal
Sat Mar 2 2019,Seattle Sounders,4-1,?,FC Cincinnati
Sun Mar 3 2019,DC United,2-0,?,Atlanta Utd
Sun Mar 3 2019,Los Angeles FC,2-1,?,Sporting Kansas City
Sat Mar 9 2019,Chicago Fire,1-1,?,Orlando City
Sat Mar 9 2019,New England Revolution,0-2,?,Columbus Crew
Sat Mar 9 2019,FC Dallas,2-0,?,Los Angeles Galaxy
Sat Mar 9 2019,Houston Dynamo,2-1,?,CF Montreal
Sat Mar 9 2019,Real Salt Lake,1-0,?,Vancouver Whitecaps
Sat Mar 9 2019,San Jose Earthquakes,0-3,?,Minnesota United
Sat Mar 9 2019,Seattle Sounders,2-0,?,Colorado Rapids
Sun Mar 10 2019,New York City,0-0,?,DC United
Sun Mar 10 2019,Sporting Kansas City,2-0,?,Philadelphia Union
Sun Mar 10 2019,Atlanta Utd,1-1,?,FC Cincinnati
Sun Mar 10 2019,Los Angeles FC,4-1,?,Portland Timbers
Sat Mar 16 2019,Chicago Fire,2-4,?,Seattle Sounders
Sat Mar 16 2019,Columbus Crew,1-0,?,FC Dallas
Sat Mar 16 2019,Houston Dynamo,3-2,?,Vancouver Whitecaps
Sat Mar 16 2019,New York Red Bulls,4-1,?,San Jose Earthquakes
Sat Mar 16 2019,Orlando City,1-3,?,CF Montreal
Sat Mar 16 2019,DC United,5-0,?,Real Salt Lake
Sat Mar 16 2019,Los Angeles Galaxy,3-2,?,Minnesota United
Sun Mar 17 2019,New York City,2-2,?,Los Angeles FC
Sun Mar 17 2019,FC Cincinnati,3-0,?,Portland Timbers
Sun Mar 17 2019,Atlanta Utd,1-1,?,Philadelphia Union
Sun Mar 17 2019,Toronto FC,3-2,?,New England Revolution
Sun Mar 17 2019,Colorado Rapids,1-1,?,Sporting Kansas City
Sat Mar 23 2019,FC Dallas,2-1,?,Colorado Rapids
Sat Mar 23 2019,New York Red Bulls,0-1,?,Orlando City
Sat Mar 23 2019,Philadelphia Union,3-0,?,Columbus Crew
Sat Mar 23 2019,Los Angeles FC,2-1,?,Real Salt Lake
Sun Mar 24 2019,New England Revolution,0-2,?,FC Cincinnati
Fri Mar 29 2019,Toronto FC,4-0,?,New York City
Sat Mar 30 2019,Chicago Fire,1-0,?,New York Red Bulls
Sat Mar 30 2019,New England Revolution,2-1,?,Minnesota United
Sat Mar 30 2019,Sporting Kansas City,7-1,?,CF Montreal
Sat Mar 30 2019,San Jose Earthquakes,0-5,?,Los Angeles FC
Sat Mar 30 2019,FC Cincinnati,0-2,?,Philadelphia Union
Sat Mar 30 2019,Columbus Crew,2-0,?,Atlanta Utd
Sat Mar 30 2019,Colorado Rapids,1-4,?,Houston Dynamo
Sat Mar 30 2019,Real Salt Lake,2-4,?,FC Dallas
Sat Mar 30 2019,Vancouver Whitecaps,0-0,?,Seattle Sounders
Sun Mar 31 2019,Orlando City,1-2,?,DC United
Sun Mar 31 2019,Los Angeles Galaxy,2-1,?,Portland Timbers
Fri Apr 5 2019,Vancouver Whitecaps,0-2,?,Los Angeles Galaxy
Sat Apr 6 2019,New York City,0-0,?,CF Montreal
Sat Apr 6 2019,DC United,0-4,?,Los Angeles FC
Sat Apr 6 2019,Toronto FC,2-2,?,Chicago Fire
Sat Apr 6 2019,New York Red Bulls,1-2,?,Minnesota United
Sat Apr 6 2019,Columbus Crew,1-0,?,New England Revolution
Sat Apr 6 2019,Orlando City,4-3,?,Colorado Rapids
Sat Apr 6 2019,Philadelphia Union,2-1,?,FC Dallas
Sat Apr 6 2019,San Jose Earthquakes,3-0,?,Portland Timbers
Sat Apr 6 2019,Seattle Sounders,1-0,?,Real Salt Lake
Sun Apr 7 2019,FC Cincinnati,1-1,?,Sporting Kansas City
Tue Apr 9 2019,DC United,0-0,?,CF Montreal
Fri Apr 12 2019,Chicago Fire,1-1,?,Vancouver Whitecaps
Sat Apr 13 2019,CF Montreal,1-0,?,Columbus Crew
Sat Apr 13 2019,Houston Dynamo,2-1,?,San Jose Earthquakes
Sat Apr 13 2019,Seattle Sounders,3-2,?,Toronto FC
Sat Apr 13 2019,Minnesota United,3-3,?,New York City
Sat Apr 13 2019,New England Revolution,0-2,?,Atlanta Utd
Sat Apr 13 2019,FC Dallas,2-1,?,Portland Timbers
Sat Apr 13 2019,Colorado Rapids,2-3,?,DC United
Sat Apr 13 2019,Real Salt Lake,2-1,?,Orlando City
Sat Apr 13 2019,Los Angeles FC,2-0,?,FC Cincinnati
Sat Apr 13 2019,Los Angeles Galaxy,2-0,?,Philadelphia Union
Sun Apr 14 2019,Sporting Kansas City,2-2,?,New York Red Bulls
Wed Apr 17 2019,Vancouver Whitecaps,1-0,?,Los Angeles FC
Fri Apr 19 2019,FC Cincinnati,0-3,?,Real Salt Lake
Fri Apr 19 2019,Toronto FC,4-3,?,Minnesota United
Fri Apr 19 2019,Los Angeles Galaxy,2-1,?,Houston Dynamo
Sat Apr 20 2019,Chicago Fire,4-1,?,Colorado Rapids
Sat Apr 20 2019,Philadelphia Union,3-0,?,CF Montreal
Sat Apr 20 2019,Orlando City,1-0,?,Vancouver Whitecaps
Sat Apr 20 2019,Atlanta Utd,1-2,?,FC Dallas
Sat Apr 20 2019,Columbus Crew,1-3,?,Portland Timbers
Sat Apr 20 2019,New England Revolution,1-0,?,New York Red Bulls
Sat Apr 20 2019,San Jose Earthquakes,4-1,?,Sporting Kansas City
Sun Apr 21 2019,DC United,0-2,?,New York City
Sun Apr 21 2019,Los Angeles FC,4-1,?,Seattle Sounders
Wed Apr 24 2019,New York City,1-0,?,Chicago Fire
Wed Apr 24 2019,Columbus Crew,0-1,?,DC United
Wed Apr 24 2019,New England Revolution,0-3,?,CF Montreal
Wed Apr 24 2019,Minnesota United,0-0,?,Los Angeles Galaxy
Wed Apr 24 2019,Seattle Sounders,2-2,?,San Jose Earthquakes
Sat Apr 27 2019,New York City,1-1,?,Orlando City
Sat Apr 27 2019,Toronto FC,1-2,?,Portland Timbers
