Date,Team 1,FT,HT,Team 2
Fri Mar 1 2019,Shandong Luneng,1-0,?,Beijing Renhe
Fri Mar 1 2019,Guangzhou Evergrande,3-0,?,Tianjin Tianhai
Fri Mar 1 2019,Shanghai Shenhua,0-4,?,Shanghai SIPG
Fri Mar 1 2019,Wuhan FC,0-1,?,Beijing Guoan
Sat Mar 2 2019,Chongqing Liangjiang Athletic,2-2,?,Guangzhou R&F
Sat Mar 2 2019,Shenzhen,3-1,?,Hebei
Sun Mar 3 2019,Henan Songshan Longmen,1-1,?,Dalian Yifang F.C.
Sun Mar 3 2019,Jiangsu Suning,3-2,?,Tianjin Jinmen Tiger
Fri Mar 8 2019,Guangzhou Evergrande,1-0,?,Tianjin Jinmen Tiger
Sat Mar 9 2019,Chongqing Liangjiang Athletic,0-4,?,Beijing Guoan
Sat Mar 9 2019,Shandong Luneng,2-2,?,Henan Songshan Longmen
Sat Mar 9 2019,Guangzhou R&F,3-3,?,Dalian Yifang F.C.
Sat Mar 9 2019,Shanghai SIPG,3-2,?,Jiangsu Suning
Sun Mar 10 2019,Wuhan FC,1-0,?,Beijing Renhe
Sun Mar 10 2019,Shenzhen,2-1,?,Tianjin Tianhai
Sun Mar 10 2019,Shanghai Shenhua,1-2,?,Hebei
Fri Mar 29 2019,Tianjin Jinmen Tiger,4-3,?,Guangzhou R&F
Sat Mar 30 2019,Beijing Renhe,0-1,?,Beijing Guoan
Sat Mar 30 2019,Dalian Yifang F.C.,0-1,?,Guangzhou Evergrande
Sat Mar 30 2019,Hebei,1-2,?,Shanghai SIPG
Sun Mar 31 2019,Tianjin Tianhai,2-4,?,Shandong Luneng
Sun Mar 31 2019,Henan Songshan Longmen,1-2,?,Shanghai Shenhua
Sun Mar 31 2019,Chongqing Liangjiang Athletic,1-0,?,Shenzhen
Sun Mar 31 2019,Jiangsu Suning,2-1,?,Wuhan FC
Fri Apr 5 2019,Beijing Guoan,3-0,?,Jiangsu Suning
Fri Apr 5 2019,Shanghai SIPG,2-3,?,Chongqing Liangjiang Athletic
Fri Apr 5 2019,Shenzhen,1-1,?,Shandong Luneng
Sat Apr 6 2019,Tianjin Tianhai,0-0,?,Hebei
Sat Apr 6 2019,Guangzhou Evergrande,2-0,?,Guangzhou R&F
