Date,Team 1,FT,HT,Team 2
Fri Jul 15 2016,Viborg,0-4,?,Nordsjaelland
Fri Jul 15 2016,Odense,0-0,?,Silkeborg
Sat Jul 16 2016,FC Copenhagen,3-0,?,Lyngby
Sun Jul 17 2016,Sonderjyske,1-2,?,Aarhus
Sun Jul 17 2016,Aalborg,1-1,?,Horsens
Sun Jul 17 2016,Brondby,4-0,?,Esbjerg
Mon Jul 18 2016,Midtjylland,2-2,?,Randers FC
Fri Jul 22 2016,Aarhus,2-1,?,Viborg
Sat Jul 23 2016,Esbjerg,0-4,?,FC Copenhagen
Sun Jul 24 2016,Horsens,1-1,?,Sonderjyske
Sun Jul 24 2016,Lyngby,2-2,?,Odense
Sun Jul 24 2016,Silkeborg,0-2,?,Brondby
Sun Jul 24 2016,Nordsjaelland,0-4,?,Midtjylland
Sun Jul 24 2016,Randers FC,0-1,?,Aalborg
Fri Jul 29 2016,Viborg,2-1,?,Esbjerg
Sat Jul 30 2016,FC Copenhagen,4-0,?,Nordsjaelland
Sun Jul 31 2016,Sonderjyske,0-1,?,Lyngby
Sun Jul 31 2016,Midtjylland,3-0,?,Silkeborg
Sun Jul 31 2016,Brondby,2-2,?,Horsens
Sun Jul 31 2016,Aarhus,1-2,?,Randers FC
Mon Aug 1 2016,Aalborg,2-2,?,Odense
Fri Aug 5 2016,Randers FC,1-0,?,Horsens
Fri Aug 5 2016,Silkeborg,0-4,?,Lyngby
Sat Aug 6 2016,Odense,0-0,?,Viborg
Sun Aug 7 2016,Nordsjaelland,1-2,?,Aalborg
Sun Aug 7 2016,Sonderjyske,1-1,?,FC Copenhagen
Sun Aug 7 2016,Midtjylland,3-3,?,Brondby
Mon Aug 8 2016,Esbjerg,2-2,?,Aarhus
Fri Aug 12 2016,Viborg,0-1,?,Randers FC
Fri Aug 12 2016,Lyngby,0-0,?,Aarhus
Sat Aug 13 2016,Horsens,3-3,?,Silkeborg
Sat Aug 13 2016,FC Copenhagen,3-1,?,Midtjylland
Sun Aug 14 2016,Odense,3-1,?,Nordsjaelland
Sun Aug 14 2016,Brondby,4-0,?,Sonderjyske
Mon Aug 15 2016,Aalborg,2-1,?,Esbjerg
Fri Aug 19 2016,Nordsjaelland,1-1,?,Randers FC
Fri Aug 19 2016,Horsens,2-1,?,Lyngby
Sat Aug 20 2016,FC Copenhagen,1-1,?,Aalborg
Sun Aug 21 2016,Silkeborg,1-5,?,Viborg
Sun Aug 21 2016,Aarhus,0-7,?,Brondby
Sun Aug 21 2016,Midtjylland,2-2,?,Sonderjyske
Mon Aug 22 2016,Esbjerg,3-2,?,Odense
Fri Aug 26 2016,Randers FC,1-0,?,Silkeborg
Fri Aug 26 2016,Lyngby,0-1,?,Nordsjaelland
Sun Aug 28 2016,Sonderjyske,1-1,?,Esbjerg
Sun Aug 28 2016,Odense,0-1,?,Horsens
Sun Aug 28 2016,Brondby,1-1,?,FC Copenhagen
Sun Aug 28 2016,Aalborg,2-1,?,Aarhus
Sun Aug 28 2016,Viborg,0-0,?,Midtjylland
Fri Sep 9 2016,Randers FC,2-0,?,Lyngby
Fri Sep 9 2016,Midtjylland,3-0,?,Esbjerg
