Date,Team 1,FT,HT,Team 2
Sat Aug 24 2019,Parma,0-1,0-1,Juventus
Sat Aug 24 2019,Fiorentina,3-4,1-2,Napoli
Sun Aug 25 2019,Udinese,1-0,0-0,Milan
Sun Aug 25 2019,Cagliari,0-1,0-0,Brescia
Sun Aug 25 2019,Roma,3-3,2-2,Genoa
Sun Aug 25 2019,Sampdoria,0-3,0-1,Lazio
Sun Aug 25 2019,Spal,2-3,2-1,Atalanta
Sun Aug 25 2019,Torino,2-1,1-0,Sassuolo
Sun Aug 25 2019,Verona,1-1,1-1,Bologna
Mon Aug 26 2019,Inter,4-0,2-0,Lecce
Fri Aug 30 2019,Bologna,1-0,0-0,Spal
Sat Aug 31 2019,Milan,1-0,1-0,Brescia
Sat Aug 31 2019,Juventus,4-3,2-0,Napoli
Sun Sep 1 2019,Lazio,1-1,0-1,Roma
Sun Sep 1 2019,Atalanta,2-3,1-1,Torino
Sun Sep 1 2019,Cagliari,1-2,0-1,Inter
Sun Sep 1 2019,Genoa,2-1,1-0,Fiorentina
Sun Sep 1 2019,Lecce,0-1,0-0,Verona
Sun Sep 1 2019,Sassuolo,4-1,3-0,Sampdoria
Sun Sep 1 2019,Udinese,1-3,1-1,Parma
Sat Sep 14 2019,Fiorentina,0-0,0-0,Juventus
Sat Sep 14 2019,Napoli,2-0,1-0,Sampdoria
Sat Sep 14 2019,Inter,1-0,1-0,Udinese
Sun Sep 15 2019,Genoa,1-2,0-0,Atalanta
Sun Sep 15 2019,Brescia,3-4,3-1,Bologna
Sun Sep 15 2019,Parma,1-3,0-2,Cagliari
Sun Sep 15 2019,Spal,2-1,0-1,Lazio
Sun Sep 15 2019,Roma,4-2,4-0,Sassuolo
Sun Sep 15 2019,Verona,0-1,0-0,Milan
Mon Sep 16 2019,Torino,1-2,0-1,Lecce
Fri Sep 20 2019,Cagliari,3-1,0-0,Genoa
Sat Sep 21 2019,Udinese,0-1,0-0,Brescia
