Round,Date,Team 1,FT,HT,Team 2
?,(Fri) 16 Aug 2019 (W33),Giresunspor (1),0-2,0-1,E.G. Menemenspor (1)
?,(Sat) 17 Aug 2019 (W33),Fatih Karagümrük A.Ş. (1),3-1,1-0,Bursaspor (1)
?,(Sat) 17 Aug 2019 (W33),Adana Demirspor (1),2-0,0-0,Balıkesirspor (1)
?,(Sat) 17 Aug 2019 (W33),Osmanlıspor FK (1),2-1,0-0,Boluspor (1)
?,(Sun) 18 Aug 2019 (W33),Hatayspor (1),1-0,0-0,Altınordu (1)
?,(Sun) 18 Aug 2019 (W33),B.B. Erzurumspor (1),2-2,0-2,İstanbulspor A.Ş. (1)
?,(Sun) 18 Aug 2019 (W33),Altay (1),1-3,0-1,Ümraniyespor (1)
?,(Sun) 18 Aug 2019 (W33),Akhisarspor (1),1-0,0-0,Adanaspor A.Ş. (1)
?,(Sun) 19 Aug 2019 (W34),Eskişehirspor (1),1-0,0-0,Keçiörengücü (1)
?,(Fri) 23 Aug 2019 (W34),Boluspor (2),0-0,0-0,Adana Demirspor (2)
?,(Sat) 24 Aug 2019 (W34),Keçiörengücü (2),1-0,0-0,Osmanlıspor FK (2)
?,(Sat) 24 Aug 2019 (W34),Balıkesirspor (2),2-1,1-0,B.B. Erzurumspor (2)
?,(Sat) 24 Aug 2019 (W34),Altınordu (2),1-2,0-1,Fatih Karagümrük A.Ş. (2)
?,(Sun) 25 Aug 2019 (W34),Ümraniyespor (2),4-1,2-0,Giresunspor (2)
?,(Sun) 25 Aug 2019 (W34),E.G. Menemenspor (2),0-4,0-1,Hatayspor (2)
?,(Sun) 25 Aug 2019 (W34),Bursaspor (2),2-1,1-0,Akhisarspor (2)
?,(Sun) 25 Aug 2019 (W34),Adanaspor A.Ş. (2),3-2,1-1,Eskişehirspor (2)
?,(Mon) 26 Aug 2019 (W35),İstanbulspor A.Ş. (2),2-2,1-2,Altay (2)
?,(Fri) 30 Aug 2019 (W35),Osmanlıspor FK (3),2-2,1-0,Adanaspor A.Ş. (3)
?,(Sat) 31 Aug 2019 (W35),Ümraniyespor (3),2-1,0-1,İstanbulspor A.Ş. (3)
?,(Sat) 31 Aug 2019 (W35),B.B. Erzurumspor (3),1-0,0-0,Boluspor (3)
?,(Sat) 31 Aug 2019 (W35),Altay (3),1-0,0-0,Balıkesirspor (3)
?,(Sat) 31 Aug 2019 (W35),Akhisarspor (3),0-0,0-0,Altınordu (3)
?,(Sun) 1 Sep 2019 (W35),Giresunspor (3),2-2,1-0,Hatayspor (3)
?,(Sun) 1 Sep 2019 (W35),Fatih Karagümrük A.Ş. (3),1-1,0-0,E.G. Menemenspor (3)
?,(Sun) 1 Sep 2019 (W35),Eskişehirspor (3),0-2,0-0,Bursaspor (3)
?,(Sun) 1 Sep 2019 (W35),Adana Demirspor (3),0-0,0-0,Keçiörengücü (3)
