Date,Team 1,FT,HT,Team 2
Fri Aug 2 2019,Zwolle,1-3,1-1,Willem II
Sat Aug 3 2019,FC Emmen,0-1,0-0,Groningen
Sat Aug 3 2019,Vitesse,2-2,1-1,Ajax
Sat Aug 3 2019,Twente,1-1,1-0,PSV Eindhoven
Sat Aug 3 2019,VVV Venlo,3-1,0-1,Waalwijk
Sun Aug 4 2019,Heracles,0-4,0-3,Heerenveen
Sun Aug 4 2019,Feyenoord,2-2,0-0,Sparta Rotterdam
Sun Aug 4 2019,Den Haag,2-4,2-2,Utrecht
Sun Aug 4 2019,AZ Alkmaar,4-0,0-0,For Sittard
Fri Aug 9 2019,Sparta Rotterdam,4-1,0-1,VVV Venlo
Sat Aug 10 2019,Groningen,1-3,0-0,Twente
Sat Aug 10 2019,Ajax,5-0,1-0,FC Emmen
Sat Aug 10 2019,Willem II,0-2,0-0,Vitesse
Sun Aug 11 2019,For Sittard,1-1,0-0,Heracles
Sun Aug 11 2019,Heerenveen,1-1,0-1,Feyenoord
Sun Aug 11 2019,Waalwijk,0-2,0-2,AZ Alkmaar
Sun Aug 11 2019,Utrecht,3-1,0-1,Zwolle
Sun Aug 11 2019,PSV Eindhoven,3-1,1-1,Den Haag
Fri Aug 16 2019,Vitesse,3-0,0-0,Zwolle
Sat Aug 17 2019,Den Haag,1-2,0-2,Sparta Rotterdam
Sat Aug 17 2019,VVV Venlo,1-4,0-1,Ajax
Sat Aug 17 2019,FC Emmen,2-0,2-0,Heerenveen
Sun Aug 18 2019,For Sittard,2-3,1-3,Willem II
Sun Aug 18 2019,Twente,3-3,0-1,Waalwijk
Sun Aug 18 2019,AZ Alkmaar,0-0,0-0,Groningen
Sun Aug 18 2019,Feyenoord,1-1,0-1,Utrecht
Sun Aug 18 2019,Heracles,0-2,0-1,PSV Eindhoven
Sat Aug 24 2019,Willem II,2-1,1-0,FC Emmen
Sat Aug 24 2019,Heracles,1-1,0-0,Vitesse
Sat Aug 24 2019,Heerenveen,0-0,0-0,Twente
Sun Aug 25 2019,Waalwijk,0-3,0-1,Den Haag
Sun Aug 25 2019,Utrecht,1-2,0-2,VVV Venlo
Sun Aug 25 2019,Zwolle,2-2,1-1,Sparta Rotterdam
Fri Aug 30 2019,FC Emmen,1-3,1-3,Zwolle
Sat Aug 31 2019,Heerenveen,1-1,1-1,For Sittard
Sat Aug 31 2019,Groningen,1-2,0-1,Heracles
Sat Aug 31 2019,Den Haag,1-0,1-0,VVV Venlo
Sun Sep 1 2019,Twente,3-1,1-0,Utrecht
Sun Sep 1 2019,Sparta Rotterdam,1-4,0-2,Ajax
Sun Sep 1 2019,Vitesse,2-1,1-1,AZ Alkmaar
Sun Sep 1 2019,Willem II,0-1,0-0,Feyenoord
Sun Sep 1 2019,Waalwijk,1-3,1-0,PSV Eindhoven
Sat Sep 14 2019,Ajax,4-1,2-1,Heerenveen
Sat Sep 14 2019,AZ Alkmaar,5-1,4-1,Sparta Rotterdam
Sat Sep 14 2019,VVV Venlo,2-1,1-1,Groningen
Sat Sep 14 2019,PSV Eindhoven,5-0,2-0,Vitesse
Sat Sep 14 2019,Utrecht,3-1,1-0,FC Emmen
Sun Sep 15 2019,Zwolle,6-2,1-2,Waalwijk
Sun Sep 15 2019,Feyenoord,3-2,3-0,Den Haag
Sun Sep 15 2019,Heracles,4-1,2-1,Willem II
Sun Sep 15 2019,For Sittard,2-3,0-2,Twente
Fri Sep 20 2019,Twente,2-3,1-2,Heracles
Sat Sep 21 2019,Sparta Rotterdam,4-0,2-0,Waalwijk
Sat Sep 21 2019,Groningen,2-0,1-0,Zwolle
Sat Sep 21 2019,Willem II,1-0,1-0,VVV Venlo
Sat Sep 21 2019,Vitesse,4-2,0-1,For Sittard
Sun Sep 22 2019,Heerenveen,1-1,1-1,Utrecht
Sun Sep 22 2019,FC Emmen,3-3,2-2,Feyenoord
Sun Sep 22 2019,Den Haag,0-1,0-0,AZ Alkmaar
Sun Sep 22 2019,PSV Eindhoven,1-1,0-0,Ajax
Wed Sep 25 2019,PSV Eindhoven,3-1,2-0,Groningen
Wed Sep 25 2019,Ajax,5-0,0-0,For Sittard
Thu Sep 26 2019,Feyenoord,0-3,0-1,AZ Alkmaar
Fri Sep 27 2019,FC Emmen,3-0,1-0,Den Haag
Sat Sep 28 2019,VVV Venlo,0-3,0-2,Heerenveen
Sat Sep 28 2019,Ajax,2-0,0-0,Groningen
Sat Sep 28 2019,For Sittard,0-0,0-0,Sparta Rotterdam
Sun Sep 29 2019,Waalwijk,1-2,0-1,Vitesse
Sun Sep 29 2019,Utrecht,2-0,0-0,Willem II
Sun Sep 29 2019,Zwolle,0-4,0-1,PSV Eindhoven
Sun Sep 29 2019,AZ Alkmaar,2-0,0-0,Heracles
Sun Sep 29 2019,Feyenoord,5-1,2-1,Twente
Fri Oct 4 2019,Groningen,3-0,2-0,Waalwijk
Sat Oct 5 2019,Heracles,2-0,1-0,FC Emmen
Sat Oct 5 2019,Sparta Rotterdam,2-1,0-0,Twente
Sat Oct 5 2019,Vitesse,2-1,1-1,Utrecht
Sat Oct 5 2019,Heerenveen,1-0,1-0,Zwolle
Sun Oct 6 2019,Den Haag,0-2,0-1,Ajax
Sun Oct 6 2019,For Sittard,4-2,3-1,Feyenoord
Sun Oct 6 2019,PSV Eindhoven,4-1,0-0,VVV Venlo
Sun Oct 6 2019,Willem II,1-1,1-1,AZ Alkmaar
Sat Oct 19 2019,AZ Alkmaar,2-4,1-3,Heerenveen
