Date,Team 1,FT,HT,Team 2
Fri Aug 2 2019,Dunfermline,2-2,2-1,Dundee
Sat Aug 3 2019,Alloa,1-1,1-0,Partick
Sat Aug 3 2019,Arbroath,0-0,0-0,Queen of Sth
Sat Aug 3 2019,Ayr,4-2,1-0,Morton
Sat Aug 3 2019,Dundee United,4-1,2-1,Inverness C
Fri Aug 9 2019,Partick,1-2,1-0,Dundee United
Sat Aug 10 2019,Dundee,1-0,0-0,Ayr
Sat Aug 10 2019,Inverness C,2-1,1-1,Arbroath
Sat Aug 10 2019,Morton,4-1,1-1,Alloa
Sat Aug 10 2019,Queen of Sth,1-1,0-1,Dunfermline
Fri Aug 23 2019,Morton,3-2,0-2,Partick
Sat Aug 24 2019,Alloa,0-1,0-1,Arbroath
Sat Aug 24 2019,Ayr,1-0,1-0,Queen of Sth
Sat Aug 24 2019,Dundee,0-0,0-0,Inverness C
Sat Aug 24 2019,Dunfermline,0-2,0-2,Dundee United
Fri Aug 30 2019,Inverness C,5-0,1-0,Morton
Fri Aug 30 2019,Dundee United,6-2,4-1,Dundee
Sat Aug 31 2019,Arbroath,1-0,0-0,Dunfermline
Sat Aug 31 2019,Partick,2-3,2-1,Ayr
Sat Aug 31 2019,Queen of Sth,0-1,0-0,Alloa
Fri Sep 13 2019,Arbroath,1-1,1-0,Partick
Sat Sep 14 2019,Ayr,2-0,1-0,Dundee United
Sat Sep 14 2019,Dundee,2-1,2-1,Alloa
Sat Sep 14 2019,Dunfermline,0-1,0-0,Inverness C
Sat Sep 14 2019,Queen of Sth,1-0,1-0,Morton
Sat Sep 21 2019,Alloa,1-4,0-4,Ayr
Sat Sep 21 2019,Dundee United,2-1,0-0,Arbroath
Sat Sep 21 2019,Inverness C,2-0,2-0,Queen of Sth
Sat Sep 21 2019,Morton,1-0,1-0,Dundee
Sat Sep 21 2019,Partick,0-3,0-2,Dunfermline
Fri Sep 27 2019,Queen of Sth,1-1,1-1,Dundee
Sat Sep 28 2019,Arbroath,0-3,0-3,Ayr
Sat Sep 28 2019,Dundee United,6-0,3-0,Morton
Sat Sep 28 2019,Dunfermline,1-1,0-0,Alloa
Sat Sep 28 2019,Inverness C,1-3,1-1,Partick
Fri Oct 4 2019,Alloa,1-0,1-0,Dundee United
Sat Oct 5 2019,Ayr,0-2,0-1,Inverness C
Sat Oct 5 2019,Dundee,2-0,1-0,Arbroath
Sat Oct 5 2019,Morton,1-1,0-0,Dunfermline
Sat Oct 5 2019,Partick,0-1,0-0,Queen of Sth
Sat Oct 19 2019,Arbroath,1-0,0-0,Morton
Sat Oct 19 2019,Dundee,1-3,1-0,Partick
Sat Oct 19 2019,Dunfermline,3-2,1-1,Ayr
Sat Oct 19 2019,Inverness C,2-2,0-1,Alloa
Sat Oct 19 2019,Queen of Sth,4-0,2-0,Dundee United
Fri Oct 25 2019,Ayr,1-2,1-2,Dundee
Sat Oct 26 2019,Alloa,2-2,0-2,Queen of Sth
Sat Oct 26 2019,Dundee United,2-0,2-0,Dunfermline
Sat Oct 26 2019,Morton,2-1,1-1,Inverness C
Sat Oct 26 2019,Partick,1-3,0-1,Arbroath
Tue Oct 29 2019,Alloa,0-3,0-2,Dundee
Tue Oct 29 2019,Dundee United,1-0,0-0,Partick
Tue Oct 29 2019,Dunfermline,2-0,0-0,Arbroath
