Date,Team 1,FT,HT,Team 2
Sat Jul 22 2023,Grasshoppers,1-3,?,Servette
Sat Jul 22 2023,St. Gallen,2-1,?,Basel
Sat Jul 22 2023,Winterthur,0-0,?,Luzern
Sun Jul 23 2023,Young Boys,2-1,?,Lausanne
Sun Jul 23 2023,Zurich,2-0,?,Yverdon
Wed Jul 26 2023,Lausanne Ouchy,0-3,?,Lugano
Sat Jul 29 2023,Lausanne,1-1,?,Grasshoppers
Sat Jul 29 2023,Lugano,1-0,?,St. Gallen
Sat Jul 29 2023,Servette,2-2,?,Zurich
Sun Jul 30 2023,Luzern,2-1,?,Lausanne Ouchy
Sun Jul 30 2023,Basel,5-2,?,Winterthur
Sun Jul 30 2023,Yverdon,2-2,?,Young Boys
Sat Aug 5 2023,Lausanne Ouchy,1-1,?,Servette
Sat Aug 5 2023,Young Boys,5-2,?,Winterthur
Sat Aug 5 2023,Zurich,3-0,?,Lugano
Sun Aug 6 2023,Lausanne,1-2,?,Yverdon
Sun Aug 6 2023,Grasshoppers,3-1,?,Basel
Sun Aug 6 2023,St. Gallen,2-1,?,Luzern
Sat Aug 12 2023,Lausanne Ouchy,0-3,?,Zurich
Sat Aug 12 2023,Winterthur,3-1,?,Grasshoppers
Sat Aug 12 2023,Servette,1-1,?,St. Gallen
Sun Aug 13 2023,Basel,1-2,?,Lausanne
Sun Aug 13 2023,Lugano,6-1,?,Yverdon
Sun Aug 13 2023,Luzern,1-1,?,Young Boys
Sat Aug 26 2023,Yverdon,4-1,?,Servette
Sat Aug 26 2023,Zurich,1-1,?,St. Gallen
Sun Aug 27 2023,Grasshoppers,0-1,?,Luzern
Sun Aug 27 2023,Lausanne,2-5,?,Winterthur
Sat Sep 2 2023,Lausanne Ouchy,2-1,?,Grasshoppers
Sat Sep 2 2023,St. Gallen,2-1,?,Lausanne
Sat Sep 2 2023,Winterthur,1-1,?,Yverdon
Sun Sep 3 2023,Servette,0-1,?,Young Boys
Sun Sep 3 2023,Basel,2-2,?,Zurich
Sun Sep 3 2023,Luzern,3-2,?,Lugano
Sat Sep 23 2023,Lausanne,0-0,?,Zurich
Sat Sep 23 2023,Winterthur,2-1,?,Lausanne Ouchy
Sat Sep 23 2023,Grasshoppers,1-1,?,St. Gallen
Sun Sep 24 2023,Yverdon,3-2,?,Basel
Sun Sep 24 2023,Luzern,2-0,?,Servette
Sun Sep 24 2023,Young Boys,4-1,?,Lugano
