Date,Team 1,FT,HT,Team 2
Fri Jun 30 2023,Club America,1-2,?,Juarez
Fri Jun 30 2023,Mazatlan FC,1-1,?,Pachuca
Fri Jun 30 2023,Club Tijuana,2-3,?,U.N.A.M.- Pumas
Sat Jul 1 2023,Atl. San Luis,1-1,?,Monterrey
Sat Jul 1 2023,U.A.N.L.- Tigres,1-1,?,Puebla
Sat Jul 1 2023,Atlas,2-0,?,Cruz Azul
Sun Jul 2 2023,Toluca,0-0,?,Necaxa
Sun Jul 2 2023,Santos Laguna,0-2,?,Queretaro
Mon Jul 3 2023,Club Leon,1-2,?,Guadalajara Chivas
Fri Jul 7 2023,Puebla,2-3,?,Santos Laguna
Fri Jul 7 2023,Necaxa,1-1,?,Club Tijuana
Sat Jul 8 2023,Cruz Azul,0-2,?,Toluca
Sat Jul 8 2023,Guadalajara Chivas,3-1,?,Atl. San Luis
Sat Jul 8 2023,Juarez,1-1,?,U.A.N.L.- Tigres
Sun Jul 9 2023,U.N.A.M.- Pumas,0-0,?,Mazatlan FC
Sun Jul 9 2023,Monterrey,1-0,?,Atlas
Mon Jul 10 2023,Club Leon,4-0,?,Pachuca
Thu Jul 13 2023,Santos Laguna,0-0,?,Atlas
Thu Jul 13 2023,Guadalajara Chivas,2-0,?,Necaxa
Fri Jul 14 2023,Mazatlan FC,0-3,?,Monterrey
Fri Jul 14 2023,Club Tijuana,2-1,?,Cruz Azul
Sat Jul 15 2023,Atl. San Luis,4-1,?,Queretaro
Sat Jul 15 2023,Club America,3-0,?,Puebla
Sat Jul 15 2023,U.A.N.L.- Tigres,1-0,?,Club Leon
Sun Jul 16 2023,Toluca,2-4,?,Juarez
Sun Jul 16 2023,Pachuca,1-1,?,U.N.A.M.- Pumas
Fri Aug 18 2023,Club Leon,2-1,?,Mazatlan FC
Fri Aug 18 2023,U.N.A.M.- Pumas,1-1,?,Toluca
Fri Aug 18 2023,Puebla,1-2,?,Atl. San Luis
Fri Aug 18 2023,Juarez,1-1,?,Guadalajara Chivas
