Date,Team 1,FT,HT,Team 2
Fri Jul 21 2023,Warta Poznan,0-1,?,Pogon Szczecin
Fri Jul 21 2023,Legia,3-0,?,LKS Lodz
Sat Jul 22 2023,Stal Mielec,2-2,?,Cracovia
Sat Jul 22 2023,Rakow,3-0,?,Jagiellonia
Sat Jul 22 2023,Piast Gliwice,1-2,?,Lech Poznan
Sun Jul 23 2023,Gornik Zabrze,0-2,?,Radomiak Radom
Sun Jul 23 2023,Zaglebie,2-1,?,Ruch Chorzow
Sun Jul 23 2023,Widzew Lodz,3-2,?,Puszcza
Mon Jul 24 2023,Korona Kielce,1-1,?,Slask Wroclaw
Fri Jul 28 2023,Ruch Chorzow,2-0,?,LKS Lodz
Sat Jul 29 2023,Warta Poznan,2-0,?,Gornik Zabrze
Sat Jul 29 2023,Jagiellonia,4-1,?,Puszcza
Sat Jul 29 2023,Slask Wroclaw,1-2,?,Zaglebie
Sun Jul 30 2023,Stal Mielec,0-0,?,Piast Gliwice
Sun Jul 30 2023,Lech Poznan,2-0,?,Radomiak Radom
Sun Jul 30 2023,Pogon Szczecin,2-1,?,Widzew Lodz
Fri Aug 4 2023,Jagiellonia,2-1,?,Widzew Lodz
Fri Aug 4 2023,LKS Lodz,2-1,?,Korona Kielce
Sat Aug 5 2023,Rakow,2-2,?,Warta Poznan
Sat Aug 5 2023,Gornik Zabrze,0-0,?,Piast Gliwice
Sat Aug 5 2023,Radomiak Radom,0-1,?,Cracovia
Sun Aug 6 2023,Zaglebie,1-1,?,Lech Poznan
Sun Aug 6 2023,Legia,3-0,?,Ruch Chorzow
Mon Aug 7 2023,Puszcza,1-0,?,Stal Mielec
Fri Aug 11 2023,Cracovia,2-1,?,Zaglebie
Fri Aug 11 2023,Piast Gliwice,2-1,?,Rakow
Sat Aug 12 2023,Stal Mielec,3-1,?,Slask Wroclaw
Sat Aug 12 2023,Korona Kielce,0-1,?,Gornik Zabrze
Sat Aug 12 2023,Widzew Lodz,1-0,?,LKS Lodz
Sun Aug 13 2023,Pogon Szczecin,0-2,?,Radomiak Radom
Sun Aug 13 2023,Puszcza,1-1,?,Legia
Mon Aug 14 2023,Warta Poznan,2-2,?,Ruch Chorzow
Fri Aug 18 2023,Zaglebie,1-0,?,Puszcza
