Date,Team 1,Team 2,FT,HT
2009-08-07,Buyuksehyr,Beşiktaş,1-1,1-1
2009-08-08,Diyarbakirspor,Ankaragucu,2-2,1-2
2009-08-08,Sivasspor,Trabzonspor,1-2,0-1
2009-08-09,Bursaspor,Kasımpaşa,2-1,0-0
2009-08-09,Denizlispor,Fenerbahçe,0-2,0-1
2009-08-09,Gaziantepspor,Galatasaray,2-3,1-2
2009-08-09,Gençlerbirliği,Kayserispor,0-0,0-0
2009-08-09,Manisaspor,Eskişehirspor,0-0,0-0
2009-08-15,Ankaragucu,Manisaspor,1-1,0-0
2009-08-15,Galatasaray,Denizlispor,4-1,1-1
2009-08-15,Trabzonspor,Diyarbakirspor,1-2,1-0
2009-08-16,Eskişehirspor,Bursaspor,3-2,1-0
2009-08-16,Fenerbahçe,Sivasspor,3-0,0-0
2009-08-16,Kasımpaşa,Buyuksehyr,1-3,0-1
2009-08-16,Kayserispor,Gaziantepspor,1-1,1-0
2009-08-17,Beşiktaş,Antalyaspor,2-0,0-0
2009-08-22,Bursaspor,Ankaragucu,1-0,1-0
2009-08-22,Buyuksehyr,Eskişehirspor,0-0,0-0
2009-08-22,Gençlerbirliği,Beşiktaş,0-0,0-0
2009-08-23,Antalyaspor,Kasımpaşa,2-0,0-0
2009-08-23,Galatasaray,Kayserispor,4-1,2-1
2009-08-23,Manisaspor,Trabzonspor,1-0,1-0
2009-08-24,Diyarbakirspor,Fenerbahçe,1-3,1-1
2009-08-28,Beşiktaş,Gaziantepspor,0-0,0-0
2009-08-29,Ankaragucu,Buyuksehyr,2-2,1-2
2009-08-29,Eskişehirspor,Antalyaspor,2-1,2-1
2009-08-29,Kayserispor,Denizlispor,3-0,1-0
2009-08-30,Fenerbahçe,Manisaspor,2-1,0-0
2009-08-30,Kasımpaşa,Gençlerbirliği,0-4,0-1
2009-08-30,Sivasspor,Diyarbakirspor,0-2,0-1
2009-08-30,Trabzonspor,Bursaspor,1-1,1-1
2009-09-12,Denizlispor,Diyarbakirspor,0-0,0-0
2009-09-12,Galatasaray,Beşiktaş,3-0,1-0
2009-09-12,Manisaspor,Sivasspor,3-1,2-0
2009-09-13,Antalyaspor,Ankaragucu,1-0,1-0
2009-09-13,Bursaspor,Fenerbahçe,0-1,0-1
