Date,Team 1,FT,HT,Team 2
Sat Aug 22 2009,Bologna,1-1,1-0,Fiorentina
Sat Aug 22 2009,Siena,1-2,1-1,Milan
Sun Aug 23 2009,Catania,1-2,1-1,Sampdoria
Sun Aug 23 2009,Genoa,3-2,0-0,Roma
Sun Aug 23 2009,Inter,1-1,0-0,Bari
Sun Aug 23 2009,Juventus,1-0,1-0,Chievo
Sun Aug 23 2009,Lazio,1-0,1-0,Atalanta
Sun Aug 23 2009,Livorno,0-0,0-0,Cagliari
Sun Aug 23 2009,Palermo,2-1,1-0,Napoli
Sun Aug 23 2009,Udinese,2-2,1-1,Parma
Sat Aug 29 2009,Bari,0-0,0-0,Bologna
Sat Aug 29 2009,Milan,0-4,0-3,Inter
Sun Aug 30 2009,Atalanta,0-1,0-1,Genoa
Sun Aug 30 2009,Cagliari,1-3,0-0,Siena
Sun Aug 30 2009,Chievo,1-2,1-1,Lazio
Sun Aug 30 2009,Fiorentina,1-0,1-0,Palermo
Sun Aug 30 2009,Napoli,3-1,2-0,Livorno
Sun Aug 30 2009,Parma,2-1,1-1,Catania
Sun Aug 30 2009,Roma,1-3,1-1,Juventus
Sun Aug 30 2009,Sampdoria,3-1,2-0,Udinese
Sat Sep 12 2009,Lazio,0-2,0-0,Juventus
Sat Sep 12 2009,Livorno,0-0,0-0,Milan
Sun Sep 13 2009,Atalanta,0-1,0-0,Sampdoria
Sun Sep 13 2009,Bologna,0-2,0-2,Chievo
Sun Sep 13 2009,Fiorentina,1-0,0-0,Cagliari
Sun Sep 13 2009,Genoa,4-1,1-1,Napoli
Sun Sep 13 2009,Inter,2-0,0-0,Parma
Sun Sep 13 2009,Palermo,1-1,0-1,Bari
Sun Sep 13 2009,Siena,1-2,1-0,Roma
Sun Sep 13 2009,Udinese,4-2,1-2,Catania
Sat Sep 19 2009,Juventus,2-0,2-0,Livorno
Sat Sep 19 2009,Napoli,0-0,0-0,Udinese
Sun Sep 20 2009,Bari,4-1,3-0,Atalanta
Sun Sep 20 2009,Cagliari,1-2,1-0,Inter
Sun Sep 20 2009,Catania,1-1,1-0,Lazio
Sun Sep 20 2009,Chievo,3-1,2-0,Genoa
Sun Sep 20 2009,Milan,1-0,0-0,Bologna
Sun Sep 20 2009,Parma,1-0,1-0,Palermo
Sun Sep 20 2009,Roma,3-1,3-0,Fiorentina
Sun Sep 20 2009,Sampdoria,4-1,2-0,Siena
Wed Sep 23 2009,Atalanta,0-0,0-0,Catania
Wed Sep 23 2009,Bari,0-1,0-0,Cagliari
Wed Sep 23 2009,Bologna,2-0,1-0,Livorno
Wed Sep 23 2009,Fiorentina,2-0,1-0,Sampdoria
Wed Sep 23 2009,Inter,3-1,3-1,Napoli
Wed Sep 23 2009,Lazio,1-2,1-2,Parma
Wed Sep 23 2009,Palermo,3-3,2-2,Roma
Wed Sep 23 2009,Siena,0-0,0-0,Chievo
Wed Sep 23 2009,Udinese,1-0,1-0,Milan
Thu Sep 24 2009,Genoa,2-2,1-1,Juventus
Sat Sep 26 2009,Livorno,0-1,0-0,Fiorentina
Sat Sep 26 2009,Sampdoria,1-0,0-0,Inter
Sun Sep 27 2009,Catania,1-1,1-0,Roma
Sun Sep 27 2009,Chievo,1-1,0-0,Atalanta
Sun Sep 27 2009,Juventus,1-1,1-0,Bologna
Sun Sep 27 2009,Lazio,1-1,0-0,Palermo
Sun Sep 27 2009,Milan,0-0,0-0,Bari
Sun Sep 27 2009,Napoli,2-1,0-0,Siena
Sun Sep 27 2009,Parma,0-2,0-1,Cagliari
Sun Sep 27 2009,Udinese,2-0,0-0,Genoa
Sat Oct 3 2009,Bari,0-0,0-0,Catania
Sat Oct 3 2009,Inter,2-1,1-1,Udinese
Sun Oct 4 2009,Atalanta,1-1,1-0,Milan
Sun Oct 4 2009,Bologna,1-3,0-2,Genoa
Sun Oct 4 2009,Cagliari,1-2,1-1,Chievo
Sun Oct 4 2009,Fiorentina,0-0,0-0,Lazio
Sun Oct 4 2009,Palermo,2-0,2-0,Juventus
Sun Oct 4 2009,Roma,2-1,1-1,Napoli
Sun Oct 4 2009,Sampdoria,1-1,1-1,Parma
Sun Oct 4 2009,Siena,0-0,0-0,Livorno
Sat Oct 17 2009,Genoa,0-5,0-3,Inter
Sat Oct 17 2009,Juventus,1-1,1-1,Fiorentina
Sun Oct 18 2009,Catania,2-1,1-1,Cagliari
Sun Oct 18 2009,Chievo,1-2,0-1,Bari
Sun Oct 18 2009,Lazio,1-1,1-1,Sampdoria
Sun Oct 18 2009,Livorno,1-2,0-0,Palermo
Sun Oct 18 2009,Milan,2-1,0-1,Roma
Sun Oct 18 2009,Napoli,2-1,0-1,Bologna
Sun Oct 18 2009,Parma,1-0,1-0,Siena
Sun Oct 18 2009,Udinese,1-3,1-1,Atalanta
Sat Oct 24 2009,Inter,2-1,2-0,Catania
Sat Oct 24 2009,Sampdoria,4-1,4-0,Bologna
Sun Oct 25 2009,Atalanta,3-1,1-0,Parma
Sun Oct 25 2009,Bari,2-0,1-0,Lazio
Sun Oct 25 2009,Cagliari,3-2,0-1,Genoa
Sun Oct 25 2009,Chievo,1-2,1-0,Milan
Sun Oct 25 2009,Fiorentina,0-1,0-0,Napoli
Sun Oct 25 2009,Palermo,1-0,0-0,Udinese
Sun Oct 25 2009,Roma,0-1,0-1,Livorno
Sun Oct 25 2009,Siena,0-1,0-0,Juventus
Wed Oct 28 2009,Bologna,2-1,1-0,Siena
Wed Oct 28 2009,Catania,1-2,1-1,Chievo
Wed Oct 28 2009,Genoa,2-1,1-0,Fiorentina
Wed Oct 28 2009,Juventus,5-1,2-0,Sampdoria
Wed Oct 28 2009,Lazio,0-1,0-0,Cagliari
Wed Oct 28 2009,Livorno,1-0,0-0,Atalanta
Wed Oct 28 2009,Napoli,2-2,0-2,Milan
Wed Oct 28 2009,Parma,2-0,0-0,Bari
Wed Oct 28 2009,Udinese,2-1,1-1,Roma
Thu Oct 29 2009,Inter,5-3,4-0,Palermo
Sat Oct 31 2009,Juventus,2-3,1-0,Napoli
Sat Oct 31 2009,Milan,2-0,1-0,Parma
Sun Nov 1 2009,Cagliari,3-0,3-0,Atalanta
Sun Nov 1 2009,Chievo,1-1,0-1,Udinese
Sun Nov 1 2009,Fiorentina,3-1,1-0,Catania
Sun Nov 1 2009,Livorno,0-2,0-0,Inter
Sun Nov 1 2009,Palermo,0-0,0-0,Genoa
Sun Nov 1 2009,Roma,2-1,1-1,Bologna
Sun Nov 1 2009,Sampdoria,0-0,0-0,Bari
Sun Nov 1 2009,Siena,1-1,1-1,Lazio
Sat Nov 7 2009,Atalanta,2-5,0-2,Juventus
Sat Nov 7 2009,Catania,0-0,0-0,Napoli
Sun Nov 8 2009,Bari,1-0,1-0,Livorno
Sun Nov 8 2009,Bologna,3-1,1-1,Palermo
Sun Nov 8 2009,Cagliari,2-0,0-0,Sampdoria
Sun Nov 8 2009,Genoa,4-2,3-0,Siena
Sun Nov 8 2009,Inter,1-1,0-1,Roma
Sun Nov 8 2009,Lazio,1-2,0-2,Milan
Sun Nov 8 2009,Parma,2-0,1-0,Chievo
Sun Nov 8 2009,Udinese,0-1,0-0,Fiorentina
Sat Nov 21 2009,Bologna,1-3,1-2,Inter
Sat Nov 21 2009,Fiorentina,2-3,1-1,Parma
Sun Nov 22 2009,Juventus,1-0,0-0,Udinese
Sun Nov 22 2009,Livorno,2-1,1-0,Genoa
Sun Nov 22 2009,Milan,4-3,3-2,Cagliari
Sun Nov 22 2009,Napoli,0-0,0-0,Lazio
Sun Nov 22 2009,Palermo,1-1,1-0,Catania
Sun Nov 22 2009,Roma,3-1,3-0,Bari
