Round,Date,Team 1,FT,HT,Team 2
?,(Fri) 7 Aug 2009 (31),İstanbul Başakşehir (1),1-1,1-1,Beşiktaş İstanbul JK (1)
?,(Sat) 8 Aug 2009 (31),Diyarbakirspor (1),2-2,1-2,Ankaragucu (1)
?,(Sat) 8 Aug 2009 (31),Sivasspor (1),1-2,0-1,Trabzonspor AŞ (1)
?,(Sun) 9 Aug 2009 (31),Bursaspor (1),2-1,0-0,Kasımpaşa İstanbul SK (1)
?,(Sun) 9 Aug 2009 (31),Denizlispor (1),0-2,0-1,Fenerbahçe İstanbul SK (1)
?,(Sun) 9 Aug 2009 (31),Gaziantepspor (1),2-3,1-2,Galatasaray İstanbul AŞ (1)
?,(Sun) 9 Aug 2009 (31),Gençlerbirliği Ankara SK (1),0-0,0-0,Kayserispor (1)
?,(Sun) 9 Aug 2009 (31),Manisaspor (1),0-0,0-0,Eskişehirspor (1)
?,(Sat) 15 Aug 2009 (32),Ankaragucu (2),1-1,0-0,Manisaspor (2)
?,(Sat) 15 Aug 2009 (32),Galatasaray İstanbul AŞ (2),4-1,1-1,Denizlispor (2)
?,(Sat) 15 Aug 2009 (32),Trabzonspor AŞ (2),1-2,1-0,Diyarbakirspor (2)
?,(Sun) 16 Aug 2009 (32),Eskişehirspor (2),3-2,1-0,Bursaspor (2)
?,(Sun) 16 Aug 2009 (32),Fenerbahçe İstanbul SK (2),3-0,0-0,Sivasspor (2)
?,(Sun) 16 Aug 2009 (32),Kasımpaşa İstanbul SK (2),1-3,0-1,İstanbul Başakşehir (2)
?,(Sun) 16 Aug 2009 (32),Kayserispor (2),1-1,1-0,Gaziantepspor (2)
?,(Mon) 17 Aug 2009 (33),Beşiktaş İstanbul JK (2),2-0,0-0,Antalyaspor (1)
?,(Sat) 22 Aug 2009 (33),Bursaspor (3),1-0,1-0,Ankaragucu (3)
?,(Sat) 22 Aug 2009 (33),İstanbul Başakşehir (3),0-0,0-0,Eskişehirspor (3)
?,(Sat) 22 Aug 2009 (33),Gençlerbirliği Ankara SK (2),0-0,0-0,Beşiktaş İstanbul JK (3)
?,(Sun) 23 Aug 2009 (33),Antalyaspor (2),2-0,0-0,Kasımpaşa İstanbul SK (3)
?,(Sun) 23 Aug 2009 (33),Galatasaray İstanbul AŞ (3),4-1,2-1,Kayserispor (3)
?,(Sun) 23 Aug 2009 (33),Manisaspor (3),1-0,1-0,Trabzonspor AŞ (3)
?,(Mon) 24 Aug 2009 (34),Diyarbakirspor (3),1-3,1-1,Fenerbahçe İstanbul SK (3)
?,(Fri) 28 Aug 2009 (34),Beşiktaş İstanbul JK (4),0-0,0-0,Gaziantepspor (3)
?,(Sat) 29 Aug 2009 (34),Ankaragucu (4),2-2,1-2,İstanbul Başakşehir (4)
?,(Sat) 29 Aug 2009 (34),Eskişehirspor (4),2-1,2-1,Antalyaspor (3)
?,(Sat) 29 Aug 2009 (34),Kayserispor (4),3-0,1-0,Denizlispor (3)
?,(Sun) 30 Aug 2009 (34),Fenerbahçe İstanbul SK (4),2-1,0-0,Manisaspor (4)
?,(Sun) 30 Aug 2009 (34),Kasımpaşa İstanbul SK (4),0-4,0-1,Gençlerbirliği Ankara SK (3)
?,(Sun) 30 Aug 2009 (34),Sivasspor (3),0-2,0-1,Diyarbakirspor (4)
?,(Sun) 30 Aug 2009 (34),Trabzonspor AŞ (4),1-1,1-1,Bursaspor (4)
?,(Sat) 12 Sep 2009 (36),Denizlispor (4),0-0,0-0,Diyarbakirspor (5)
?,(Sat) 12 Sep 2009 (36),Galatasaray İstanbul AŞ (4),3-0,1-0,Beşiktaş İstanbul JK (5)
?,(Sat) 12 Sep 2009 (36),Manisaspor (5),3-1,2-0,Sivasspor (4)
?,(Sun) 13 Sep 2009 (36),Antalyaspor (4),1-0,1-0,Ankaragucu (5)
?,(Sun) 13 Sep 2009 (36),Bursaspor (5),0-1,0-1,Fenerbahçe İstanbul SK (5)
?,(Sun) 13 Sep 2009 (36),İstanbul Başakşehir (5),1-6,1-4,Trabzonspor AŞ (5)
?,(Sun) 13 Sep 2009 (36),Gaziantepspor (4),1-0,0-0,Kasımpaşa İstanbul SK (5)
?,(Sun) 13 Sep 2009 (36),Gençlerbirliği Ankara SK (4),2-2,1-2,Eskişehirspor (5)
?,(Wed) 16 Sep 2009 (37),Denizlispor (5),1-1,0-0,Sivasspor (5)
?,(Fri) 18 Sep 2009 (37),Trabzonspor AŞ (6),3-1,1-0,Antalyaspor (5)
?,(Sat) 19 Sep 2009 (37),Ankaragucu (6),1-2,1-1,Gençlerbirliği Ankara SK (5)
?,(Sat) 19 Sep 2009 (37),Beşiktaş İstanbul JK (6),0-1,0-0,Kayserispor (5)
?,(Sat) 19 Sep 2009 (37),Diyarbakirspor (6),0-0,0-0,Manisaspor (6)
?,(Sat) 19 Sep 2009 (37),Eskişehirspor (6),3-2,1-1,Gaziantepspor (5)
?,(Sat) 19 Sep 2009 (37),Sivasspor (6),1-3,0-1,Bursaspor (6)
?,(Sun) 20 Sep 2009 (37),Fenerbahçe İstanbul SK (6),1-0,1-0,İstanbul Başakşehir (6)
?,(Mon) 21 Sep 2009 (38),Kasımpaşa İstanbul SK (6),1-3,1-0,Galatasaray İstanbul AŞ (5)
?,(Fri) 25 Sep 2009 (38),Gençlerbirliği Ankara SK (6),2-2,1-2,Trabzonspor AŞ (7)
?,(Sat) 26 Sep 2009 (38),Antalyaspor (6),1-2,1-1,Fenerbahçe İstanbul SK (7)
?,(Sat) 26 Sep 2009 (38),Bursaspor (7),4-0,1-0,Diyarbakirspor (7)
?,(Sat) 26 Sep 2009 (38),İstanbul Başakşehir (7),1-0,0-0,Sivasspor (7)
?,(Sat) 26 Sep 2009 (38),Gaziantepspor (6),1-3,1-1,Ankaragucu (7)
?,(Sun) 27 Sep 2009 (38),Denizlispor (6),1-1,0-0,Manisaspor (7)
?,(Sun) 27 Sep 2009 (38),Galatasaray İstanbul AŞ (6),1-1,1-0,Eskişehirspor (7)
?,(Sun) 27 Sep 2009 (38),Kayserispor (6),0-0,0-0,Kasımpaşa İstanbul SK (7)
?,(Fri) 2 Oct 2009 (39),Trabzonspor AŞ (8),0-0,0-0,Gaziantepspor (7)
?,(Sat) 3 Oct 2009 (39),Beşiktaş İstanbul JK (7),1-0,0-0,Denizlispor (7)
?,(Sat) 3 Oct 2009 (39),Diyarbakirspor (8),1-3,0-0,İstanbul Başakşehir (8)
?,(Sat) 3 Oct 2009 (39),Manisaspor (8),0-2,0-0,Bursaspor (8)
?,(Sun) 4 Oct 2009 (39),Ankaragucu (8),3-0,0-0,Galatasaray İstanbul AŞ (7)
?,(Sun) 4 Oct 2009 (39),Eskişehirspor (8),0-1,0-1,Kayserispor (7)
?,(Sun) 4 Oct 2009 (39),Fenerbahçe İstanbul SK (8),3-0,1-0,Gençlerbirliği Ankara SK (7)
?,(Sun) 4 Oct 2009 (39),Sivasspor (8),2-0,0-0,Antalyaspor (7)
?,(Sat) 17 Oct 2009 (41),Beşiktaş İstanbul JK (8),2-1,2-0,Kasımpaşa İstanbul SK (8)
?,(Sat) 17 Oct 2009 (41),Denizlispor (8),2-3,1-1,Bursaspor (9)
?,(Sun) 18 Oct 2009 (41),Antalyaspor (8),4-1,2-1,Diyarbakirspor (9)
?,(Sun) 18 Oct 2009 (41),İstanbul Başakşehir (9),1-0,0-0,Manisaspor (9)
