Date,Team 1,FT,HT,Team 2
Sat Aug 30 1997,Leganes,1-0,1-0,Eibar
Sat Aug 30 1997,Levante,0-1,0-0,Toledo
Sat Aug 30 1997,Sevilla,5-1,3-1,Lleida
Sun Aug 31 1997,Alaves,5-1,2-0,Albacete
Sun Aug 31 1997,Ath Madrid B,1-1,1-0,Las Palmas
Sun Aug 31 1997,Badajoz,1-1,0-0,Jaen
Sun Aug 31 1997,Extremadura,1-0,0-0,Xerez
Sun Aug 31 1997,Hercules,0-0,0-0,Vallecano
Sun Aug 31 1997,Logrones,0-1,0-1,Orense
Sun Aug 31 1997,Numancia,2-1,1-1,Elche
Sun Aug 31 1997,Osasuna,0-1,0-0,Villarreal
Sat Sep 6 1997,Albacete,3-0,1-0,Levante
Sat Sep 6 1997,Eibar,2-1,0-0,Alaves
Sat Sep 6 1997,Las Palmas,1-1,1-1,Leganes
Sat Sep 6 1997,Lleida,0-2,0-1,Ath Madrid B
Sat Sep 6 1997,Villarreal,2-1,2-1,Hercules
Sun Sep 7 1997,Elche,0-1,0-1,Extremadura
Sun Sep 7 1997,Jaen,1-1,0-0,Logrones
Sun Sep 7 1997,Orense,0-1,0-0,Sevilla
Sun Sep 7 1997,Toledo,1-0,0-0,Osasuna
Sun Sep 7 1997,Vallecano,2-0,1-0,Numancia
Sun Sep 7 1997,Xerez,0-0,0-0,Badajoz
Sat Sep 13 1997,Ath Madrid B,1-0,1-0,Orense
Sat Sep 13 1997,Levante,1-2,0-0,Eibar
Sat Sep 13 1997,Sevilla,4-0,2-0,Jaen
Sun Sep 14 1997,Alaves,1-1,1-0,Las Palmas
Sun Sep 14 1997,Badajoz,5-0,1-0,Elche
Sun Sep 14 1997,Hercules,4-1,1-1,Toledo
Sun Sep 14 1997,Leganes,0-0,0-0,Lleida
Sun Sep 14 1997,Logrones,0-0,0-0,Xerez
Sun Sep 14 1997,Numancia,0-3,0-1,Extremadura
Sun Sep 14 1997,Osasuna,0-0,0-0,Albacete
Sun Sep 14 1997,Vallecano,5-0,2-0,Villarreal
Sat Sep 20 1997,Eibar,0-1,0-0,Osasuna
Sat Sep 20 1997,Elche,5-0,1-0,Logrones
Sat Sep 20 1997,Las Palmas,1-2,0-0,Levante
Sat Sep 20 1997,Orense,4-0,0-0,Leganes
Sun Sep 21 1997,Albacete,1-0,1-0,Hercules
Sun Sep 21 1997,Extremadura,0-0,0-0,Badajoz
Sun Sep 21 1997,Jaen,1-1,1-0,Ath Madrid B
Sun Sep 21 1997,Lleida,1-2,1-2,Alaves
Sun Sep 21 1997,Toledo,1-1,0-1,Vallecano
Sun Sep 21 1997,Villarreal,0-1,0-0,Numancia
Sun Sep 21 1997,Xerez,1-0,0-0,Sevilla
Sat Sep 27 1997,Alaves,0-1,0-1,Orense
Sat Sep 27 1997,Levante,1-1,1-1,Lleida
Sat Sep 27 1997,Vallecano,0-0,0-0,Albacete
Sun Sep 28 1997,Ath Madrid B,2-0,0-0,Xerez
Sun Sep 28 1997,Hercules,0-0,0-0,Eibar
Sun Sep 28 1997,Leganes,2-1,1-0,Jaen
Sun Sep 28 1997,Logrones,1-1,0-0,Extremadura
Sun Sep 28 1997,Numancia,0-0,0-0,Badajoz
Sun Sep 28 1997,Osasuna,3-1,1-0,Las Palmas
Sun Sep 28 1997,Sevilla,0-0,0-0,Elche
Sun Sep 28 1997,Villarreal,1-1,0-0,Toledo
Sat Oct 4 1997,Eibar,0-1,0-0,Vallecano
Sat Oct 4 1997,Elche,3-1,1-0,Ath Madrid B
Sat Oct 4 1997,Las Palmas,3-2,1-2,Hercules
Sun Oct 5 1997,Albacete,1-1,1-1,Villarreal
Sun Oct 5 1997,Badajoz,0-0,0-0,Logrones
Sun Oct 5 1997,Extremadura,3-0,1-0,Sevilla
Sun Oct 5 1997,Jaen,0-0,0-0,Alaves
Sun Oct 5 1997,Lleida,2-1,0-1,Osasuna
Sun Oct 5 1997,Orense,2-0,1-0,Levante
Sun Oct 5 1997,Toledo,1-1,1-0,Numancia
Sun Oct 5 1997,Xerez,3-0,1-0,Leganes
Sat Oct 11 1997,Alaves,1-0,0-0,Xerez
Sat Oct 11 1997,Ath Madrid B,3-1,1-1,Extremadura
Sat Oct 11 1997,Hercules,4-3,4-0,Lleida
Sun Oct 12 1997,Leganes,1-0,1-0,Elche
Sun Oct 12 1997,Levante,2-0,1-0,Jaen
Sun Oct 12 1997,Numancia,1-0,0-0,Logrones
