Date,Team 1,FT,HT,Team 2
Tue Aug 19 1997,Ajax,5-0,2-0,Vitesse
Tue Aug 19 1997,Twente,4-1,1-0,For Sittard
Wed Aug 20 1997,Groningen,3-0,1-0,Volendam
Wed Aug 20 1997,Heerenveen,3-1,0-1,NAC Breda
Wed Aug 20 1997,PSV Eindhoven,5-1,1-0,Waalwijk
Wed Aug 20 1997,Roda JC,1-0,0-0,Utrecht
Wed Aug 20 1997,Sparta,1-1,0-0,Graafschap
Wed Aug 20 1997,Willem II,1-2,0-0,Nijmegen
Thu Aug 21 1997,MVV Maastricht,0-3,0-1,Feyenoord
Fri Aug 22 1997,For Sittard,0-5,0-2,Ajax
Sat Aug 23 1997,Graafschap,3-1,1-0,Willem II
Sat Aug 23 1997,Nijmegen,0-1,0-0,Heerenveen
Sun Aug 24 1997,Feyenoord,3-1,2-0,Sparta
Sun Aug 24 1997,NAC Breda,3-3,3-1,PSV Eindhoven
Sun Aug 24 1997,Utrecht,6-1,3-0,MVV Maastricht
Sun Aug 24 1997,Vitesse,3-1,1-0,Roda JC
Sun Aug 24 1997,Volendam,0-0,0-0,Twente
Sun Aug 24 1997,Waalwijk,1-1,0-0,Groningen
Sat Aug 30 1997,For Sittard,0-3,0-2,Waalwijk
Sat Aug 30 1997,Heerenveen,3-1,1-1,MVV Maastricht
Sat Aug 30 1997,NAC Breda,0-1,0-1,Nijmegen
Sat Aug 30 1997,PSV Eindhoven,3-0,2-0,Willem II
Sat Aug 30 1997,Roda JC,4-1,2-0,Groningen
Sun Aug 31 1997,Feyenoord,2-0,0-0,Graafschap
Sun Aug 31 1997,Twente,2-1,1-0,Sparta
Sun Aug 31 1997,Utrecht,1-7,1-2,Ajax
Tue Sep 2 1997,Volendam,1-1,0-1,Vitesse
Mon Sep 8 1997,MVV Maastricht,0-1,0-0,NAC Breda
Tue Sep 9 1997,Ajax,3-0,1-0,Waalwijk
Tue Sep 9 1997,Groningen,4-0,0-0,Nijmegen
Tue Sep 9 1997,Roda JC,0-2,0-2,Volendam
Wed Sep 10 1997,PSV Eindhoven,0-0,0-0,Graafschap
Wed Sep 10 1997,Sparta,1-1,1-0,For Sittard
Wed Sep 10 1997,Utrecht,1-1,1-1,Twente
Wed Sep 10 1997,Vitesse,3-1,2-0,Willem II
Thu Sep 11 1997,Heerenveen,0-0,0-0,Feyenoord
Fri Sep 12 1997,Ajax,4-1,2-1,Groningen
Fri Sep 12 1997,MVV Maastricht,1-2,1-1,Roda JC
