Date,Team 1,FT,HT,Team 2
Mon Oct 2 2017,FC Voluntari,0-1,?,Concordia
Fri Oct 13 2017,FC Voluntari,0-0,?,FCSB
Sat Oct 14 2017,Gaz Metan Medias,0-1,?,Viitorul Constanta
Sat Oct 14 2017,Poli Iasi,1-2,?,U Craiova
Sun Oct 15 2017,Sepsi Sf. Gheorghe,0-0,?,Astra
Sun Oct 15 2017,CFR Cluj,0-0,?,FC Botosani
Mon Oct 16 2017,Poli Timisoara,0-3,?,Concordia
Mon Oct 16 2017,Din. Bucuresti,3-0,?,Daco-Getica Bucuresti
Fri Oct 20 2017,Gaz Metan Medias,0-2,?,Poli Iasi
Fri Oct 20 2017,Concordia,1-2,?,U Craiova
Sat Oct 21 2017,Daco-Getica Bucuresti,2-1,?,Sepsi Sf. Gheorghe
Sat Oct 21 2017,Viitorul Constanta,1-0,?,CFR Cluj
Sun Oct 22 2017,Astra,2-3,?,FC Voluntari
Sun Oct 22 2017,FCSB,7-0,?,Poli Timisoara
Mon Oct 23 2017,FC Botosani,0-0,?,Din. Bucuresti
Fri Oct 27 2017,Poli Iasi,3-1,?,Concordia
Sat Oct 28 2017,FC Voluntari,0-0,?,Daco-Getica Bucuresti
Sat Oct 28 2017,Poli Timisoara,2-1,?,Astra
Sun Oct 29 2017,CFR Cluj,0-0,?,Gaz Metan Medias
Sun Oct 29 2017,U Craiova,2-5,?,FCSB
Mon Oct 30 2017,Sepsi Sf. Gheorghe,0-2,?,FC Botosani
Mon Oct 30 2017,Din. Bucuresti,0-4,?,Viitorul Constanta
Fri Nov 3 2017,FC Botosani,1-0,?,FC Voluntari
Fri Nov 3 2017,Astra,2-2,?,U Craiova
Sat Nov 4 2017,Viitorul Constanta,3-0,?,Sepsi Sf. Gheorghe
Sat Nov 4 2017,Gaz Metan Medias,0-3,?,Din. Bucuresti
Sun Nov 5 2017,CFR Cluj,1-0,?,Poli Iasi
Sun Nov 5 2017,FCSB,2-1,?,Concordia
Mon Nov 6 2017,Daco-Getica Bucuresti,1-1,?,Poli Timisoara
Fri Nov 17 2017,Poli Timisoara,1-1,?,FC Botosani
Fri Nov 17 2017,Poli Iasi,1-0,?,FCSB
Sat Nov 18 2017,Sepsi Sf. Gheorghe,0-0,?,Gaz Metan Medias
Sat Nov 18 2017,U Craiova,3-1,?,Daco-Getica Bucuresti
Sun Nov 19 2017,Concordia,1-2,?,Astra
Sun Nov 19 2017,Din. Bucuresti,0-2,?,CFR Cluj
Mon Nov 20 2017,FC Voluntari,0-0,?,Viitorul Constanta
Fri Nov 24 2017,Daco-Getica Bucuresti,0-5,?,Concordia
Fri Nov 24 2017,FC Botosani,1-0,?,U Craiova
Sat Nov 25 2017,Viitorul Constanta,1-1,?,Poli Timisoara
Sat Nov 25 2017,Din. Bucuresti,2-1,?,Poli Iasi
Sun Nov 26 2017,Gaz Metan Medias,1-1,?,FC Voluntari
Sun Nov 26 2017,Astra,2-0,?,FCSB
Mon Nov 27 2017,CFR Cluj,2-0,?,Sepsi Sf. Gheorghe
Fri Dec 1 2017,FC Voluntari,0-3,?,CFR Cluj
Sat Dec 2 2017,Concordia,3-0,?,FC Botosani
Sat Dec 2 2017,U Craiova,3-1,?,Viitorul Constanta
Sun Dec 3 2017,Poli Iasi,1-0,?,Astra
Sun Dec 3 2017,FCSB,4-0,?,Daco-Getica Bucuresti
Mon Dec 4 2017,Poli Timisoara,1-1,?,Gaz Metan Medias
Mon Dec 4 2017,Sepsi Sf. Gheorghe,0-3,?,Din. Bucuresti
Fri Dec 8 2017,Daco-Getica Bucuresti,0-1,?,Astra
Sat Dec 9 2017,Viitorul Constanta,3-0,?,Concordia
Sat Dec 9 2017,CFR Cluj,1-0,?,Poli Timisoara
Sun Dec 10 2017,Gaz Metan Medias,0-0,?,U Craiova
Sun Dec 10 2017,FC Botosani,0-3,?,FCSB
Mon Dec 11 2017,Sepsi Sf. Gheorghe,2-1,?,Poli Iasi
Mon Dec 11 2017,Din. Bucuresti,2-0,?,FC Voluntari
Fri Dec 15 2017,Astra,2-1,?,FC Botosani
Sat Dec 16 2017,Concordia,1-1,?,Gaz Metan Medias
Sat Dec 16 2017,U Craiova,2-1,?,CFR Cluj
Sun Dec 17 2017,Poli Iasi,3-1,?,Daco-Getica Bucuresti
Sun Dec 17 2017,FCSB,2-0,?,Viitorul Constanta
Mon Dec 18 2017,FC Voluntari,3-0,?,Sepsi Sf. Gheorghe
Mon Dec 18 2017,Poli Timisoara,0-0,?,Din. Bucuresti
Fri Feb 2 2018,Sepsi Sf. Gheorghe,1-0,?,Poli Timisoara
Fri Feb 2 2018,Viitorul Constanta,1-1,?,Astra
Sat Feb 3 2018,FC Voluntari,0-4,?,Poli Iasi
Sat Feb 3 2018,Gaz Metan Medias,1-2,?,FCSB
Sun Feb 4 2018,FC Botosani,0-0,?,Daco-Getica Bucuresti
Sun Feb 4 2018,Din. Bucuresti,2-2,?,U Craiova
Mon Feb 5 2018,CFR Cluj,2-0,?,Concordia
Fri Feb 9 2018,Poli Timisoara,2-3,?,FC Voluntari
Fri Feb 9 2018,Astra,4-3,?,Gaz Metan Medias
Sat Feb 10 2018,Daco-Getica Bucuresti,0-1,?,Viitorul Constanta
Sat Feb 10 2018,FCSB,1-1,?,CFR Cluj
Sun Feb 11 2018,U Craiova,1-0,?,Sepsi Sf. Gheorghe
Mon Feb 12 2018,Poli Iasi,1-0,?,FC Botosani
Mon Feb 12 2018,Concordia,3-4,?,Din. Bucuresti
Fri Feb 16 2018,Gaz Metan Medias,0-0,?,Daco-Getica Bucuresti
