Date,Team 1,FT,HT,Team 2
Sat Aug 5 2017,Albion Rvs,1-5,0-3,Ayr
Sat Aug 5 2017,Alloa,1-1,1-0,Raith Rvs
Sat Aug 5 2017,Arbroath,2-0,1-0,Queens Park
Sat Aug 5 2017,Forfar,2-1,1-0,Airdrie Utd
Sat Aug 5 2017,Stranraer,1-0,0-0,East Fife
Sat Aug 12 2017,Airdrie Utd,1-1,0-1,Arbroath
Sat Aug 12 2017,Ayr,3-0,2-0,Forfar
Sat Aug 12 2017,East Fife,1-0,0-0,Alloa
Sat Aug 12 2017,Queens Park,2-5,1-2,Albion Rvs
Sat Aug 12 2017,Raith Rvs,3-0,1-0,Stranraer
Sat Aug 19 2017,Albion Rvs,1-2,1-2,Airdrie Utd
Sat Aug 19 2017,Alloa,1-0,0-0,Queens Park
Sat Aug 19 2017,Arbroath,2-3,1-3,East Fife
Sat Aug 19 2017,Raith Rvs,3-1,1-1,Forfar
Sat Aug 19 2017,Stranraer,3-4,1-1,Ayr
Sat Aug 26 2017,Airdrie Utd,2-0,1-0,Alloa
Sat Aug 26 2017,Ayr,1-2,1-1,Arbroath
Sat Aug 26 2017,East Fife,0-5,0-3,Raith Rvs
Sat Aug 26 2017,Forfar,0-2,0-1,Albion Rvs
Sat Aug 26 2017,Queens Park,2-2,1-2,Stranraer
Sat Sep 9 2017,Alloa,2-1,0-0,Forfar
Sat Sep 9 2017,Arbroath,1-4,0-2,Albion Rvs
Sat Sep 9 2017,East Fife,0-1,0-0,Queens Park
Sat Sep 9 2017,Raith Rvs,2-1,0-1,Ayr
Sat Sep 9 2017,Stranraer,3-1,1-0,Airdrie Utd
Sat Sep 16 2017,Airdrie Utd,0-1,0-1,East Fife
Sat Sep 16 2017,Albion Rvs,0-4,0-3,Stranraer
Sat Sep 16 2017,Ayr,3-3,1-1,Alloa
Sat Sep 16 2017,Forfar,0-5,0-1,Arbroath
Sat Sep 16 2017,Queens Park,0-5,0-2,Raith Rvs
Sat Sep 23 2017,Alloa,2-5,0-2,Albion Rvs
Sat Sep 23 2017,East Fife,3-0,2-0,Forfar
Sat Sep 23 2017,Queens Park,0-2,0-1,Ayr
Sat Sep 23 2017,Raith Rvs,2-0,0-0,Airdrie Utd
Sat Sep 23 2017,Stranraer,2-6,1-4,Arbroath
Sat Sep 30 2017,Airdrie Utd,4-2,1-1,Queens Park
Sat Sep 30 2017,Albion Rvs,2-1,1-0,Raith Rvs
Sat Sep 30 2017,Arbroath,1-1,0-1,Alloa
Sat Sep 30 2017,Ayr,3-0,1-0,East Fife
Sat Sep 30 2017,Forfar,1-1,1-0,Stranraer
Sat Oct 14 2017,Ayr,2-2,0-1,Airdrie Utd
Sat Oct 14 2017,East Fife,5-4,2-1,Albion Rvs
Sat Oct 14 2017,Queens Park,1-1,0-0,Forfar
Sat Oct 14 2017,Raith Rvs,2-0,2-0,Arbroath
Sat Oct 14 2017,Stranraer,2-0,0-0,Alloa
Sat Oct 21 2017,Albion Rvs,0-1,0-0,Queens Park
Sat Oct 21 2017,Alloa,4-1,2-1,East Fife
Sat Oct 21 2017,Arbroath,7-1,4-1,Airdrie Utd
Sat Oct 21 2017,Forfar,0-5,0-1,Ayr
Sat Oct 28 2017,Airdrie Utd,2-2,2-1,Albion Rvs
Sat Oct 28 2017,Ayr,2-0,0-0,Stranraer
Sat Oct 28 2017,East Fife,3-1,0-1,Arbroath
Sat Oct 28 2017,Forfar,1-1,0-0,Raith Rvs
Sat Oct 28 2017,Queens Park,0-4,0-1,Alloa
Sat Nov 4 2017,Albion Rvs,3-4,1-1,Forfar
Sat Nov 4 2017,Alloa,1-0,1-0,Airdrie Utd
