Date,Team 1,FT,HT,Team 2
Fri Jul 14 2017,Wisla Plock,0-2,?,Lechia Gdansk
Fri Jul 14 2017,Pogon Szczecin,1-2,?,Wisla
Sat Jul 15 2017,Cracovia,1-1,?,Piast Gliwice
Sat Jul 15 2017,Gornik Z.,3-1,?,Legia
Sun Jul 16 2017,Arka Gdynia,2-0,?,Slask Wroclaw
Sun Jul 16 2017,Termalica B-B.,0-1,?,Jagiellonia
Sun Jul 16 2017,Lech Poznan,0-0,?,Sandecja Nowy S.
Mon Jul 17 2017,Korona Kielce,0-1,?,Zaglebie
Fri Jul 21 2017,Sandecja Nowy S.,0-0,?,Arka Gdynia
Fri Jul 21 2017,Wisla,1-0,?,Termalica B-B.
Sat Jul 22 2017,Piast Gliwice,1-2,?,Pogon Szczecin
Sat Jul 22 2017,Lechia Gdansk,0-1,?,Cracovia
Sat Jul 22 2017,Legia,1-1,?,Korona Kielce
Sun Jul 23 2017,Wisla Plock,1-0,?,Lech Poznan
Sun Jul 23 2017,Jagiellonia,2-1,?,Gornik Z.
Mon Jul 24 2017,Zaglebie,1-0,?,Slask Wroclaw
Fri Jul 28 2017,Termalica B-B.,1-1,?,Zaglebie
Fri Jul 28 2017,Slask Wroclaw,3-2,?,Lechia Gdansk
Sat Jul 29 2017,Legia,2-0,?,Sandecja Nowy S.
Sat Jul 29 2017,Gornik Z.,3-2,?,Wisla
Sun Jul 30 2017,Arka Gdynia,1-1,?,Wisla Plock
Sun Jul 30 2017,Pogon Szczecin,0-1,?,Jagiellonia
Sun Jul 30 2017,Lech Poznan,5-1,?,Piast Gliwice
Mon Jul 31 2017,Korona Kielce,4-2,?,Cracovia
Fri Aug 4 2017,Piast Gliwice,1-1,?,Slask Wroclaw
Fri Aug 4 2017,Wisla Plock,0-1,?,Wisla
Sat Aug 5 2017,Lechia Gdansk,1-1,?,Gornik Z.
Sat Aug 5 2017,Zaglebie,3-0,?,Pogon Szczecin
Sat Aug 5 2017,Termalica B-B.,1-0,?,Legia
Sun Aug 6 2017,Jagiellonia,1-3,?,Sandecja Nowy S.
Sun Aug 6 2017,Cracovia,0-2,?,Lech Poznan
Mon Aug 7 2017,Arka Gdynia,0-0,?,Korona Kielce
Fri Aug 11 2017,Legia,3-1,?,Piast Gliwice
Sat Aug 12 2017,Sandecja Nowy S.,0-1,?,Wisla Plock
Sat Aug 12 2017,Lech Poznan,1-1,?,Zaglebie
