Date,Team 1,FT,HT,Team 2
Fri Aug 25 2017,Tigre,0-3,?,Velez Sarsfield
Fri Aug 25 2017,Banfield,2-1,?,Belgrano
Sat Aug 26 2017,Defensa y Justicia,4-4,?,Gimnasia L.P.
Sat Aug 26 2017,Colon Santa FE,1-1,?,Rosario Central
Sat Aug 26 2017,Talleres Cordoba,5-2,?,Lanus
Sat Aug 26 2017,Independiente,3-1,?,Huracan
Sun Aug 27 2017,San Martin S.J.,2-0,?,Patronato
Sun Aug 27 2017,Atl. Tucuman,2-1,?,Godoy Cruz
Sun Aug 27 2017,San Lorenzo,1-1,?,Racing Club
Sun Aug 27 2017,Boca Juniors,3-0,?,Olimpo Bahia Blanca
Sun Aug 27 2017,Temperley,0-1,?,River Plate
Mon Aug 28 2017,Newells Old Boys,1-1,?,Union de Santa Fe
Mon Aug 28 2017,Estudiantes L.P.,2-1,?,Arsenal Sarandi
Fri Sep 8 2017,Arsenal Sarandi,0-1,?,Colon Santa FE
Fri Sep 8 2017,Velez Sarsfield,2-0,?,Atl. Tucuman
Fri Sep 8 2017,Olimpo Bahia Blanca,1-1,?,Independiente
Sat Sep 9 2017,Belgrano,1-0,?,San Martin S.J.
Sat Sep 9 2017,Estudiantes L.P.,0-1,?,Defensa y Justicia
Sat Sep 9 2017,Patronato,2-1,?,Argentinos Jrs
Sat Sep 9 2017,Racing Club,4-1,?,Temperley
Sun Sep 10 2017,Chacarita Juniors,1-1,?,Tigre
Sun Sep 10 2017,Godoy Cruz,2-1,?,Talleres Cordoba
Sun Sep 10 2017,Rosario Central,0-0,?,San Lorenzo
Sun Sep 10 2017,River Plate,3-1,?,Banfield
Sun Sep 10 2017,Lanus,0-1,?,Boca Juniors
Mon Sep 11 2017,Union de Santa Fe,1-0,?,Gimnasia L.P.
Mon Sep 11 2017,Huracan,1-0,?,Newells Old Boys
Fri Sep 15 2017,Tigre,1-3,?,Patronato
Fri Sep 15 2017,Colon Santa FE,0-0,?,Estudiantes L.P.
Sat Sep 16 2017,Argentinos Jrs,1-2,?,Belgrano
Sat Sep 16 2017,Defensa y Justicia,1-3,?,Union de Santa Fe
Sat Sep 16 2017,Newells Old Boys,2-0,?,Olimpo Bahia Blanca
Sat Sep 16 2017,San Lorenzo,1-0,?,Arsenal Sarandi
Sat Sep 16 2017,Independiente,0-1,?,Lanus
Sun Sep 17 2017,Talleres Cordoba,0-0,?,Velez Sarsfield
Sun Sep 17 2017,Atl. Tucuman,1-1,?,Chacarita Juniors
Sun Sep 17 2017,Banfield,1-0,?,Racing Club
Sun Sep 17 2017,Boca Juniors,4-1,?,Godoy Cruz
Sun Sep 17 2017,San Martin S.J.,1-3,?,River Plate
Mon Sep 18 2017,Gimnasia L.P.,1-3,?,Huracan
Mon Sep 18 2017,Temperley,1-1,?,Rosario Central
Fri Sep 22 2017,Belgrano,0-0,?,Tigre
Fri Sep 22 2017,Patronato,2-1,?,Atl. Tucuman
Sat Sep 23 2017,Arsenal Sarandi,0-1,?,Temperley
Sat Sep 23 2017,Huracan,0-0,?,Union de Santa Fe
Sat Sep 23 2017,Chacarita Juniors,0-1,?,Talleres Cordoba
Sat Sep 23 2017,Velez Sarsfield,0-4,?,Boca Juniors
Sat Sep 23 2017,Godoy Cruz,1-0,?,Independiente
Sun Sep 24 2017,Colon Santa FE,3-1,?,Defensa y Justicia
Sun Sep 24 2017,Olimpo Bahia Blanca,0-1,?,Gimnasia L.P.
Sun Sep 24 2017,Rosario Central,0-4,?,Banfield
Sun Sep 24 2017,River Plate,1-1,?,Argentinos Jrs
Sun Sep 24 2017,Racing Club,0-0,?,San Martin S.J.
Mon Sep 25 2017,Lanus,1-0,?,Newells Old Boys
Mon Sep 25 2017,Estudiantes L.P.,1-3,?,San Lorenzo
Fri Sep 29 2017,Defensa y Justicia,0-0,?,Huracan
Fri Sep 29 2017,Union de Santa Fe,2-0,?,Olimpo Bahia Blanca
Fri Sep 29 2017,Atl. Tucuman,0-0,?,Belgrano
Sat Sep 30 2017,San Lorenzo,0-0,?,Colon Santa FE
Sat Sep 30 2017,Temperley,0-3,?,Estudiantes L.P.
Sat Sep 30 2017,Gimnasia L.P.,1-3,?,Lanus
Sat Sep 30 2017,Argentinos Jrs,2-0,?,Racing Club
Sun Oct 1 2017,Talleres Cordoba,1-0,?,Patronato
Sun Oct 1 2017,San Martin S.J.,3-1,?,Rosario Central
Sun Oct 1 2017,Independiente,1-0,?,Velez Sarsfield
Sun Oct 1 2017,Boca Juniors,1-0,?,Chacarita Juniors
Sun Oct 1 2017,Tigre,1-1,?,River Plate
Mon Oct 2 2017,Banfield,1-2,?,Arsenal Sarandi
Mon Oct 2 2017,Newells Old Boys,0-0,?,Godoy Cruz
Sun Oct 8 2017,Argentinos Jrs,1-0,?,Chacarita Juniors
Fri Oct 13 2017,Lanus,2-1,?,Union de Santa Fe
Fri Oct 13 2017,San Lorenzo,3-1,?,Defensa y Justicia
Sat Oct 14 2017,Colon Santa FE,2-0,?,Temperley
Sat Oct 14 2017,Rosario Central,1-3,?,Argentinos Jrs
Sat Oct 14 2017,Estudiantes L.P.,1-1,?,Banfield
Sat Oct 14 2017,Velez Sarsfield,1-0,?,Newells Old Boys
Sat Oct 14 2017,Racing Club,1-0,?,Tigre
Sun Oct 15 2017,Chacarita Juniors,1-2,?,Independiente
Sun Oct 15 2017,Godoy Cruz,3-0,?,Gimnasia L.P.
Sun Oct 15 2017,Belgrano,0-0,?,Talleres Cordoba
Sun Oct 15 2017,River Plate,2-2,?,Atl. Tucuman
Sun Oct 15 2017,Patronato,0-2,?,Boca Juniors
Mon Oct 16 2017,Olimpo Bahia Blanca,0-2,?,Huracan
Mon Oct 16 2017,Arsenal Sarandi,0-1,?,San Martin S.J.
Fri Oct 27 2017,Banfield,1-1,?,Colon Santa FE
Fri Oct 27 2017,Argentinos Jrs,3-2,?,Arsenal Sarandi
Sat Oct 28 2017,Huracan,4-0,?,Lanus
Sat Oct 28 2017,Union de Santa Fe,2-0,?,Godoy Cruz
Sat Oct 28 2017,San Martin S.J.,1-0,?,Estudiantes L.P.
Sat Oct 28 2017,Atl. Tucuman,3-1,?,Racing Club
Sat Oct 28 2017,Talleres Cordoba,4-0,?,River Plate
Sun Oct 29 2017,Newells Old Boys,2-1,?,Chacarita Juniors
Sun Oct 29 2017,Gimnasia L.P.,4-0,?,Velez Sarsfield
Sun Oct 29 2017,Temperley,0-2,?,San Lorenzo
Sun Oct 29 2017,Boca Juniors,4-0,?,Belgrano
Sun Oct 29 2017,Independiente,1-1,?,Patronato
Mon Oct 30 2017,Defensa y Justicia,1-1,?,Olimpo Bahia Blanca
Mon Oct 30 2017,Tigre,1-1,?,Rosario Central
Fri Nov 3 2017,Chacarita Juniors,2-0,?,Gimnasia L.P.
Fri Nov 3 2017,Godoy Cruz,2-1,?,Huracan
Sat Nov 4 2017,Colon Santa FE,3-3,?,San Martin S.J.
Sat Nov 4 2017,Lanus,0-2,?,Olimpo Bahia Blanca
Sat Nov 4 2017,San Lorenzo,0-1,?,Banfield
Sat Nov 4 2017,Rosario Central,0-1,?,Atl. Tucuman
Sat Nov 4 2017,Racing Club,1-1,?,Talleres Cordoba
Sun Nov 5 2017,Temperley,1-4,?,Defensa y Justicia
Sun Nov 5 2017,Belgrano,0-0,?,Independiente
Sun Nov 5 2017,Estudiantes L.P.,1-0,?,Argentinos Jrs
Sun Nov 5 2017,River Plate,1-2,?,Boca Juniors
Mon Nov 6 2017,Arsenal Sarandi,0-0,?,Tigre
Mon Nov 6 2017,Patronato,0-0,?,Newells Old Boys
Mon Nov 6 2017,Velez Sarsfield,0-2,?,Union de Santa Fe
Fri Nov 17 2017,Argentinos Jrs,0-1,?,Colon Santa FE
Fri Nov 17 2017,Atl. Tucuman,0-0,?,Arsenal Sarandi
Fri Nov 17 2017,Newells Old Boys,0-1,?,Belgrano
Sat Nov 18 2017,Banfield,0-0,?,Temperley
Sat Nov 18 2017,Defensa y Justicia,3-0,?,Lanus
Sat Nov 18 2017,San Martin S.J.,1-3,?,San Lorenzo
Sat Nov 18 2017,Independiente,1-0,?,River Plate
Sun Nov 19 2017,Tigre,2-0,?,Estudiantes L.P.
Sun Nov 19 2017,Union de Santa Fe,0-0,?,Chacarita Juniors
Sun Nov 19 2017,Boca Juniors,1-2,?,Racing Club
Sun Nov 19 2017,Talleres Cordoba,0-1,?,Rosario Central
Mon Nov 20 2017,Gimnasia L.P.,2-0,?,Patronato
Mon Nov 20 2017,Olimpo Bahia Blanca,1-1,?,Godoy Cruz
Mon Nov 20 2017,Huracan,1-0,?,Velez Sarsfield
Wed Nov 22 2017,River Plate,2-0,?,Union de Santa Fe
Thu Nov 23 2017,Velez Sarsfield,0-1,?,Godoy Cruz
Fri Nov 24 2017,Banfield,0-1,?,Defensa y Justicia
Fri Nov 24 2017,Chacarita Juniors,0-2,?,Huracan
Fri Nov 24 2017,Colon Santa FE,3-1,?,Tigre
Sat Nov 25 2017,Belgrano,2-0,?,Gimnasia L.P.
Sat Nov 25 2017,Patronato,2-3,?,Union de Santa Fe
Sat Nov 25 2017,San Lorenzo,1-0,?,Argentinos Jrs
Sat Nov 25 2017,Racing Club,0-1,?,Independiente
Sun Nov 26 2017,Estudiantes L.P.,1-0,?,Atl. Tucuman
Sun Nov 26 2017,River Plate,1-3,?,Newells Old Boys
Sun Nov 26 2017,Rosario Central,1-0,?,Boca Juniors
Mon Nov 27 2017,Arsenal Sarandi,0-1,?,Talleres Cordoba
Mon Nov 27 2017,Velez Sarsfield,3-0,?,Olimpo Bahia Blanca
Mon Nov 27 2017,Temperley,1-0,?,San Martin S.J.
Thu Nov 30 2017,San Lorenzo,2-0,?,Atl. Tucuman
Fri Dec 1 2017,Union de Santa Fe,1-1,?,Belgrano
Fri Dec 1 2017,Defensa y Justicia,3-2,?,Godoy Cruz
Fri Dec 1 2017,Huracan,1-1,?,Patronato
Sat Dec 2 2017,Argentinos Jrs,2-2,?,Temperley
Sat Dec 2 2017,Olimpo Bahia Blanca,2-0,?,Chacarita Juniors
Sat Dec 2 2017,Newells Old Boys,2-2,?,Racing Club
Sun Dec 3 2017,Talleres Cordoba,0-1,?,Estudiantes L.P.
Sun Dec 3 2017,Tigre,1-2,?,San Lorenzo
Sun Dec 3 2017,Boca Juniors,2-0,?,Arsenal Sarandi
Sun Dec 3 2017,Gimnasia L.P.,2-1,?,River Plate
Mon Dec 4 2017,Lanus,0-0,?,Velez Sarsfield
Mon Dec 4 2017,Atl. Tucuman,2-0,?,Colon Santa FE
Mon Dec 4 2017,San Martin S.J.,2-1,?,Banfield
Fri Dec 8 2017,Temperley,2-1,?,Tigre
Fri Dec 8 2017,Patronato,1-0,?,Olimpo Bahia Blanca
Fri Dec 8 2017,Belgrano,1-0,?,Huracan
Sat Dec 9 2017,Banfield,2-3,?,Argentinos Jrs
Sat Dec 9 2017,Arsenal Sarandi,1-2,?,Independiente
Sun Dec 10 2017,Rosario Central,1-0,?,Newells Old Boys
Sun Dec 10 2017,Colon Santa FE,0-2,?,Talleres Cordoba
Sun Dec 10 2017,Racing Club,3-1,?,Gimnasia L.P.
Sun Dec 10 2017,Estudiantes L.P.,0-1,?,Boca Juniors
Mon Dec 11 2017,San Martin S.J.,1-0,?,Defensa y Justicia
Mon Dec 11 2017,Chacarita Juniors,3-0,?,Lanus
Wed Jan 24 2018,Independiente,1-1,?,Rosario Central
Fri Jan 26 2018,Godoy Cruz,1-0,?,Chacarita Juniors
Fri Jan 26 2018,Tigre,1-2,?,Banfield
Fri Jan 26 2018,Talleres Cordoba,2-0,?,San Lorenzo
Sat Jan 27 2018,Defensa y Justicia,0-1,?,Velez Sarsfield
Sat Jan 27 2018,Newells Old Boys,2-1,?,Arsenal Sarandi
