Date,Team 1,FT,HT,Team 2
Sat Jul 22 2017,Lausanne,3-3,?,St. Gallen
Sat Jul 22 2017,Young Boys,2-0,?,Basel
Sun Jul 23 2017,Grasshoppers,0-2,?,Zurich
Sun Jul 23 2017,Luzern,1-0,?,Lugano
Sun Jul 23 2017,Thun,0-1,?,Sion
Sat Jul 29 2017,Grasshoppers,0-4,?,Young Boys
Sun Jul 30 2017,Basel,3-1,?,Luzern
Sun Jul 30 2017,Lausanne,0-1,?,Sion
Sun Jul 30 2017,Zurich,2-1,?,Thun
Sat Aug 5 2017,Lugano,0-0,?,Zurich
Sat Aug 5 2017,Thun,0-3,?,Basel
Sun Aug 6 2017,Luzern,2-2,?,Grasshoppers
Sun Aug 6 2017,St. Gallen,2-0,?,Sion
Sun Aug 6 2017,Young Boys,3-0,?,Lausanne
Wed Aug 9 2017,Lausanne,2-3,?,Lugano
Wed Aug 9 2017,St. Gallen,0-2,?,Luzern
Wed Aug 9 2017,Young Boys,0-4,?,Thun
Thu Aug 10 2017,Basel,3-2,?,Grasshoppers
Thu Aug 10 2017,Zurich,2-0,?,Sion
Wed Aug 16 2017,Lugano,0-1,?,St. Gallen
Sat Aug 19 2017,Thun,5-2,?,Lausanne
Sat Aug 19 2017,Zurich,0-0,?,Young Boys
Sun Aug 20 2017,Basel,1-1,?,Lugano
Sun Aug 20 2017,Grasshoppers,2-0,?,St. Gallen
Sun Aug 20 2017,Sion,1-1,?,Luzern
Sat Aug 26 2017,Lausanne,1-1,?,Grasshoppers
Sat Aug 26 2017,Lugano,4-1,?,Thun
Sun Aug 27 2017,Luzern,1-1,?,Zurich
Sun Aug 27 2017,Sion,1-1,?,Basel
Sun Aug 27 2017,St. Gallen,2-2,?,Young Boys
Sat Sep 9 2017,Basel,1-2,?,Lausanne
Sat Sep 9 2017,Zurich,1-1,?,St. Gallen
Sun Sep 10 2017,Grasshoppers,3-2,?,Sion
Sun Sep 10 2017,Luzern,2-2,?,Thun
Sun Sep 10 2017,Young Boys,3-0,?,Lugano
Wed Sep 20 2017,Lausanne,1-1,?,Zurich
Wed Sep 20 2017,St. Gallen,2-1,?,Basel
Wed Sep 20 2017,Young Boys,4-1,?,Luzern
Thu Sep 21 2017,Lugano,1-2,?,Sion
Thu Sep 21 2017,Thun,2-2,?,Grasshoppers
Sat Sep 23 2017,Basel,1-0,?,Zurich
Sat Sep 23 2017,Luzern,2-3,?,Lausanne
Sun Sep 24 2017,Lugano,0-3,?,Grasshoppers
Sun Sep 24 2017,Sion,0-1,?,Young Boys
Sun Sep 24 2017,St. Gallen,3-0,?,Thun
Wed Sep 27 2017,Sion,1-1,?,Lausanne
Sat Sep 30 2017,Grasshoppers,0-0,?,Basel
