Date,Team 1,FT,HT,Team 2
Fri Aug 4 2017,Monaco,3-2,1-1,Toulouse
Sat Aug 5 2017,Lyon,4-0,1-0,Strasbourg
Sat Aug 5 2017,Metz,1-3,1-1,Guingamp
Sat Aug 5 2017,Montpellier,1-0,0-0,Caen
Sat Aug 5 2017,Paris SG,2-0,1-0,Amiens
Sat Aug 5 2017,St Etienne,1-0,1-0,Nice
Sat Aug 5 2017,Troyes,1-1,0-0,Rennes
Sun Aug 6 2017,Angers,2-2,1-1,Bordeaux
Sun Aug 6 2017,Lille,3-0,0-0,Nantes
Sun Aug 6 2017,Marseille,3-0,0-0,Dijon
Fri Aug 11 2017,Nice,1-2,0-0,Troyes
Fri Aug 11 2017,Rennes,1-2,0-0,Lyon
Sat Aug 12 2017,Amiens,0-2,0-1,Angers
Sat Aug 12 2017,Bordeaux,2-0,1-0,Metz
Sat Aug 12 2017,Caen,0-1,0-0,St Etienne
Sat Aug 12 2017,Nantes,0-1,0-0,Marseille
Sat Aug 12 2017,Toulouse,1-0,1-0,Montpellier
Sun Aug 13 2017,Dijon,1-4,1-3,Monaco
Sun Aug 13 2017,Guingamp,0-3,0-0,Paris SG
Sun Aug 13 2017,Strasbourg,3-0,0-0,Lille
Fri Aug 18 2017,Metz,0-1,0-0,Monaco
Sat Aug 19 2017,Lyon,3-3,2-1,Bordeaux
Sat Aug 19 2017,Montpellier,1-1,0-1,Strasbourg
Sat Aug 19 2017,Nice,2-0,1-0,Guingamp
Sat Aug 19 2017,Rennes,2-2,1-0,Dijon
Sat Aug 19 2017,St Etienne,3-0,2-0,Amiens
Sat Aug 19 2017,Troyes,0-1,0-0,Nantes
Sun Aug 20 2017,Lille,0-2,0-1,Caen
Sun Aug 20 2017,Marseille,1-1,1-0,Angers
Sun Aug 20 2017,Paris SG,6-2,2-1,Toulouse
Fri Aug 25 2017,Paris SG,3-0,1-0,St Etienne
Sat Aug 26 2017,Amiens,3-0,2-0,Nice
Sat Aug 26 2017,Bordeaux,2-1,1-0,Troyes
Sat Aug 26 2017,Caen,1-0,0-0,Metz
Sat Aug 26 2017,Dijon,2-1,1-0,Montpellier
Sat Aug 26 2017,Nantes,0-0,0-0,Lyon
Sat Aug 26 2017,Toulouse,3-2,1-1,Rennes
Sun Aug 27 2017,Angers,1-1,0-0,Lille
Sun Aug 27 2017,Guingamp,2-0,0-0,Strasbourg
Sun Aug 27 2017,Monaco,6-1,4-0,Marseille
Fri Sep 8 2017,Lille,0-0,0-0,Bordeaux
Fri Sep 8 2017,Metz,1-5,1-1,Paris SG
Sat Sep 9 2017,Caen,2-1,1-1,Dijon
Sat Sep 9 2017,Montpellier,0-1,0-0,Nantes
Sat Sep 9 2017,Nice,4-0,2-0,Monaco
Sat Sep 9 2017,Strasbourg,0-1,0-1,Amiens
Sat Sep 9 2017,Troyes,0-0,0-0,Toulouse
Sun Sep 10 2017,Lyon,2-1,1-0,Guingamp
Sun Sep 10 2017,Marseille,1-3,0-2,Rennes
Sun Sep 10 2017,St Etienne,1-1,1-1,Angers
Fri Sep 15 2017,Toulouse,0-1,0-0,Bordeaux
Sat Sep 16 2017,Dijon,0-1,0-0,St Etienne
Sat Sep 16 2017,Guingamp,1-0,0-0,Lille
Sat Sep 16 2017,Monaco,3-0,1-0,Strasbourg
Sat Sep 16 2017,Nantes,1-0,0-0,Caen
Sat Sep 16 2017,Troyes,0-1,0-1,Montpellier
Sun Sep 17 2017,Amiens,0-2,0-0,Marseille
Sun Sep 17 2017,Angers,0-1,0-0,Metz
Sun Sep 17 2017,Paris SG,2-0,0-0,Lyon
Sun Sep 17 2017,Rennes,0-1,0-0,Nice
Fri Sep 22 2017,Lille,0-4,0-2,Monaco
Fri Sep 22 2017,Nice,2-2,1-2,Angers
