Date,Team 1,FT,HT,Team 2
Fri Jul 21 2017,Monarcas,0-0,?,Monterrey
Fri Jul 21 2017,Club Tijuana,0-2,?,Cruz Azul
Sat Jul 22 2017,Club America,0-1,?,Queretaro
Sat Jul 22 2017,Lobos BUAP,2-2,?,Santos Laguna
Sat Jul 22 2017,U.A.N.L.- Tigres,5-0,?,Puebla
Sat Jul 22 2017,Club Leon,0-3,?,Atlas
Sat Jul 22 2017,Guadalajara Chivas,0-0,?,Toluca
Sun Jul 23 2017,U.N.A.M.- Pumas,1-0,?,Pachuca
Sun Jul 23 2017,Veracruz,0-2,?,Necaxa
Fri Jul 28 2017,Puebla,1-1,?,Monarcas
Fri Jul 28 2017,Atlas,2-1,?,U.N.A.M.- Pumas
Sat Jul 29 2017,Cruz Azul,1-1,?,Guadalajara Chivas
Sat Jul 29 2017,Queretaro,0-4,?,Lobos BUAP
Sat Jul 29 2017,Monterrey,1-0,?,Veracruz
Sat Jul 29 2017,Pachuca,0-2,?,Club America
Sat Jul 29 2017,Necaxa,1-0,?,Club Tijuana
Sun Jul 30 2017,Toluca,3-1,?,Club Leon
Sun Jul 30 2017,Santos Laguna,1-1,?,U.A.N.L.- Tigres
Fri Aug 4 2017,Monarcas,1-1,?,Santos Laguna
Fri Aug 4 2017,Club Tijuana,0-3,?,Monterrey
Sat Aug 5 2017,Lobos BUAP,3-2,?,Pachuca
Sat Aug 5 2017,U.A.N.L.- Tigres,1-1,?,Queretaro
Sat Aug 5 2017,Club Leon,2-2,?,Cruz Azul
Sat Aug 5 2017,Club America,2-1,?,U.N.A.M.- Pumas
Sat Aug 5 2017,Guadalajara Chivas,2-2,?,Necaxa
Sun Aug 6 2017,Toluca,3-2,?,Atlas
Sun Aug 6 2017,Veracruz,2-0,?,Puebla
Fri Aug 11 2017,Puebla,1-1,?,Club Tijuana
Fri Aug 11 2017,Atlas,0-1,?,Club America
Sat Aug 12 2017,Cruz Azul,0-0,?,Toluca
Sat Aug 12 2017,Queretaro,2-1,?,Monarcas
Sat Aug 12 2017,Monterrey,4-1,?,Guadalajara Chivas
Sat Aug 12 2017,Pachuca,2-1,?,U.A.N.L.- Tigres
Sat Aug 12 2017,Necaxa,0-3,?,Club Leon
Sun Aug 13 2017,U.N.A.M.- Pumas,2-0,?,Lobos BUAP
Sun Aug 13 2017,Santos Laguna,2-3,?,Veracruz
Fri Aug 18 2017,Monarcas,1-2,?,Pachuca
Fri Aug 18 2017,Club Tijuana,2-0,?,Santos Laguna
Sat Aug 19 2017,Cruz Azul,2-1,?,Atlas
Sat Aug 19 2017,Lobos BUAP,2-3,?,Club America
Sat Aug 19 2017,U.A.N.L.- Tigres,2-0,?,U.N.A.M.- Pumas
Sat Aug 19 2017,Veracruz,1-1,?,Queretaro
Sat Aug 19 2017,Club Leon,1-2,?,Monterrey
Sat Aug 19 2017,Guadalajara Chivas,0-1,?,Puebla
Sun Aug 20 2017,Toluca,0-0,?,Necaxa
Tue Aug 22 2017,Pachuca,4-1,?,Veracruz
Tue Aug 22 2017,Atlas,1-1,?,Lobos BUAP
Tue Aug 22 2017,Queretaro,1-3,?,Club Tijuana
Tue Aug 22 2017,U.N.A.M.- Pumas,1-2,?,Monarcas
Wed Aug 23 2017,Club America,2-2,?,U.A.N.L.- Tigres
Wed Aug 23 2017,Puebla,0-1,?,Club Leon
Wed Aug 23 2017,Santos Laguna,1-1,?,Guadalajara Chivas
Wed Aug 23 2017,Monterrey,4-1,?,Toluca
Wed Aug 23 2017,Necaxa,1-1,?,Cruz Azul
Fri Aug 25 2017,Club Tijuana,2-1,?,Pachuca
Sat Aug 26 2017,Cruz Azul,1-1,?,Monterrey
Sat Aug 26 2017,U.A.N.L.- Tigres,3-2,?,Lobos BUAP
Sat Aug 26 2017,Club Leon,1-2,?,Santos Laguna
Sat Aug 26 2017,Monarcas,2-0,?,Club America
Sat Aug 26 2017,Necaxa,2-1,?,Atlas
Sat Aug 26 2017,Guadalajara Chivas,0-0,?,Queretaro
Sun Aug 27 2017,Toluca,2-1,?,Puebla
Sun Aug 27 2017,Veracruz,1-0,?,U.N.A.M.- Pumas
Fri Sep 8 2017,Puebla,0-0,?,Cruz Azul
Sat Sep 9 2017,Lobos BUAP,1-3,?,Monarcas
Sat Sep 9 2017,Queretaro,1-2,?,Club Leon
Sat Sep 9 2017,Monterrey,1-0,?,Necaxa
Sat Sep 9 2017,Pachuca,1-3,?,Guadalajara Chivas
Sat Sep 9 2017,Club America,2-0,?,Veracruz
Sun Sep 10 2017,U.N.A.M.- Pumas,0-2,?,Club Tijuana
Sun Sep 10 2017,Santos Laguna,0-0,?,Toluca
