Date,Team 1,FT,HT,Team 2
Fri Mar 19 2021,Drogheda,1-0,?,Waterford
Fri Mar 19 2021,Shamrock Rovers,1-1,?,St. Patricks
Sat Mar 20 2021,Finn Harps,1-0,?,Bohemians
Sat Mar 20 2021,Longford,2-0,?,Derry City
Sat Mar 20 2021,Sligo Rovers,1-1,?,Dundalk
Fri Mar 26 2021,Dundalk,1-2,?,Finn Harps
Fri Mar 26 2021,Waterford,1-2,?,Sligo Rovers
Sat Mar 27 2021,Bohemians,2-2,?,Longford
Sat Mar 27 2021,St. Patricks,2-1,?,Drogheda
Fri Apr 2 2021,Longford,0-1,?,Sligo Rovers
Fri Apr 2 2021,Shamrock Rovers,2-1,?,Dundalk
Sat Apr 3 2021,Bohemians,0-1,?,St. Patricks
Sat Apr 3 2021,Derry City,1-2,?,Waterford
Sat Apr 3 2021,Drogheda,1-1,?,Finn Harps
Fri Apr 9 2021,St. Patricks,2-0,?,Derry City
Fri Apr 9 2021,Dundalk,0-1,?,Bohemians
Sat Apr 10 2021,Finn Harps,2-1,?,Waterford
Sat Apr 10 2021,Longford,0-4,?,Drogheda
Sat Apr 10 2021,Sligo Rovers,1-1,?,Shamrock Rovers
Tue Apr 13 2021,Derry City,0-2,?,Shamrock Rovers
Fri Apr 16 2021,Waterford,0-1,?,Bohemians
Fri Apr 16 2021,Derry City,1-1,?,Drogheda
Sat Apr 17 2021,Dundalk,1-1,?,St. Patricks
Sat Apr 17 2021,Shamrock Rovers,2-1,?,Longford
Sat Apr 17 2021,Sligo Rovers,1-0,?,Finn Harps
Tue Apr 20 2021,Bohemians,1-3,?,Sligo Rovers
Tue Apr 20 2021,Derry City,1-1,?,Dundalk
Tue Apr 20 2021,Drogheda,0-1,?,Shamrock Rovers
Tue Apr 20 2021,Longford,0-0,?,Finn Harps
Tue Apr 20 2021,St. Patricks,1-0,?,Waterford
Fri Apr 23 2021,Finn Harps,0-2,?,St. Patricks
Fri Apr 23 2021,Shamrock Rovers,2-1,?,Bohemians
Sat Apr 24 2021,Dundalk,2-1,?,Drogheda
Sat Apr 24 2021,Sligo Rovers,0-1,?,Derry City
Sat Apr 24 2021,Waterford,1-0,?,Longford
Fri Apr 30 2021,Drogheda,1-1,?,Sligo Rovers
Fri Apr 30 2021,St. Patricks,3-0,?,Longford
Fri Apr 30 2021,Bohemians,1-2,?,Derry City
Fri Apr 30 2021,Finn Harps,0-2,?,Shamrock Rovers
Fri Apr 30 2021,Waterford,0-3,?,Dundalk
Mon May 3 2021,Drogheda,1-1,?,Bohemians
Mon May 3 2021,Shamrock Rovers,3-0,?,Waterford
Mon May 3 2021,Longford,2-2,?,Dundalk
Mon May 3 2021,Sligo Rovers,1-1,?,St. Patricks
Mon May 3 2021,Derry City,1-2,?,Finn Harps
Fri May 7 2021,Derry City,1-1,?,Longford
Fri May 7 2021,Dundalk,0-1,?,Sligo Rovers
Sat May 8 2021,Bohemians,4-0,?,Finn Harps
Sat May 8 2021,St. Patricks,1-2,?,Shamrock Rovers
Sat May 8 2021,Waterford,0-7,?,Drogheda
Fri May 14 2021,Finn Harps,1-1,?,Dundalk
Fri May 14 2021,Drogheda,3-1,?,St. Patricks
Sat May 15 2021,Longford,0-2,?,Bohemians
Sat May 15 2021,Shamrock Rovers,1-1,?,Derry City
Sat May 15 2021,Sligo Rovers,3-0,?,Waterford
Fri May 21 2021,St. Patricks,2-1,?,Bohemians
Fri May 21 2021,Waterford,0-1,?,Derry City
Fri May 21 2021,Dundalk,2-1,?,Shamrock Rovers
Fri May 21 2021,Finn Harps,0-1,?,Drogheda
Fri May 21 2021,Sligo Rovers,2-0,?,Longford
Mon May 24 2021,Bohemians,5-1,?,Dundalk
Mon May 24 2021,Derry City,2-2,?,St. Patricks
Mon May 24 2021,Drogheda,4-1,?,Longford
Mon May 24 2021,Shamrock Rovers,0-1,?,Sligo Rovers
Mon May 24 2021,Waterford,1-2,?,Finn Harps
Fri May 28 2021,Finn Harps,1-2,?,Sligo Rovers
Fri May 28 2021,Drogheda,1-2,?,Derry City
Fri May 28 2021,St. Patricks,0-2,?,Dundalk
Sat May 29 2021,Bohemians,3-0,?,Waterford
Sat May 29 2021,Longford,0-1,?,Shamrock Rovers
Fri Jun 11 2021,Derry City,1-1,?,Bohemians
Fri Jun 11 2021,Dundalk,1-3,?,Waterford
Fri Jun 11 2021,Shamrock Rovers,1-1,?,Finn Harps
Sat Jun 12 2021,Longford,1-3,?,St. Patricks
Sat Jun 12 2021,Sligo Rovers,1-2,?,Drogheda
Fri Jun 18 2021,Bohemians,5-0,?,Drogheda
Fri Jun 18 2021,Dundalk,1-1,?,Longford
Fri Jun 18 2021,St. Patricks,2-0,?,Sligo Rovers
Fri Jun 18 2021,Waterford,1-4,?,Shamrock Rovers
Fri Jun 18 2021,Finn Harps,1-2,?,Derry City
Mon Jun 21 2021,Bohemians,1-0,?,Shamrock Rovers
Mon Jun 21 2021,Derry City,1-1,?,Sligo Rovers
Mon Jun 21 2021,Drogheda,0-1,?,Dundalk
Mon Jun 21 2021,Longford,1-2,?,Waterford
Mon Jun 21 2021,St. Patricks,4-1,?,Finn Harps
Fri Jun 25 2021,Dundalk,2-1,?,Derry City
Fri Jun 25 2021,Waterford,1-1,?,St. Patricks
Fri Jun 25 2021,Finn Harps,1-1,?,Longford
Fri Jun 25 2021,Shamrock Rovers,1-1,?,Drogheda
Sat Jun 26 2021,Sligo Rovers,4-0,?,Bohemians
Fri Jul 2 2021,Bohemians,3-2,?,St. Patricks
Fri Jul 2 2021,Derry City,2-0,?,Waterford
Fri Jul 2 2021,Drogheda,3-1,?,Finn Harps
Fri Jul 2 2021,Shamrock Rovers,3-1,?,Dundalk
Sat Jul 3 2021,Longford,0-1,?,Sligo Rovers
Fri Jul 9 2021,Finn Harps,0-1,?,Waterford
Fri Jul 9 2021,St. Patricks,1-0,?,Derry City
Sat Jul 10 2021,Longford,1-1,?,Drogheda
Fri Jul 16 2021,Derry City,2-4,?,Shamrock Rovers
Fri Jul 16 2021,St. Patricks,2-0,?,Drogheda
Sat Jul 17 2021,Dundalk,1-0,?,Finn Harps
Sun Jul 18 2021,Bohemians,1-1,?,Longford
Sun Jul 18 2021,Waterford,1-0,?,Sligo Rovers
Fri Jul 30 2021,Drogheda,1-2,?,Waterford
Fri Jul 30 2021,Shamrock Rovers,3-1,?,St. Patricks
Sat Jul 31 2021,Longford,0-2,?,Derry City
Fri Aug 6 2021,Derry City,3-0,?,Drogheda
Sat Aug 7 2021,Waterford,1-0,?,Bohemians
Sat Aug 7 2021,Sligo Rovers,0-1,?,Finn Harps
Sun Aug 8 2021,Dundalk,1-4,?,St. Patricks
Sun Aug 8 2021,Shamrock Rovers,1-0,?,Longford
Fri Aug 13 2021,St. Patricks,2-1,?,Waterford
Sat Aug 14 2021,Longford,0-3,?,Finn Harps
Sun Aug 15 2021,Bohemians,1-0,?,Sligo Rovers
Sun Aug 15 2021,Derry City,1-0,?,Dundalk
Sun Aug 15 2021,Drogheda,0-1,?,Shamrock Rovers
Fri Aug 20 2021,Dundalk,1-2,?,Drogheda
Fri Aug 20 2021,Waterford,4-1,?,Longford
Fri Aug 20 2021,Finn Harps,3-1,?,St. Patricks
Sat Aug 21 2021,Sligo Rovers,1-2,?,Derry City
Fri Sep 3 2021,Drogheda,0-0,?,Sligo Rovers
Fri Sep 3 2021,St. Patricks,3-2,?,Longford
