Round,Date,Team 1,FT,HT,Team 2
?,(Fri) 11 Aug 1995 (W32),Istanbulspor (1),1-3,?,Eskişehirspor (1)
?,(Sat) 12 Aug 1995 (W32),Fenerbahçe İstanbul SK (1),4-0,?,Karsiyaka (1)
?,(Sat) 12 Aug 1995 (W32),Gençlerbirliği Ankara SK (1),1-1,?,Kocaelispor (1)
?,(Sun) 13 Aug 1995 (W32),Altay (1),1-2,?,Denizlispor (1)
?,(Sun) 13 Aug 1995 (W32),Antalyaspor (1),4-2,?,Bursaspor (1)
?,(Sun) 13 Aug 1995 (W32),Kayseri (1),1-1,?,Beşiktaş İstanbul JK (1)
?,(Sun) 13 Aug 1995 (W32),Samsunspor (1),1-0,?,Gaziantepspor (1)
?,(Sun) 13 Aug 1995 (W32),Trabzonspor AŞ (1),3-1,?,Ankaragucu (1)
?,(Sun) 13 Aug 1995 (W32),Vanspor (1),0-1,?,Galatasaray İstanbul AŞ (1)
?,(Fri) 18 Aug 1995 (W33),Ankaragucu (2),3-1,?,Istanbulspor (2)
?,(Sat) 19 Aug 1995 (W33),Eskişehirspor (2),1-2,?,Fenerbahçe İstanbul SK (2)
?,(Sat) 19 Aug 1995 (W33),Galatasaray İstanbul AŞ (2),3-1,?,Altay (2)
?,(Sun) 20 Aug 1995 (W33),Beşiktaş İstanbul JK (2),2-2,?,Gençlerbirliği Ankara SK (2)
?,(Sun) 20 Aug 1995 (W33),Bursaspor (2),2-4,?,Samsunspor (2)
?,(Sun) 20 Aug 1995 (W33),Gaziantepspor (2),0-0,?,Trabzonspor AŞ (2)
?,(Sun) 20 Aug 1995 (W33),Karsiyaka (2),2-1,?,Vanspor (2)
?,(Sun) 20 Aug 1995 (W33),Kayseri (2),0-0,?,Denizlispor (2)
?,(Sun) 20 Aug 1995 (W33),Kocaelispor (2),2-2,?,Antalyaspor (2)
?,(Fri) 25 Aug 1995 (W34),Samsunspor (3),0-0,?,Kocaelispor (3)
?,(Sat) 26 Aug 1995 (W34),Istanbulspor (3),2-0,?,Gaziantepspor (3)
?,(Sat) 26 Aug 1995 (W34),Trabzonspor AŞ (3),0-0,?,Bursaspor (3)
?,(Sun) 27 Aug 1995 (W34),Antalyaspor (3),0-3,?,Beşiktaş İstanbul JK (3)
?,(Sun) 27 Aug 1995 (W34),Fenerbahçe İstanbul SK (3),2-0,?,Ankaragucu (3)
?,(Sun) 27 Aug 1995 (W34),Gençlerbirliği Ankara SK (3),1-1,?,Denizlispor (3)
?,(Sun) 27 Aug 1995 (W34),Karsiyaka (3),3-2,?,Eskişehirspor (3)
?,(Sun) 27 Aug 1995 (W34),Kayseri (3),1-2,?,Galatasaray İstanbul AŞ (3)
?,(Sun) 27 Aug 1995 (W34),Vanspor (3),2-0,?,Altay (3)
?,(Fri) 8 Sep 1995 (W36),Ankaragucu (4),1-0,?,Karsiyaka (4)
?,(Sat) 9 Sep 1995 (W36),Bursaspor (4),2-1,?,Istanbulspor (4)
?,(Sat) 9 Sep 1995 (W36),Galatasaray İstanbul AŞ (4),0-1,?,Gençlerbirliği Ankara SK (4)
?,(Sat) 9 Sep 1995 (W36),Gaziantepspor (4),2-2,?,Fenerbahçe İstanbul SK (4)
?,(Sun) 10 Sep 1995 (W36),Altay (4),2-0,?,Kayseri (4)
?,(Sun) 10 Sep 1995 (W36),Antalyaspor (4),1-0,?,Denizlispor (4)
?,(Sun) 10 Sep 1995 (W36),Beşiktaş İstanbul JK (4),4-2,?,Samsunspor (4)
?,(Sun) 10 Sep 1995 (W36),Eskişehirspor (4),2-1,?,Vanspor (4)
?,(Sun) 10 Sep 1995 (W36),Kocaelispor (4),1-3,?,Trabzonspor AŞ (4)
?,(Fri) 15 Sep 1995 (W37),Istanbulspor (5),1-2,?,Kocaelispor (5)
?,(Sat) 16 Sep 1995 (W37),Fenerbahçe İstanbul SK (5),1-1,?,Bursaspor (5)
?,(Sat) 16 Sep 1995 (W37),Samsunspor (5),1-3,?,Denizlispor (5)
?,(Sun) 17 Sep 1995 (W37),Antalyaspor (5),0-2,?,Galatasaray İstanbul AŞ (5)
