Date,Team 1,FT,HT,Team 2
Fri Jul 27 2018,Ajaccio,0-1,0-1,Troyes
Fri Jul 27 2018,Ajaccio GFCO,1-1,0-1,Paris FC
Fri Jul 27 2018,Clermont,0-0,0-0,Chateauroux
Fri Jul 27 2018,Grenoble,1-0,0-0,Sochaux
Fri Jul 27 2018,Nancy,0-2,0-1,Beziers
Fri Jul 27 2018,Orleans,0-2,0-1,Lens
Fri Jul 27 2018,Red Star,1-2,0-0,Niort
Fri Jul 27 2018,Valenciennes,3-1,3-1,Auxerre
Sat Jul 28 2018,Lorient,0-0,0-0,Le Havre
Mon Jul 30 2018,Brest,0-1,0-1,Metz
Fri Aug 3 2018,Auxerre,2-3,1-2,Ajaccio GFCO
Fri Aug 3 2018,Le Havre,1-1,0-0,Grenoble
Fri Aug 3 2018,Metz,5-1,2-0,Orleans
Fri Aug 3 2018,Niort,4-2,1-1,Clermont
Fri Aug 3 2018,Paris FC,2-0,0-0,Nancy
Fri Aug 3 2018,Sochaux,0-1,0-1,Valenciennes
Fri Aug 3 2018,Troyes,1-2,1-2,Brest
Sat Aug 4 2018,Beziers,0-1,0-1,Ajaccio
Sat Aug 4 2018,Lens,1-0,1-0,Red Star
Mon Aug 6 2018,Chateauroux,1-2,0-0,Lorient
Fri Aug 10 2018,Ajaccio,2-3,0-1,Sochaux
Fri Aug 10 2018,Ajaccio GFCO,1-3,1-1,Lorient
Fri Aug 10 2018,Brest,1-1,0-1,Paris FC
Fri Aug 10 2018,Grenoble,1-0,1-0,Niort
Fri Aug 10 2018,Nancy,0-3,0-2,Lens
Fri Aug 10 2018,Orleans,0-3,0-2,Auxerre
Fri Aug 10 2018,Red Star,0-1,0-1,Le Havre
Fri Aug 10 2018,Troyes,0-1,0-1,Beziers
Fri Aug 10 2018,Valenciennes,1-1,1-0,Chateauroux
Sat Aug 11 2018,Clermont,2-3,1-0,Metz
Fri Aug 17 2018,Ajaccio GFCO,2-0,1-0,Grenoble
Fri Aug 17 2018,Auxerre,1-0,1-0,Nancy
Fri Aug 17 2018,Chateauroux,1-1,0-0,Red Star
Fri Aug 17 2018,Le Havre,0-0,0-0,Clermont
Fri Aug 17 2018,Lorient,3-1,2-1,Valenciennes
Fri Aug 17 2018,Niort,1-1,1-0,Orleans
Fri Aug 17 2018,Paris FC,1-0,0-0,Beziers
Fri Aug 17 2018,Sochaux,2-0,1-0,Brest
Sat Aug 18 2018,Lens,2-0,0-0,Troyes
Mon Aug 20 2018,Metz,3-1,1-0,Ajaccio
Fri Aug 24 2018,Ajaccio,0-0,0-0,Lorient
Fri Aug 24 2018,Brest,1-0,0-0,Le Havre
