Date,Team 1,FT,HT,Team 2
Fri Jul 20 2018,CFR Cluj,1-1,?,FC Botosani
Sat Jul 21 2018,FC Hermannstadt,1-0,?,Sepsi Sf. Gheorghe
Sat Jul 21 2018,Astra,1-0,?,FC Steaua Bucuresti
Sun Jul 22 2018,Viitorul Constanta,0-1,?,Calarasi
Sun Jul 22 2018,Din. Bucuresti,2-1,?,FC Voluntari
Mon Jul 23 2018,Gaz Metan Medias,2-1,?,Concordia
Mon Jul 23 2018,U Craiova,0-0,?,Poli Iasi
Fri Jul 27 2018,FC Botosani,2-0,?,FC Hermannstadt
Sat Jul 28 2018,Calarasi,0-0,?,CFR Cluj
Sat Jul 28 2018,Poli Iasi,1-1,?,Astra
Sun Jul 29 2018,Sepsi Sf. Gheorghe,1-0,?,U Craiova
Sun Jul 29 2018,FC Steaua Bucuresti,3-3,?,Din. Bucuresti
Mon Jul 30 2018,FC Voluntari,1-1,?,Gaz Metan Medias
Mon Jul 30 2018,Concordia,1-1,?,Viitorul Constanta
Fri Aug 3 2018,U Craiova,2-2,?,FC Botosani
Sat Aug 4 2018,Astra,1-1,?,Sepsi Sf. Gheorghe
Sat Aug 4 2018,CFR Cluj,2-1,?,Concordia
Sun Aug 5 2018,FC Hermannstadt,1-1,?,Calarasi
Sun Aug 5 2018,FC Steaua Bucuresti,4-0,?,Poli Iasi
Mon Aug 6 2018,Viitorul Constanta,2-0,?,FC Voluntari
Mon Aug 6 2018,Gaz Metan Medias,3-2,?,Din. Bucuresti
Fri Aug 10 2018,FC Botosani,1-1,?,Astra
Sat Aug 11 2018,Concordia,2-0,?,FC Hermannstadt
Sat Aug 11 2018,Sepsi Sf. Gheorghe,3-0,?,Poli Iasi
Sun Aug 12 2018,Calarasi,1-3,?,U Craiova
Sun Aug 12 2018,FC Voluntari,1-2,?,CFR Cluj
Sun Aug 12 2018,Gaz Metan Medias,1-3,?,FC Steaua Bucuresti
Mon Aug 13 2018,Din. Bucuresti,1-0,?,Viitorul Constanta
Fri Aug 17 2018,Poli Iasi,2-1,?,FC Botosani
Sat Aug 18 2018,Astra,1-1,?,Calarasi
Sat Aug 18 2018,Viitorul Constanta,2-0,?,Gaz Metan Medias
Sun Aug 19 2018,FC Steaua Bucuresti,2-0,?,Sepsi Sf. Gheorghe
Sun Aug 19 2018,CFR Cluj,3-1,?,Din. Bucuresti
Mon Aug 20 2018,FC Hermannstadt,4-0,?,FC Voluntari
Mon Aug 20 2018,U Craiova,0-1,?,Concordia
Fri Aug 24 2018,Concordia,0-3,?,Astra
Sat Aug 25 2018,Calarasi,2-0,?,Poli Iasi
Sat Aug 25 2018,Din. Bucuresti,2-1,?,FC Hermannstadt
Sun Aug 26 2018,Gaz Metan Medias,0-0,?,CFR Cluj
Sun Aug 26 2018,Viitorul Constanta,1-4,?,FC Steaua Bucuresti
Mon Aug 27 2018,FC Botosani,0-0,?,Sepsi Sf. Gheorghe
Mon Aug 27 2018,FC Voluntari,1-5,?,U Craiova
Fri Aug 31 2018,Sepsi Sf. Gheorghe,1-0,?,Calarasi
Sat Sep 1 2018,FC Hermannstadt,0-1,?,Gaz Metan Medias
Sat Sep 1 2018,Astra,0-0,?,FC Voluntari
Sat Sep 1 2018,U Craiova,3-0,?,Din. Bucuresti
Sun Sep 2 2018,CFR Cluj,1-2,?,Viitorul Constanta
Sun Sep 2 2018,FC Steaua Bucuresti,2-2,?,FC Botosani
Mon Sep 3 2018,Poli Iasi,3-0,?,Concordia
Fri Sep 14 2018,Concordia,0-3,?,Sepsi Sf. Gheorghe
Fri Sep 14 2018,Din. Bucuresti,1-2,?,Astra
Sat Sep 15 2018,Calarasi,3-2,?,FC Botosani
Sat Sep 15 2018,Gaz Metan Medias,3-2,?,U Craiova
Sun Sep 16 2018,FC Voluntari,2-3,?,Poli Iasi
Sun Sep 16 2018,CFR Cluj,1-1,?,FC Steaua Bucuresti
Mon Sep 17 2018,Viitorul Constanta,1-0,?,FC Hermannstadt
Fri Sep 21 2018,Sepsi Sf. Gheorghe,1-1,?,FC Voluntari
Fri Sep 21 2018,Poli Iasi,1-0,?,Din. Bucuresti
Sat Sep 22 2018,FC Hermannstadt,0-1,?,CFR Cluj
Sat Sep 22 2018,FC Botosani,0-2,?,Concordia
Sat Sep 22 2018,U Craiova,2-0,?,Viitorul Constanta
Sun Sep 23 2018,FC Steaua Bucuresti,2-0,?,Calarasi
Mon Sep 24 2018,Astra,3-0,?,Gaz Metan Medias
Fri Sep 28 2018,Din. Bucuresti,0-0,?,Sepsi Sf. Gheorghe
Sat Sep 29 2018,FC Voluntari,1-1,?,FC Botosani
Sun Sep 30 2018,Gaz Metan Medias,1-0,?,Poli Iasi
Sun Sep 30 2018,Viitorul Constanta,1-0,?,Astra
Sun Sep 30 2018,FC Hermannstadt,1-3,?,FC Steaua Bucuresti
Mon Oct 1 2018,Concordia,1-1,?,Calarasi
Mon Oct 1 2018,CFR Cluj,0-0,?,U Craiova
Fri Oct 5 2018,Poli Iasi,1-2,?,Viitorul Constanta
Sat Oct 6 2018,U Craiova,1-1,?,FC Hermannstadt
Sat Oct 6 2018,Astra,1-2,?,CFR Cluj
Sun Oct 7 2018,Calarasi,1-1,?,FC Voluntari
Sun Oct 7 2018,Sepsi Sf. Gheorghe,1-2,?,Gaz Metan Medias
Sun Oct 7 2018,FC Steaua Bucuresti,0-1,?,Concordia
Mon Oct 8 2018,FC Botosani,2-0,?,Din. Bucuresti
Fri Oct 19 2018,FC Voluntari,4-0,?,Concordia
Fri Oct 19 2018,CFR Cluj,1-0,?,Poli Iasi
Sat Oct 20 2018,FC Hermannstadt,0-2,?,Astra
Sat Oct 20 2018,Viitorul Constanta,2-3,?,Sepsi Sf. Gheorghe
Sun Oct 21 2018,Gaz Metan Medias,1-2,?,FC Botosani
Sun Oct 21 2018,U Craiova,2-1,?,FC Steaua Bucuresti
Mon Oct 22 2018,Din. Bucuresti,1-1,?,Calarasi
Fri Oct 26 2018,Poli Iasi,0-2,?,FC Hermannstadt
Fri Oct 26 2018,Astra,0-3,?,U Craiova
Sat Oct 27 2018,FC Botosani,1-2,?,Viitorul Constanta
Sat Oct 27 2018,FC Steaua Bucuresti,2-1,?,FC Voluntari
Sun Oct 28 2018,Calarasi,0-0,?,Gaz Metan Medias
Sun Oct 28 2018,Sepsi Sf. Gheorghe,1-2,?,CFR Cluj
Mon Oct 29 2018,Concordia,0-0,?,Din. Bucuresti
Fri Nov 2 2018,Poli Iasi,0-3,?,U Craiova
Sat Nov 3 2018,Sepsi Sf. Gheorghe,1-3,?,FC Hermannstadt
Sat Nov 3 2018,FC Botosani,1-5,?,CFR Cluj
Sun Nov 4 2018,Calarasi,0-1,?,Viitorul Constanta
Sun Nov 4 2018,FC Steaua Bucuresti,1-0,?,Astra
Mon Nov 5 2018,Concordia,0-0,?,Gaz Metan Medias
Mon Nov 5 2018,FC Voluntari,0-1,?,Din. Bucuresti
Fri Nov 9 2018,U Craiova,1-1,?,Sepsi Sf. Gheorghe
Sat Nov 10 2018,Astra,1-2,?,Poli Iasi
Sat Nov 10 2018,Viitorul Constanta,0-0,?,Concordia
Sat Nov 10 2018,CFR Cluj,0-0,?,Calarasi
Sun Nov 11 2018,Din. Bucuresti,1-1,?,FC Steaua Bucuresti
Mon Nov 12 2018,FC Hermannstadt,1-1,?,FC Botosani
Mon Nov 12 2018,Gaz Metan Medias,2-0,?,FC Voluntari
Fri Nov 23 2018,Din. Bucuresti,1-1,?,Gaz Metan Medias
Sat Nov 24 2018,Sepsi Sf. Gheorghe,1-0,?,Astra
Sat Nov 24 2018,Concordia,0-1,?,CFR Cluj
Sun Nov 25 2018,Calarasi,0-1,?,FC Hermannstadt
Sun Nov 25 2018,FC Voluntari,1-2,?,Viitorul Constanta
Sun Nov 25 2018,Poli Iasi,1-2,?,FC Steaua Bucuresti
