Date,Team 1,FT,HT,Team 2
Sat Feb 26 2022,Philadelphia Union,1-1,?,Minnesota United
Sat Feb 26 2022,Columbus Crew,4-0,?,Vancouver Whitecaps
Sat Feb 26 2022,Los Angeles FC,3-0,?,Colorado Rapids
Sat Feb 26 2022,FC Dallas,1-1,?,Toronto FC
Sat Feb 26 2022,Austin FC,5-0,?,FC Cincinnati
Sat Feb 26 2022,DC United,3-0,?,Charlotte
Sat Feb 26 2022,Inter Miami,0-0,?,Chicago Fire
Sat Feb 26 2022,San Jose Earthquakes,1-3,?,New York Red Bulls
Sat Feb 26 2022,Portland Timbers,2-2,?,New England Revolution
Sun Feb 27 2022,Orlando City,2-0,?,CF Montreal
Sun Feb 27 2022,Atlanta Utd,3-1,?,Sporting Kansas City
Sun Feb 27 2022,Los Angeles Galaxy,1-0,?,New York City
Sun Feb 27 2022,Houston Dynamo,0-0,?,Real Salt Lake
Sun Feb 27 2022,Seattle Sounders,0-1,?,Nashville SC
Sat Mar 5 2022,New England Revolution,1-0,?,FC Dallas
Sat Mar 5 2022,Toronto FC,1-4,?,New York Red Bulls
Sat Mar 5 2022,Sporting Kansas City,1-0,?,Houston Dynamo
Sat Mar 5 2022,CF Montreal,1-2,?,Philadelphia Union
Sat Mar 5 2022,San Jose Earthquakes,3-3,?,Columbus Crew
Sat Mar 5 2022,Chicago Fire,0-0,?,Orlando City
Sat Mar 5 2022,Colorado Rapids,3-0,?,Atlanta Utd
Sat Mar 5 2022,FC Cincinnati,0-1,?,DC United
Sat Mar 5 2022,Minnesota United,1-1,?,Nashville SC
Sat Mar 5 2022,Real Salt Lake,1-0,?,Seattle Sounders
Sat Mar 5 2022,Vancouver Whitecaps,0-0,?,New York City
Sat Mar 5 2022,Charlotte,0-1,?,Los Angeles Galaxy
Sun Mar 6 2022,Austin FC,5-1,?,Inter Miami
Sun Mar 6 2022,Los Angeles FC,1-1,?,Portland Timbers
Sat Mar 12 2022,New York City,4-1,?,CF Montreal
Sat Mar 12 2022,Columbus Crew,2-1,?,Toronto FC
Sat Mar 12 2022,Inter Miami,0-2,?,Los Angeles FC
Sat Mar 12 2022,Seattle Sounders,3-2,?,Los Angeles Galaxy
Sat Mar 12 2022,Houston Dynamo,2-1,?,Vancouver Whitecaps
Sat Mar 12 2022,DC United,0-2,?,Chicago Fire
Sat Mar 12 2022,New England Revolution,2-3,?,Real Salt Lake
Sat Mar 12 2022,Orlando City,1-2,?,FC Cincinnati
Sat Mar 12 2022,Philadelphia Union,2-0,?,San Jose Earthquakes
Sat Mar 12 2022,FC Dallas,2-0,?,Nashville SC
Sat Mar 12 2022,Colorado Rapids,2-0,?,Sporting Kansas City
Sat Mar 12 2022,Portland Timbers,1-0,?,Austin FC
Sun Mar 13 2022,Atlanta Utd,2-1,?,Charlotte
Sun Mar 13 2022,New York Red Bulls,0-1,?,Minnesota United
Sat Mar 19 2022,FC Cincinnati,3-1,?,Inter Miami
Sat Mar 19 2022,New York City,0-2,?,Philadelphia Union
Sat Mar 19 2022,Toronto FC,2-1,?,DC United
Sat Mar 19 2022,Los Angeles Galaxy,0-1,?,Orlando City
Sat Mar 19 2022,Atlanta Utd,3-3,?,CF Montreal
Sat Mar 19 2022,Chicago Fire,3-1,?,Sporting Kansas City
Sat Mar 19 2022,Charlotte,3-1,?,New England Revolution
Sat Mar 19 2022,Minnesota United,1-0,?,San Jose Earthquakes
Sat Mar 19 2022,FC Dallas,4-1,?,Portland Timbers
Sat Mar 19 2022,Houston Dynamo,1-1,?,Colorado Rapids
Sat Mar 19 2022,Real Salt Lake,2-1,?,Nashville SC
Sun Mar 20 2022,New York Red Bulls,1-1,?,Columbus Crew
Sun Mar 20 2022,Austin FC,1-1,?,Seattle Sounders
Sun Mar 20 2022,Los Angeles FC,3-1,?,Vancouver Whitecaps
Sat Mar 26 2022,Charlotte,2-0,?,FC Cincinnati
Sat Mar 26 2022,Sporting Kansas City,1-0,?,Real Salt Lake
Sun Mar 27 2022,Portland Timbers,1-1,?,Orlando City
Sat Apr 2 2022,Chicago Fire,0-0,?,FC Dallas
Sat Apr 2 2022,FC Cincinnati,3-4,?,CF Montreal
Sat Apr 2 2022,Toronto FC,2-1,?,New York City
Sat Apr 2 2022,Columbus Crew,0-1,?,Nashville SC
Sat Apr 2 2022,DC United,0-1,?,Atlanta Utd
Sat Apr 2 2022,New England Revolution,0-1,?,New York Red Bulls
Sat Apr 2 2022,Orlando City,2-4,?,Los Angeles FC
Sat Apr 2 2022,Philadelphia Union,2-0,?,Charlotte
Sat Apr 2 2022,San Jose Earthquakes,2-2,?,Austin FC
Sat Apr 2 2022,Inter Miami,1-3,?,Houston Dynamo
Sat Apr 2 2022,Minnesota United,1-2,?,Seattle Sounders
Sat Apr 2 2022,Vancouver Whitecaps,1-0,?,Sporting Kansas City
Sat Apr 2 2022,Colorado Rapids,1-1,?,Real Salt Lake
Sun Apr 3 2022,Portland Timbers,1-3,?,Los Angeles Galaxy
Sat Apr 9 2022,Orlando City,1-0,?,Chicago Fire
Sat Apr 9 2022,Inter Miami,3-2,?,New England Revolution
Sat Apr 9 2022,New York Red Bulls,1-2,?,CF Montreal
Sat Apr 9 2022,Philadelphia Union,1-0,?,Columbus Crew
Sat Apr 9 2022,Los Angeles Galaxy,2-1,?,Los Angeles FC
Sat Apr 9 2022,Real Salt Lake,2-2,?,Toronto FC
Sat Apr 9 2022,FC Dallas,3-1,?,Colorado Rapids
Sat Apr 9 2022,Houston Dynamo,4-3,?,San Jose Earthquakes
Sat Apr 9 2022,Sporting Kansas City,1-2,?,Nashville SC
Sat Apr 9 2022,Vancouver Whitecaps,2-3,?,Portland Timbers
Sun Apr 10 2022,Charlotte,1-0,?,Atlanta Utd
Sun Apr 10 2022,Austin FC,1-0,?,Minnesota United
Sat Apr 16 2022,CF Montreal,2-1,?,Vancouver Whitecaps
Sat Apr 16 2022,San Jose Earthquakes,2-2,?,Nashville SC
Sat Apr 16 2022,Atlanta Utd,0-0,?,FC Cincinnati
Sat Apr 16 2022,Houston Dynamo,0-0,?,Portland Timbers
Sat Apr 16 2022,New York Red Bulls,0-0,?,FC Dallas
Sat Apr 16 2022,Columbus Crew,0-2,?,Orlando City
Sat Apr 16 2022,DC United,2-3,?,Austin FC
Sat Apr 16 2022,New England Revolution,2-1,?,Charlotte
Sat Apr 16 2022,Toronto FC,2-1,?,Philadelphia Union
Sat Apr 16 2022,Chicago Fire,0-0,?,Los Angeles Galaxy
Sat Apr 16 2022,Minnesota United,3-1,?,Colorado Rapids
Sat Apr 16 2022,Seattle Sounders,0-1,?,Inter Miami
Sun Apr 17 2022,New York City,6-0,?,Real Salt Lake
Sun Apr 17 2022,Los Angeles FC,3-1,?,Sporting Kansas City
Sat Apr 23 2022,FC Dallas,2-1,?,Houston Dynamo
Sat Apr 23 2022,Philadelphia Union,1-1,?,CF Montreal
Sat Apr 23 2022,Minnesota United,3-0,?,Chicago Fire
Sat Apr 23 2022,DC United,3-2,?,New England Revolution
Sat Apr 23 2022,Austin FC,3-0,?,Vancouver Whitecaps
Sat Apr 23 2022,Sporting Kansas City,0-0,?,Columbus Crew
Sat Apr 23 2022,Colorado Rapids,0-0,?,Charlotte
Sat Apr 23 2022,Portland Timbers,0-0,?,Real Salt Lake
Sat Apr 23 2022,San Jose Earthquakes,4-3,?,Seattle Sounders
Sat Apr 23 2022,Los Angeles Galaxy,1-0,?,Nashville SC
Sun Apr 24 2022,Inter Miami,2-1,?,Atlanta Utd
Sun Apr 24 2022,Orlando City,0-3,?,New York Red Bulls
Sun Apr 24 2022,FC Cincinnati,1-2,?,Los Angeles FC
Sun Apr 24 2022,New York City,5-4,?,Toronto FC
Sat Apr 30 2022,Houston Dynamo,1-2,?,Austin FC
Sat Apr 30 2022,Toronto FC,1-2,?,FC Cincinnati
Sat Apr 30 2022,Real Salt Lake,1-0,?,Los Angeles Galaxy
Sat Apr 30 2022,CF Montreal,2-1,?,Atlanta Utd
Sat Apr 30 2022,Columbus Crew,3-0,?,DC United
Sat Apr 30 2022,New England Revolution,2-0,?,Inter Miami
Sat Apr 30 2022,Orlando City,2-1,?,Charlotte
Sat Apr 30 2022,Chicago Fire,1-2,?,New York Red Bulls
Sat Apr 30 2022,Sporting Kansas City,2-2,?,FC Dallas
Sat Apr 30 2022,Colorado Rapids,2-0,?,Portland Timbers
Sun May 1 2022,New York City,3-0,?,San Jose Earthquakes
Sun May 1 2022,Nashville SC,1-1,?,Philadelphia Union
Sun May 1 2022,Los Angeles FC,2-0,?,Minnesota United
Wed May 4 2022,FC Cincinnati,2-0,?,Toronto FC
