Date,Team 1,FT,HT,Team 2
Sat Aug 6 2005,Crewe,2-1,1-0,Burnley
Sat Aug 6 2005,Crystal Palace,1-2,0-1,Luton
Sat Aug 6 2005,Derby,1-1,1-1,Brighton
Sat Aug 6 2005,Hull,0-0,0-0,QPR
Sat Aug 6 2005,Ipswich,1-0,0-0,Cardiff
Sat Aug 6 2005,Norwich,1-1,1-0,Coventry
Sat Aug 6 2005,Reading,1-2,0-1,Plymouth
Sat Aug 6 2005,Sheffield United,4-1,1-0,Leicester
Sat Aug 6 2005,Southampton,0-0,0-0,Wolves
Sat Aug 6 2005,Stoke,0-0,0-0,Sheffield Weds
Sat Aug 6 2005,Watford,1-2,1-2,Preston
Sun Aug 7 2005,Leeds,2-1,1-0,Millwall
Mon Aug 8 2005,Preston,1-1,1-1,Derby
Tue Aug 9 2005,Brighton,0-2,0-1,Reading
Tue Aug 9 2005,Burnley,1-2,0-2,Sheffield United
Tue Aug 9 2005,Cardiff,2-1,0-1,Leeds
Tue Aug 9 2005,Leicester,4-2,1-0,Stoke
Tue Aug 9 2005,Luton,3-2,1-2,Southampton
Tue Aug 9 2005,Millwall,0-0,0-0,Coventry
Tue Aug 9 2005,Norwich,1-1,0-1,Crewe
Tue Aug 9 2005,Plymouth,3-3,3-1,Watford
Tue Aug 9 2005,QPR,2-1,2-0,Ipswich
Tue Aug 9 2005,Sheffield Weds,1-1,1-1,Hull
Tue Aug 9 2005,Wolves,2-1,1-1,Crystal Palace
Fri Aug 12 2005,Cardiff,1-3,0-1,Watford
Sat Aug 13 2005,Brighton,2-2,1-0,Crewe
Sat Aug 13 2005,Burnley,4-0,2-0,Coventry
Sat Aug 13 2005,Leicester,0-0,0-0,Ipswich
Sat Aug 13 2005,Luton,0-0,0-0,Leeds
Sat Aug 13 2005,Millwall,0-1,0-1,Stoke
Sat Aug 13 2005,Norwich,1-1,1-1,Crystal Palace
Sat Aug 13 2005,Plymouth,0-2,0-2,Derby
Sat Aug 13 2005,Preston,0-3,0-1,Reading
Sat Aug 13 2005,QPR,2-1,0-0,Sheffield United
Sat Aug 13 2005,Sheffield Weds,0-1,0-1,Southampton
Sat Aug 13 2005,Wolves,1-0,1-0,Hull
Sat Aug 20 2005,Coventry,3-0,3-0,QPR
Sat Aug 20 2005,Crewe,2-2,2-1,Leicester
Sat Aug 20 2005,Crystal Palace,1-0,0-0,Plymouth
Sat Aug 20 2005,Derby,2-1,2-0,Cardiff
Sat Aug 20 2005,Hull,2-0,1-0,Brighton
Sat Aug 20 2005,Ipswich,2-1,1-0,Sheffield Weds
Sat Aug 20 2005,Leeds,2-0,1-0,Wolves
Sat Aug 20 2005,Reading,5-0,4-0,Millwall
Sat Aug 20 2005,Sheffield United,2-1,1-1,Preston
Sat Aug 20 2005,Southampton,1-0,1-0,Norwich
Sat Aug 20 2005,Stoke,2-1,0-1,Luton
Sat Aug 20 2005,Watford,3-1,2-1,Burnley
Fri Aug 26 2005,QPR,0-0,0-0,Sheffield Weds
Sat Aug 27 2005,Burnley,2-2,0-1,Derby
Sat Aug 27 2005,Cardiff,2-2,1-0,Wolves
Sat Aug 27 2005,Crystal Palace,2-0,1-0,Stoke
Sat Aug 27 2005,Leicester,0-2,0-1,Luton
Sat Aug 27 2005,Millwall,1-2,0-1,Ipswich
Sat Aug 27 2005,Norwich,0-1,0-0,Leeds
Sat Aug 27 2005,Plymouth,0-1,0-0,Hull
Sat Aug 27 2005,Preston,0-0,0-0,Brighton
Sat Aug 27 2005,Sheffield United,2-1,1-1,Coventry
Sat Aug 27 2005,Southampton,2-0,1-0,Crewe
Sat Aug 27 2005,Watford,0-0,0-0,Reading
Mon Aug 29 2005,Brighton,2-0,1-0,Plymouth
Mon Aug 29 2005,Coventry,1-1,1-1,Southampton
Mon Aug 29 2005,Crewe,1-3,1-1,Sheffield United
Mon Aug 29 2005,Derby,1-2,1-0,Watford
Mon Aug 29 2005,Hull,1-1,0-0,Leicester
Mon Aug 29 2005,Ipswich,0-4,0-3,Preston
Mon Aug 29 2005,Luton,2-1,1-0,Millwall
Mon Aug 29 2005,Reading,2-1,1-1,Burnley
Mon Aug 29 2005,Stoke,3-1,2-1,Norwich
Tue Aug 30 2005,Wolves,3-1,2-1,QPR
Sat Sep 10 2005,Burnley,3-3,2-2,Cardiff
Sat Sep 10 2005,Coventry,1-1,0-0,Reading
Sat Sep 10 2005,Crystal Palace,2-0,1-0,Hull
Sat Sep 10 2005,Leeds,3-3,0-1,Brighton
Sat Sep 10 2005,Leicester,2-0,2-0,Sheffield Weds
Sat Sep 10 2005,Luton,1-1,0-1,Wolves
Sat Sep 10 2005,Millwall,1-2,0-1,Preston
Sat Sep 10 2005,Norwich,2-0,2-0,Plymouth
Sat Sep 10 2005,Sheffield United,2-0,1-0,Ipswich
Sat Sep 10 2005,Southampton,1-1,1-1,QPR
Sat Sep 10 2005,Stoke,0-3,0-1,Watford
Sun Sep 11 2005,Crewe,1-1,1-0,Derby
Tue Sep 13 2005,Brighton,0-1,0-1,Sheffield United
Tue Sep 13 2005,Cardiff,1-0,1-0,Leicester
Tue Sep 13 2005,Hull,0-1,0-0,Stoke
Tue Sep 13 2005,Ipswich,2-2,1-0,Southampton
Tue Sep 13 2005,Plymouth,1-1,1-1,Crewe
Tue Sep 13 2005,Preston,0-0,0-0,Burnley
Tue Sep 13 2005,QPR,1-0,0-0,Luton
Tue Sep 13 2005,Reading,3-2,1-1,Crystal Palace
Tue Sep 13 2005,Sheffield Weds,1-0,1-0,Leeds
Tue Sep 13 2005,Watford,2-1,2-0,Norwich
Tue Sep 13 2005,Wolves,1-2,1-1,Millwall
Wed Sep 14 2005,Derby,1-1,1-0,Coventry
Fri Sep 16 2005,Preston,0-1,0-0,Stoke
Sat Sep 17 2005,Brighton,2-2,0-1,Coventry
Sat Sep 17 2005,Cardiff,1-0,1-0,Crystal Palace
Sat Sep 17 2005,Hull,0-1,0-0,Luton
Sat Sep 17 2005,Plymouth,1-0,0-0,Burnley
Sat Sep 17 2005,QPR,0-1,0-1,Leeds
Sat Sep 17 2005,Reading,1-0,0-0,Crewe
Sat Sep 17 2005,Sheffield Weds,1-2,0-0,Millwall
Sat Sep 17 2005,Watford,2-3,1-0,Sheffield United
Sat Sep 17 2005,Wolves,0-0,0-0,Leicester
Sun Sep 18 2005,Derby,2-2,0-0,Southampton
Sun Sep 18 2005,Ipswich,0-1,0-0,Norwich
Fri Sep 23 2005,Luton,2-2,1-1,Sheffield Weds
Sat Sep 24 2005,Burnley,1-1,1-1,Brighton
Sat Sep 24 2005,Coventry,0-2,0-1,Hull
Sat Sep 24 2005,Crewe,0-0,0-0,Watford
Sat Sep 24 2005,Crystal Palace,1-1,0-1,Preston
Sat Sep 24 2005,Leeds,0-2,0-1,Ipswich
Sat Sep 24 2005,Leicester,1-2,0-1,QPR
