Date,Team 1,FT,HT,Team 2
Sat Sep 2 2000,Albacete,1-0,1-0,Tenerife
Sat Sep 2 2000,Getafe,0-0,0-0,Cordoba
Sat Sep 2 2000,Lleida,0-0,0-0,Eibar
Sun Sep 3 2000,Compostela,0-0,0-0,Betis
Sun Sep 3 2000,Elche,2-0,1-0,Salamanca
Sun Sep 3 2000,Jaen,1-0,0-0,Ferrol
Sun Sep 3 2000,Leganes,1-1,1-0,Extremadura
Sun Sep 3 2000,Levante,4-1,0-1,Ath Madrid
Sun Sep 3 2000,Recreativo,0-0,0-0,Badajoz
Sun Sep 3 2000,Sevilla,2-1,0-0,Murcia
Sun Sep 3 2000,Sp Gijon,0-0,0-0,U.Las Palmas
Sat Sep 9 2000,Ath Madrid,0-1,0-1,Recreativo
Sat Sep 9 2000,U.Las Palmas,0-1,0-0,Getafe
Sun Sep 10 2000,Badajoz,0-1,0-0,Jaen
Sun Sep 10 2000,Betis,1-2,0-2,Elche
Sun Sep 10 2000,Cordoba,1-1,1-1,Levante
Sun Sep 10 2000,Eibar,0-1,0-0,Leganes
Sun Sep 10 2000,Extremadura,1-1,1-0,Albacete
Sun Sep 10 2000,Murcia,0-0,0-0,Lleida
Sun Sep 10 2000,Ferrol,1-3,0-1,Compostela
Sun Sep 10 2000,Salamanca,0-1,0-1,Sevilla
Sun Sep 10 2000,Tenerife,1-0,0-0,Sp Gijon
Sat Sep 16 2000,Albacete,1-3,0-2,Eibar
Sat Sep 16 2000,Elche,1-2,0-1,Sevilla
Sun Sep 17 2000,Betis,2-1,2-0,Ferrol
Sun Sep 17 2000,Compostela,0-1,0-0,Badajoz
Sun Sep 17 2000,Getafe,0-5,0-2,Tenerife
Sun Sep 17 2000,Jaen,1-0,0-0,Ath Madrid
Sun Sep 17 2000,Leganes,3-2,2-1,Murcia
Sun Sep 17 2000,Levante,2-0,2-0,U.Las Palmas
Sun Sep 17 2000,Lleida,0-3,0-3,Salamanca
Sun Sep 17 2000,Recreativo,1-0,1-0,Cordoba
Sun Sep 17 2000,Sp Gijon,2-0,2-0,Extremadura
Sat Sep 23 2000,Ath Madrid,2-0,1-0,Compostela
Sat Sep 23 2000,Cordoba,1-0,0-0,Jaen
Sat Sep 23 2000,Ferrol,2-1,1-0,Elche
Sat Sep 23 2000,Tenerife,1-1,0-1,Levante
Sat Sep 23 2000,U.Las Palmas,0-0,0-0,Recreativo
Sun Sep 24 2000,Badajoz,0-0,0-0,Betis
Sun Sep 24 2000,Eibar,0-0,0-0,Sp Gijon
Sun Sep 24 2000,Extremadura,1-0,0-0,Getafe
Sun Sep 24 2000,Murcia,2-0,1-0,Albacete
Sun Sep 24 2000,Salamanca,1-1,0-1,Leganes
Sun Sep 24 2000,Sevilla,2-0,1-0,Lleida
Sat Sep 30 2000,Elche,2-1,0-0,Lleida
Sat Sep 30 2000,Leganes,1-1,0-0,Sevilla
Sat Sep 30 2000,Ferrol,2-2,1-1,Badajoz
Sat Sep 30 2000,Recreativo,0-0,0-0,Tenerife
Sun Oct 1 2000,Albacete,1-0,0-0,Salamanca
Sun Oct 1 2000,Betis,1-1,1-0,Ath Madrid
Sun Oct 1 2000,Compostela,0-1,0-0,Cordoba
Sun Oct 1 2000,Getafe,0-0,0-0,Eibar
Sun Oct 1 2000,Jaen,1-0,0-0,U.Las Palmas
Sun Oct 1 2000,Levante,1-0,0-0,Extremadura
Sun Oct 1 2000,Sp Gijon,2-2,0-2,Murcia
Sat Oct 7 2000,Cordoba,1-0,1-0,Betis
Sat Oct 7 2000,Eibar,0-0,0-0,Levante
Sun Oct 8 2000,Ath Madrid,1-1,0-0,Ferrol
Sun Oct 8 2000,Badajoz,1-1,0-1,Elche
Sun Oct 8 2000,Extremadura,1-1,0-1,Recreativo
Sun Oct 8 2000,Lleida,1-0,1-0,Leganes
Sun Oct 8 2000,Murcia,2-1,1-0,Getafe
Sun Oct 8 2000,Salamanca,2-1,1-0,Sp Gijon
Sun Oct 8 2000,Sevilla,1-0,0-0,Albacete
Sun Oct 8 2000,Tenerife,1-1,1-1,Jaen
Sun Oct 8 2000,U.Las Palmas,1-1,0-1,Compostela
Sat Oct 14 2000,Badajoz,0-0,0-0,Ath Madrid
Sat Oct 14 2000,Betis,2-0,1-0,U.Las Palmas
Sun Oct 15 2000,Albacete,2-1,1-1,Lleida
Sun Oct 15 2000,Compostela,0-2,0-2,Tenerife
Sun Oct 15 2000,Elche,1-1,1-1,Leganes
