Date,Team 1,FT,HT,Team 2
Fri Aug 9 2002,Trabzonspor,0-0,0-0,Fenerbahce
Sat Aug 10 2002,Ankaragucu,1-1,1-0,Malatyaspor
Sat Aug 10 2002,Bursaspor,2-2,1-1,Besiktas
Sat Aug 10 2002,Diyarbakirspor,1-1,1-0,Altay
Sat Aug 10 2002,Istanbulspor,2-2,0-2,Adanaspor
Sun Aug 11 2002,Galatasaray,4-1,3-1,Samsunspor
Sun Aug 11 2002,Gaziantepspor,1-1,0-1,Denizlispor
Sun Aug 11 2002,Goztep,2-1,0-1,Elazigspor
Sun Aug 11 2002,Kocaelispor,1-3,0-2,Genclerbirligi
Fri Aug 16 2002,Denizlispor,1-3,0-0,Galatasaray
Sat Aug 17 2002,Besiktas,2-1,0-0,Kocaelispor
Sat Aug 17 2002,Elazigspor,2-0,2-0,Trabzonspor
Sat Aug 17 2002,Genclerbirligi,4-1,0-1,Istanbulspor
Sat Aug 17 2002,Malatyaspor,1-1,1-0,Gaziantepspor
Sat Aug 17 2002,Samsunspor,1-0,1-0,Bursaspor
Sun Aug 18 2002,Adanaspor,2-1,1-0,Diyarbakirspor
Sun Aug 18 2002,Altay,4-2,2-0,Goztep
Sun Aug 18 2002,Fenerbahce,1-0,1-0,Ankaragucu
Sat Aug 24 2002,Goztep,1-4,0-1,Adanaspor
Sat Aug 24 2002,Istanbulspor,1-2,1-1,Besiktas
Sat Aug 24 2002,Kocaelispor,1-2,1-2,Samsunspor
Sat Aug 24 2002,Trabzonspor,0-0,0-0,Altay
Sun Aug 25 2002,Ankaragucu,3-1,1-0,Elazigspor
Sun Aug 25 2002,Denizlispor,1-0,1-0,Malatyaspor
Sun Aug 25 2002,Diyarbakirspor,1-4,0-1,Genclerbirligi
Sun Aug 25 2002,Galatasaray,2-0,1-0,Bursaspor
Fri Aug 30 2002,Besiktas,2-0,1-0,Diyarbakirspor
Sat Aug 31 2002,Adanaspor,0-1,0-0,Trabzonspor
Sat Aug 31 2002,Altay,2-3,1-1,Ankaragucu
Sat Aug 31 2002,Bursaspor,4-2,1-1,Kocaelispor
Sat Aug 31 2002,Malatyaspor,2-2,1-1,Galatasaray
Sun Sep 1 2002,Elazigspor,1-3,1-2,Gaziantepspor
Sun Sep 1 2002,Fenerbahce,3-2,2-0,Denizlispor
Sun Sep 1 2002,Genclerbirligi,3-1,1-0,Goztep
Sun Sep 1 2002,Samsunspor,1-2,1-0,Istanbulspor
Wed Sep 11 2002,Gaziantepspor,3-3,2-1,Fenerbahce
