Date,Team 1,FT,HT,Team 2
Fri Aug 13 2010,Sp Braga,3-1,2-0,Portimonense
Sat Aug 14 2010,Maritimo,0-1,0-0,Setubal
Sat Aug 14 2010,Naval,0-1,0-0,Porto
Sat Aug 14 2010,Pacos Ferreira,1-0,0-0,Sp Lisbon
Sun Aug 15 2010,Beira Mar,0-0,0-0,Leiria
Sun Aug 15 2010,Benfica,1-2,0-1,Academica
Sun Aug 15 2010,Rio Ave,0-1,0-0,Nacional
Mon Aug 16 2010,Olhanense,0-0,0-0,Guimaraes
Fri Aug 20 2010,Academica,1-1,0-0,Olhanense
Sat Aug 21 2010,Nacional,2-1,0-0,Benfica
Sat Aug 21 2010,Setubal,0-0,0-0,Sp Braga
Sun Aug 22 2010,Leiria,0-0,0-0,Pacos Ferreira
Sun Aug 22 2010,Portimonense,0-1,0-1,Naval
Sun Aug 22 2010,Porto,3-0,2-0,Beira Mar
Sun Aug 22 2010,Sp Lisbon,1-0,0-0,Maritimo
Mon Aug 23 2010,Guimaraes,0-0,0-0,Rio Ave
Sat Aug 28 2010,Benfica,3-0,2-0,Setubal
Sat Aug 28 2010,Nacional,1-3,0-0,Guimaraes
Sun Aug 29 2010,Beira Mar,2-1,1-0,Academica
Sun Aug 29 2010,Olhanense,1-0,1-0,Leiria
Sun Aug 29 2010,Pacos Ferreira,2-2,0-1,Portimonense
Sun Aug 29 2010,Rio Ave,0-2,0-1,Porto
Sun Aug 29 2010,Sp Braga,1-0,1-0,Maritimo
Mon Aug 30 2010,Naval,1-3,0-1,Sp Lisbon
Fri Sep 10 2010,Guimaraes,2-1,1-1,Benfica
Sat Sep 11 2010,Porto,3-2,1-1,Sp Braga
Sat Sep 11 2010,Sp Lisbon,0-0,0-0,Olhanense
Sun Sep 12 2010,Academica,3-0,1-0,Naval
Sun Sep 12 2010,Leiria,2-1,0-0,Nacional
Sun Sep 12 2010,Maritimo,1-1,0-1,Pacos Ferreira
Sun Sep 12 2010,Portimonense,3-1,2-0,Rio Ave
Mon Sep 13 2010,Setubal,0-0,0-0,Beira Mar
Fri Sep 17 2010,Olhanense,2-0,1-0,Portimonense
Sat Sep 18 2010,Beira Mar,1-1,0-1,Maritimo
Sat Sep 18 2010,Guimaraes,1-0,0-0,Leiria
Sun Sep 19 2010,Benfica,2-0,1-0,Sp Lisbon
Sun Sep 19 2010,Naval,0-0,0-0,Setubal
Sun Sep 19 2010,Pacos Ferreira,2-2,0-1,Sp Braga
Sun Sep 19 2010,Rio Ave,2-2,1-0,Academica
Mon Sep 20 2010,Nacional,0-2,0-1,Porto
Fri Sep 24 2010,Sp Braga,3-1,1-0,Naval
Sat Sep 25 2010,Academica,3-1,0-0,Guimaraes
Sat Sep 25 2010,Maritimo,0-1,0-0,Benfica
Sat Sep 25 2010,Porto,2-0,2-0,Olhanense
Sun Sep 26 2010,Leiria,1-0,0-0,Rio Ave
Sun Sep 26 2010,Portimonense,1-0,0-0,Beira Mar
Sun Sep 26 2010,Sp Lisbon,1-1,0-0,Nacional
Mon Sep 27 2010,Setubal,1-0,1-0,Pacos Ferreira
Fri Oct 1 2010,Leiria,2-1,0-1,Academica
Sat Oct 2 2010,Olhanense,3-1,2-0,Setubal
Sun Oct 3 2010,Benfica,1-0,0-0,Sp Braga
Sun Oct 3 2010,Nacional,3-1,1-1,Portimonense
Sun Oct 3 2010,Naval,1-2,1-0,Pacos Ferreira
Sun Oct 3 2010,Rio Ave,0-0,0-0,Maritimo
Mon Oct 4 2010,Beira Mar,1-1,1-1,Sp Lisbon
Mon Oct 4 2010,Guimaraes,1-1,0-1,Porto
Fri Oct 22 2010,Academica,2-1,2-0,Nacional
Sat Oct 23 2010,Pacos Ferreira,1-1,1-0,Beira Mar
Sat Oct 23 2010,Setubal,2-1,2-0,Guimaraes
Sat Oct 23 2010,Sp Braga,3-1,0-1,Olhanense
Sun Oct 24 2010,Maritimo,1-0,0-0,Naval
Sun Oct 24 2010,Portimonense,0-1,0-0,Benfica
Sun Oct 24 2010,Sp Lisbon,1-0,0-0,Rio Ave
Mon Oct 25 2010,Porto,5-1,3-0,Leiria
Fri Oct 29 2010,Benfica,2-0,1-0,Pacos Ferreira
Sat Oct 30 2010,Academica,0-1,0-1,Porto
Sat Oct 30 2010,Rio Ave,2-0,0-0,Sp Braga
Sun Oct 31 2010,Beira Mar,3-1,2-0,Naval
Sun Oct 31 2010,Leiria,1-2,1-2,Sp Lisbon
Sun Oct 31 2010,Nacional,1-0,1-0,Setubal
Sun Oct 31 2010,Olhanense,1-1,0-1,Maritimo
Mon Nov 1 2010,Guimaraes,2-0,1-0,Portimonense
Fri Nov 5 2010,Setubal,3-3,1-2,Rio Ave
Sat Nov 6 2010,Pacos Ferreira,0-1,0-0,Nacional
Sat Nov 6 2010,Portimonense,2-2,0-2,Academica
Sun Nov 7 2010,Maritimo,1-1,0-0,Leiria
Sun Nov 7 2010,Naval,1-1,1-0,Olhanense
Sun Nov 7 2010,Porto,5-0,3-0,Benfica
Sun Nov 7 2010,Sp Braga,2-3,0-1,Beira Mar
Mon Nov 8 2010,Sp Lisbon,2-3,2-0,Guimaraes
Fri Nov 12 2010,Nacional,0-0,0-0,Maritimo
Sat Nov 13 2010,Academica,1-2,0-2,Sp Lisbon
Sat Nov 13 2010,Guimaraes,2-1,1-1,Sp Braga
Sun Nov 14 2010,Benfica,4-0,1-0,Naval
Sun Nov 14 2010,Leiria,1-0,1-0,Setubal
Sun Nov 14 2010,Olhanense,1-1,1-0,Beira Mar
Sun Nov 14 2010,Porto,2-0,1-0,Portimonense
Sun Nov 14 2010,Rio Ave,3-1,2-1,Pacos Ferreira
Fri Nov 26 2010,Setubal,0-1,0-1,Academica
Sat Nov 27 2010,Maritimo,2-0,2-0,Guimaraes
Sat Nov 27 2010,Pacos Ferreira,1-0,1-0,Olhanense
Sat Nov 27 2010,Sp Lisbon,1-1,1-0,Porto
Sun Nov 28 2010,Beira Mar,1-3,0-1,Benfica
Sun Nov 28 2010,Naval,0-1,0-1,Rio Ave
Sun Nov 28 2010,Sp Braga,2-0,0-0,Nacional
Mon Nov 29 2010,Portimonense,1-2,1-0,Leiria
Fri Dec 3 2010,Benfica,2-0,1-0,Olhanense
Sat Dec 4 2010,Guimaraes,1-1,1-0,Pacos Ferreira
Sat Dec 4 2010,Leiria,3-1,2-1,Sp Braga
Sun Dec 5 2010,Portimonense,1-3,1-3,Sp Lisbon
Sun Dec 5 2010,Rio Ave,1-1,0-0,Beira Mar
Mon Dec 6 2010,Porto,1-0,1-0,Setubal
Tue Dec 7 2010,Nacional,2-1,0-1,Naval
Wed Dec 8 2010,Academica,1-5,0-1,Maritimo
Fri Dec 17 2010,Sp Braga,5-0,3-0,Academica
Sat Dec 18 2010,Beira Mar,3-2,1-0,Guimaraes
Sat Dec 18 2010,Benfica,5-2,2-1,Rio Ave
Sun Dec 19 2010,Maritimo,1-1,0-0,Portimonense
Sun Dec 19 2010,Naval,0-3,0-1,Leiria
Sun Dec 19 2010,Olhanense,0-0,0-0,Nacional
Sun Dec 19 2010,Pacos Ferreira,0-3,0-1,Porto
Mon Dec 20 2010,Setubal,0-3,0-2,Sp Lisbon
Fri Jan 7 2011,Portimonense,3-4,2-1,Setubal
Sat Jan 8 2011,Porto,4-1,1-0,Maritimo
Sat Jan 8 2011,Sp Lisbon,2-1,2-1,Sp Braga
Sun Jan 9 2011,Academica,0-0,0-0,Pacos Ferreira
Sun Jan 9 2011,Guimaraes,1-2,1-0,Naval
Sun Jan 9 2011,Leiria,0-3,0-1,Benfica
Sun Jan 9 2011,Nacional,0-0,0-0,Beira Mar
Sun Jan 9 2011,Rio Ave,0-1,0-1,Olhanense
Fri Jan 14 2011,Portimonense,0-3,0-0,Sp Braga
Sat Jan 15 2011,Guimaraes,1-0,0-0,Olhanense
Sat Jan 15 2011,Sp Lisbon,2-3,1-2,Pacos Ferreira
Sun Jan 16 2011,Academica,0-1,0-1,Benfica
Sun Jan 16 2011,Leiria,0-3,0-1,Beira Mar
Sun Jan 16 2011,Nacional,1-0,0-0,Rio Ave
Sun Jan 16 2011,Porto,3-1,2-0,Naval
Sun Jan 16 2011,Setubal,2-4,1-1,Maritimo
Sat Jan 22 2011,Beira Mar,0-1,0-1,Porto
Sat Jan 22 2011,Benfica,4-2,2-0,Nacional
Sat Jan 22 2011,Naval,1-1,0-1,Portimonense
Sat Jan 22 2011,Olhanense,2-1,1-1,Academica
Sat Jan 22 2011,Pacos Ferreira,1-1,0-0,Leiria
Sat Jan 22 2011,Rio Ave,2-3,0-1,Guimaraes
Sat Jan 22 2011,Sp Braga,2-2,0-2,Setubal
Mon Jan 24 2011,Maritimo,0-3,0-1,Sp Lisbon
Wed Jan 26 2011,Porto,3-0,3-0,Nacional
Fri Feb 4 2011,Sp Lisbon,3-3,1-2,Naval
Sat Feb 5 2011,Maritimo,1-2,1-1,Sp Braga
Sun Feb 6 2011,Academica,3-3,1-1,Beira Mar
Sun Feb 6 2011,Guimaraes,0-0,0-0,Nacional
Sun Feb 6 2011,Leiria,0-2,0-2,Olhanense
Sun Feb 6 2011,Portimonense,0-1,0-0,Pacos Ferreira
Sun Feb 6 2011,Porto,1-0,1-0,Rio Ave
Sun Feb 6 2011,Setubal,0-2,0-1,Benfica
Sat Feb 12 2011,Nacional,0-1,0-1,Leiria
Sat Feb 12 2011,Olhanense,2-2,0-1,Sp Lisbon
Sun Feb 13 2011,Benfica,3-0,1-0,Guimaraes
Sun Feb 13 2011,Naval,3-1,2-0,Academica
Sun Feb 13 2011,Pacos Ferreira,1-0,0-0,Maritimo
Sun Feb 13 2011,Rio Ave,2-0,0-0,Portimonense
Sun Feb 13 2011,Sp Braga,0-2,0-1,Porto
Mon Feb 14 2011,Beira Mar,0-0,0-0,Setubal
Fri Feb 18 2011,Leiria,0-1,0-1,Guimaraes
Sat Feb 19 2011,Portimonense,1-1,1-0,Olhanense
Sun Feb 20 2011,Academica,0-1,0-0,Rio Ave
Sun Feb 20 2011,Maritimo,1-0,0-0,Beira Mar
Sun Feb 20 2011,Setubal,1-1,1-0,Naval
