Date,Team 1,FT,HT,Team 2
Sun Apr 15 2012,HJK,3-1,?,Mariehamn
Sun Apr 15 2012,Honka,1-1,?,VPS
Sun Apr 15 2012,KuPS,2-2,?,JJK Jyvaskyla
Sun Apr 15 2012,Lahti,1-0,?,Haka
Sun Apr 15 2012,TPS,0-1,?,MyPa
Wed Apr 18 2012,Lahti,2-1,?,Honka
Thu Apr 19 2012,JJK Jyvaskyla,1-4,?,Haka
Thu Apr 19 2012,Mariehamn,1-1,?,KuPS
Thu Apr 19 2012,MyPa,2-0,?,Jaro
Thu Apr 19 2012,TPS,3-1,?,HJK
Thu Apr 19 2012,VPS,0-2,?,Inter Turku
Sun Apr 22 2012,Haka,0-2,?,Mariehamn
Sun Apr 22 2012,Honka,0-2,?,JJK Jyvaskyla
Sun Apr 22 2012,Inter Turku,2-0,?,MyPa
Sun Apr 22 2012,KuPS,1-1,?,TPS
Sun Apr 22 2012,VPS,2-1,?,Lahti
Mon Apr 23 2012,HJK,4-1,?,Jaro
Sun Apr 29 2012,Jaro,1-0,?,KuPS
Sun Apr 29 2012,Lahti,0-5,?,Inter Turku
Sun Apr 29 2012,Mariehamn,0-0,?,Honka
Sun Apr 29 2012,MyPa,1-0,?,HJK
Sun Apr 29 2012,TPS,2-0,?,Haka
Mon Apr 30 2012,JJK Jyvaskyla,0-2,?,VPS
Wed May 2 2012,Jaro,0-1,?,Inter Turku
Wed May 2 2012,KuPS,0-3,?,HJK
Sat May 5 2012,Haka,4-1,?,Jaro
Sat May 5 2012,Honka,0-2,?,TPS
Sat May 5 2012,JJK Jyvaskyla,2-1,?,Lahti
Sat May 5 2012,KuPS,1-2,?,MyPa
Sat May 5 2012,VPS,1-2,?,Mariehamn
Sun May 6 2012,HJK,2-1,?,Inter Turku
Sat May 12 2012,HJK,2-0,?,KuPS
Sat May 12 2012,Inter Turku,2-1,?,JJK Jyvaskyla
Sat May 12 2012,Jaro,0-1,?,Honka
Sat May 12 2012,MyPa,3-1,?,Haka
Sun May 13 2012,TPS,1-0,?,VPS
Sun May 13 2012,Mariehamn,2-0,?,Lahti
Wed May 16 2012,Haka,0-1,?,HJK
Wed May 16 2012,Honka,2-1,?,MyPa
