Date,Team 1,FT,HT,Team 2
Sat May 19 2012,Palmeiras,1-1,?,Portuguesa
Sat May 19 2012,Sport Recife,1-1,?,Flamengo RJ
Sat May 19 2012,Figueirense,2-1,?,Nautico
Sun May 20 2012,Botafogo RJ,4-2,?,Sao Paulo
Sun May 20 2012,Corinthians,0-1,?,Fluminense
Sun May 20 2012,Internacional,2-0,?,Coritiba
Sun May 20 2012,Ponte Preta,0-1,?,Atletico-MG
Sun May 20 2012,Bahia,0-0,?,Santos
Sun May 20 2012,Cruzeiro,0-0,?,Atletico GO
Sun May 20 2012,Vasco,2-1,?,Gremio
Sat May 26 2012,Atletico GO,1-1,?,Ponte Preta
Sat May 26 2012,Flamengo RJ,3-3,?,Internacional
Sat May 26 2012,Portuguesa,0-1,?,Vasco
Sat May 26 2012,Nautico,0-0,?,Cruzeiro
Sun May 27 2012,Atletico-MG,1-0,?,Corinthians
Sun May 27 2012,Coritiba,2-3,?,Botafogo RJ
Sun May 27 2012,Santos,0-0,?,Sport Recife
Sun May 27 2012,Sao Paulo,1-0,?,Bahia
Sun May 27 2012,Fluminense,2-2,?,Figueirense
Sun May 27 2012,Gremio,1-0,?,Palmeiras
Wed Jun 6 2012,Atletico GO,0-1,?,Gremio
Wed Jun 6 2012,Sport Recife,2-1,?,Palmeiras
Wed Jun 6 2012,Atletico-MG,1-1,?,Bahia
Wed Jun 6 2012,Coritiba,2-0,?,Portuguesa
Wed Jun 6 2012,Vasco,4-2,?,Nautico
Wed Jun 6 2012,Internacional,1-0,?,Sao Paulo
Wed Jun 6 2012,Ponte Preta,2-2,?,Flamengo RJ
Wed Jun 6 2012,Santos,1-1,?,Fluminense
Thu Jun 7 2012,Botafogo RJ,2-3,?,Cruzeiro
Thu Jun 7 2012,Corinthians,1-1,?,Figueirense
Sat Jun 9 2012,Flamengo RJ,3-1,?,Coritiba
Sat Jun 9 2012,Palmeiras,0-1,?,Atletico-MG
Sun Jun 10 2012,Portuguesa,2-0,?,Atletico GO
Sun Jun 10 2012,Bahia,1-2,?,Vasco
Sun Jun 10 2012,Fluminense,0-0,?,Internacional
Sun Jun 10 2012,Gremio,2-0,?,Corinthians
Sun Jun 10 2012,Cruzeiro,1-0,?,Sport Recife
Sun Jun 10 2012,Figueirense,0-0,?,Ponte Preta
Sun Jun 10 2012,Nautico,3-2,?,Botafogo RJ
Sun Jun 10 2012,Sao Paulo,1-0,?,Santos
Sat Jun 16 2012,Cruzeiro,1-0,?,Figueirense
Sat Jun 16 2012,Internacional,1-2,?,Botafogo RJ
Sat Jun 16 2012,Fluminense,4-1,?,Portuguesa
Sun Jun 17 2012,Bahia,2-1,?,Sport Recife
Sun Jun 17 2012,Flamengo RJ,1-0,?,Santos
Sun Jun 17 2012,Palmeiras,1-1,?,Vasco
Sun Jun 17 2012,Sao Paulo,1-0,?,Atletico-MG
Sun Jun 17 2012,Coritiba,3-0,?,Atletico GO
Sun Jun 17 2012,Nautico,1-0,?,Gremio
Sun Jun 17 2012,Ponte Preta,1-0,?,Corinthians
Sat Jun 23 2012,Portuguesa,1-0,?,Sao Paulo
Sat Jun 23 2012,Vasco,1-3,?,Cruzeiro
Sat Jun 23 2012,Atletico-MG,5-1,?,Nautico
Sun Jun 24 2012,Corinthians,2-1,?,Palmeiras
Sun Jun 24 2012,Figueirense,1-1,?,Bahia
Sun Jun 24 2012,Gremio,2-0,?,Flamengo RJ
Sun Jun 24 2012,Atletico GO,1-4,?,Fluminense
Sun Jun 24 2012,Botafogo RJ,1-2,?,Ponte Preta
