Date,Team 1,FT,HT,Team 2
Sat Sep 18 2004,Ergotelis,0-1,0-0,Iraklis
Sat Sep 18 2004,Xanthi,3-1,1-1,Aris
Sun Sep 19 2004,Chalkidona,1-0,1-0,Panionios
Sun Sep 19 2004,Egaleo,1-1,0-0,AEK
Sun Sep 19 2004,Kalamaria,1-0,1-0,OFI
Sun Sep 19 2004,Olympiakos,2-1,1-1,Kalithea
Sun Sep 19 2004,Panathinaikos,3-0,2-0,Ionikos
Sun Sep 19 2004,PAOK,1-0,0-0,Kerkyra
Sat Sep 25 2004,Aris,0-1,0-0,Olympiakos
Sat Sep 25 2004,Iraklis,1-0,0-0,Chalkidona
Sat Sep 25 2004,Panathinaikos,3-1,2-1,Xanthi
Sun Sep 26 2004,AEK,2-0,1-0,Kerkyra
Sun Sep 26 2004,Ionikos,2-0,1-0,Kalamaria
Sun Sep 26 2004,Kalithea,3-0,2-0,Ergotelis
Sun Sep 26 2004,OFI,0-1,0-0,Egaleo
Sun Sep 26 2004,Panionios,2-0,0-0,PAOK
Sat Oct 2 2004,Chalkidona,4-2,2-1,Kalithea
Sat Oct 2 2004,Kerkyra,1-1,0-0,OFI
Sun Oct 3 2004,AEK,2-0,0-0,Panionios
Sun Oct 3 2004,Egaleo,1-0,0-0,Ionikos
Sun Oct 3 2004,Ergotelis,1-1,1-1,Aris
Sun Oct 3 2004,Kalamaria,0-1,0-1,Panathinaikos
Sun Oct 3 2004,PAOK,1-0,1-0,Iraklis
Sun Oct 3 2004,Xanthi,2-1,0-1,Olympiakos
Sat Oct 16 2004,OFI,2-0,1-0,Panionios
Sat Oct 16 2004,Olympiakos,2-0,1-0,Ergotelis
Sat Oct 16 2004,Panathinaikos,0-0,0-0,Egaleo
Sun Oct 17 2004,Aris,1-2,1-1,Chalkidona
Sun Oct 17 2004,Ionikos,0-0,0-0,Kerkyra
Sun Oct 17 2004,Iraklis,1-2,1-0,AEK
Sun Oct 17 2004,Kalamaria,1-1,1-0,Xanthi
Sun Oct 17 2004,Kalithea,1-1,0-0,PAOK
Sat Oct 23 2004,OFI,2-1,1-1,Iraklis
Sun Oct 24 2004,AEK,4-1,1-0,Kalithea
Sun Oct 24 2004,Chalkidona,1-1,0-0,Olympiakos
Sun Oct 24 2004,Egaleo,0-0,0-0,Kalamaria
Sun Oct 24 2004,Kerkyra,2-0,2-0,Panathinaikos
Sun Oct 24 2004,Panionios,1-0,1-0,Ionikos
Sun Oct 24 2004,PAOK,2-2,1-0,Aris
Sun Oct 24 2004,Xanthi,3-0,2-0,Ergotelis
Sat Oct 30 2004,Olympiakos,5-1,4-0,PAOK
Sat Oct 30 2004,Panathinaikos,4-0,1-0,Panionios
Sun Oct 31 2004,Aris,1-1,1-0,AEK
Sun Oct 31 2004,Egaleo,1-1,1-1,Xanthi
Sun Oct 31 2004,Ergotelis,1-1,0-0,Chalkidona
Sun Oct 31 2004,Ionikos,1-0,0-0,Iraklis
Sun Oct 31 2004,Kalamaria,3-0,1-0,Kerkyra
Sun Oct 31 2004,Kalithea,3-1,2-0,OFI
Sat Nov 6 2004,OFI,1-1,0-1,Aris
Sat Nov 6 2004,Xanthi,2-0,2-0,Chalkidona
Sun Nov 7 2004,AEK,0-0,0-0,Olympiakos
Sun Nov 7 2004,Ionikos,0-0,0-0,Kalithea
Sun Nov 7 2004,Iraklis,0-4,0-2,Panathinaikos
Sun Nov 7 2004,Kerkyra,0-1,0-1,Egaleo
Sun Nov 7 2004,Panionios,0-0,0-0,Kalamaria
Sun Nov 7 2004,PAOK,0-2,0-0,Ergotelis
Sat Nov 20 2004,Olympiakos,3-0,1-0,OFI
Sat Nov 20 2004,Panathinaikos,1-0,1-0,Kalithea
Sun Nov 21 2004,Aris,0-2,0-1,Ionikos
Sun Nov 21 2004,Chalkidona,2-0,0-0,PAOK
Sun Nov 21 2004,Egaleo,0-0,0-0,Panionios
Sun Nov 21 2004,Ergotelis,0-1,0-0,AEK
Sun Nov 21 2004,Kalamaria,1-3,1-1,Iraklis
Sun Nov 21 2004,Kerkyra,3-0,2-0,Xanthi
Sat Nov 27 2004,OFI,5-0,3-0,Ergotelis
Sat Nov 27 2004,Panionios,3-1,1-0,Kerkyra
Sun Nov 28 2004,AEK,1-0,1-0,Chalkidona
Sun Nov 28 2004,Aris,1-1,0-0,Panathinaikos
Sun Nov 28 2004,Ionikos,0-4,0-3,Olympiakos
Sun Nov 28 2004,Iraklis,2-2,1-2,Egaleo
Sun Nov 28 2004,Kalithea,1-1,0-0,Kalamaria
Sun Nov 28 2004,Xanthi,0-2,0-0,PAOK
Sat Dec 4 2004,Kerkyra,1-2,0-1,Iraklis
Sat Dec 4 2004,Olympiakos,1-0,1-0,Panathinaikos
Sun Dec 5 2004,Chalkidona,2-3,2-1,OFI
Sun Dec 5 2004,Egaleo,1-2,1-1,Kalithea
Sun Dec 5 2004,Ergotelis,2-3,1-2,Ionikos
Sun Dec 5 2004,Kalamaria,0-1,0-1,Aris
Sun Dec 5 2004,Panionios,0-0,0-0,Xanthi
Sun Dec 5 2004,PAOK,1-1,0-0,AEK
Sat Dec 11 2004,Aris,0-0,0-0,Egaleo
Sat Dec 11 2004,Iraklis,0-1,0-1,Panionios
Sat Dec 11 2004,Xanthi,1-1,0-0,AEK
Sun Dec 12 2004,Ionikos,0-0,0-0,Chalkidona
Sun Dec 12 2004,Kalithea,1-2,0-1,Kerkyra
Sun Dec 12 2004,OFI,2-2,1-1,PAOK
Sun Dec 12 2004,Olympiakos,2-0,1-0,Kalamaria
Sun Dec 12 2004,Panathinaikos,1-0,0-0,Ergotelis
Sat Dec 18 2004,Kerkyra,0-0,0-0,Aris
Sun Dec 19 2004,AEK,1-1,0-1,OFI
Sun Dec 19 2004,Chalkidona,0-2,0-1,Panathinaikos
Sun Dec 19 2004,Egaleo,2-2,0-1,Olympiakos
Sun Dec 19 2004,Ergotelis,4-1,0-0,Kalamaria
Sun Dec 19 2004,Iraklis,1-1,1-1,Xanthi
Sun Dec 19 2004,Panionios,1-1,1-0,Kalithea
Sun Dec 19 2004,PAOK,3-0,1-0,Ionikos
Wed Dec 29 2004,Aris,1-0,0-0,Panionios
Wed Dec 29 2004,Ergotelis,2-1,1-0,Egaleo
Wed Dec 29 2004,Ionikos,2-3,1-2,AEK
Wed Dec 29 2004,Kalamaria,0-2,0-1,Chalkidona
Wed Dec 29 2004,Kalithea,2-1,1-1,Iraklis
Wed Dec 29 2004,Olympiakos,3-0,2-0,Kerkyra
Wed Dec 29 2004,Panathinaikos,2-1,1-1,PAOK
Wed Dec 29 2004,Xanthi,2-1,0-0,OFI
Sat Jan 8 2005,Chalkidona,1-1,0-1,Egaleo
Sat Jan 8 2005,Kalithea,2-3,0-0,Xanthi
Sun Jan 9 2005,AEK,1-0,0-0,Panathinaikos
Sun Jan 9 2005,Iraklis,0-0,0-0,Aris
Sun Jan 9 2005,Kerkyra,0-1,0-1,Ergotelis
Sun Jan 9 2005,OFI,2-0,2-0,Ionikos
Sun Jan 9 2005,PAOK,5-2,4-1,Kalamaria
Sat Jan 15 2005,Egaleo,2-1,0-1,PAOK
Sat Jan 15 2005,Kalamaria,2-1,2-0,AEK
Sun Jan 16 2005,Aris,2-2,1-1,Kalithea
Sun Jan 16 2005,Chalkidona,0-0,0-0,Kerkyra
Sun Jan 16 2005,Ergotelis,0-3,0-2,Panionios
Sun Jan 16 2005,Olympiakos,1-0,0-0,Iraklis
Sun Jan 16 2005,Panathinaikos,5-1,2-0,OFI
Mon Jan 17 2005,Xanthi,2-0,1-0,Ionikos
Sat Jan 22 2005,Aris,2-1,1-0,Xanthi
Sat Jan 22 2005,Panionios,0-0,0-0,Chalkidona
Sun Jan 23 2005,AEK,1-0,0-0,Egaleo
