Date,Team 1,FT,HT,Team 2
Sat Aug 7 2004,Airdrie Utd,1-0,0-0,St Johnstone
Sat Aug 7 2004,Clyde,2-1,2-0,Partick
Sat Aug 7 2004,Hamilton,2-0,0-0,Raith Rvs
Sat Aug 7 2004,Queen of Sth,0-1,0-1,Ross County
Sat Aug 7 2004,St Mirren,2-0,0-0,Falkirk
Sat Aug 14 2004,Falkirk,1-1,0-1,Hamilton
Sat Aug 14 2004,Partick,3-2,1-1,Airdrie Utd
Sat Aug 14 2004,Raith Rvs,2-3,0-2,Clyde
Sat Aug 14 2004,Ross County,1-1,1-0,St Mirren
Sat Aug 14 2004,St Johnstone,1-3,0-2,Queen of Sth
Sat Aug 21 2004,Airdrie Utd,1-1,0-1,Raith Rvs
Sat Aug 21 2004,Clyde,1-0,0-0,Ross County
Sat Aug 21 2004,Hamilton,0-1,0-1,Partick
Sat Aug 21 2004,Queen of Sth,1-3,1-1,Falkirk
Sat Aug 21 2004,St Mirren,2-1,0-1,St Johnstone
Sat Aug 28 2004,Falkirk,5-0,2-0,Airdrie Utd
Sat Aug 28 2004,Queen of Sth,0-1,0-1,Clyde
Sat Aug 28 2004,Ross County,0-1,0-0,Partick
Sat Aug 28 2004,St Johnstone,1-0,0-0,Raith Rvs
Sat Aug 28 2004,St Mirren,1-0,1-0,Hamilton
Sat Sep 4 2004,Airdrie Utd,0-1,0-1,Queen of Sth
Sat Sep 4 2004,Clyde,0-0,0-0,St Mirren
Sat Sep 4 2004,Hamilton,1-1,0-0,St Johnstone
Sat Sep 4 2004,Partick,1-4,0-2,Falkirk
Sat Sep 4 2004,Raith Rvs,1-2,0-1,Ross County
Sat Sep 11 2004,Clyde,1-2,1-1,Airdrie Utd
Sat Sep 11 2004,Falkirk,4-2,0-1,Raith Rvs
Sat Sep 11 2004,Queen of Sth,1-1,0-1,Hamilton
Sat Sep 11 2004,Ross County,0-1,0-1,St Johnstone
Sat Sep 11 2004,St Mirren,2-1,0-1,Partick
Sat Sep 18 2004,Airdrie Utd,1-2,1-1,Ross County
Sat Sep 18 2004,Hamilton,0-1,0-1,Clyde
Sat Sep 18 2004,Partick,1-2,1-0,Queen of Sth
Sat Sep 18 2004,Raith Rvs,0-3,0-1,St Mirren
Sat Sep 18 2004,St Johnstone,1-2,0-2,Falkirk
Sat Sep 25 2004,Falkirk,1-1,1-0,Clyde
Sat Sep 25 2004,Hamilton,1-2,1-1,Ross County
Sat Sep 25 2004,Raith Rvs,1-2,1-1,Queen of Sth
Sat Sep 25 2004,St Johnstone,2-1,0-0,Partick
Sat Sep 25 2004,St Mirren,1-1,1-0,Airdrie Utd
Sat Oct 2 2004,Airdrie Utd,0-2,0-0,Hamilton
Sat Oct 2 2004,Clyde,1-0,1-0,St Johnstone
Sat Oct 2 2004,Partick,2-0,2-0,Raith Rvs
Sat Oct 2 2004,Queen of Sth,2-1,2-0,St Mirren
Sat Oct 2 2004,Ross County,0-1,0-1,Falkirk
Sat Oct 16 2004,Airdrie Utd,4-2,2-1,Partick
Sat Oct 16 2004,Clyde,2-0,2-0,Raith Rvs
Sat Oct 16 2004,Hamilton,0-1,0-0,Falkirk
Sat Oct 16 2004,Queen of Sth,0-1,0-0,St Johnstone
Sat Oct 16 2004,St Mirren,3-2,1-1,Ross County
Sat Oct 23 2004,Falkirk,0-0,0-0,St Mirren
Sat Oct 23 2004,Partick,0-0,0-0,Clyde
Sat Oct 23 2004,Raith Rvs,2-2,1-1,Hamilton
Sat Oct 23 2004,Ross County,1-0,0-0,Queen of Sth
Sat Oct 23 2004,St Johnstone,1-1,0-0,Airdrie Utd
Sat Oct 30 2004,Airdrie Utd,1-3,0-2,Falkirk
Sat Oct 30 2004,Clyde,2-0,2-0,Queen of Sth
Sat Oct 30 2004,Hamilton,2-2,1-1,St Mirren
Sat Oct 30 2004,Partick,4-0,2-0,Ross County
Sat Oct 30 2004,Raith Rvs,1-0,1-0,St Johnstone
Sat Nov 6 2004,Queen of Sth,1-0,0-0,Airdrie Utd
Sat Nov 6 2004,St Johnstone,3-0,1-0,Hamilton
Sat Nov 6 2004,St Mirren,0-0,0-0,Clyde
Sat Nov 13 2004,Airdrie Utd,3-1,2-0,Clyde
Sat Nov 13 2004,Hamilton,1-0,0-0,Queen of Sth
Sat Nov 13 2004,Partick,0-3,0-0,St Mirren
Sat Nov 13 2004,Raith Rvs,0-2,0-1,Falkirk
Sat Nov 13 2004,St Johnstone,1-1,1-0,Ross County
Sat Nov 20 2004,Clyde,2-1,1-1,Hamilton
Sat Nov 20 2004,Falkirk,3-1,1-1,St Johnstone
Sat Nov 20 2004,Queen of Sth,1-0,0-0,Partick
Sat Nov 20 2004,Ross County,1-2,1-1,Airdrie Utd
Sat Nov 20 2004,St Mirren,1-0,0-0,Raith Rvs
Tue Nov 23 2004,Falkirk,3-0,0-0,Partick
Tue Nov 23 2004,Ross County,1-1,1-0,Raith
Sat Nov 27 2004,Falkirk,2-2,0-1,Ross County
Sat Nov 27 2004,Hamilton,1-3,1-2,Airdrie Utd
Sat Nov 27 2004,Raith Rvs,0-0,0-0,Partick
Sat Nov 27 2004,St Johnstone,3-0,0-0,Clyde
Sat Nov 27 2004,St Mirren,2-2,0-0,Queen of Sth
Sat Dec 4 2004,Airdrie Utd,3-2,1-1,St Mirren
Sat Dec 4 2004,Clyde,0-2,0-2,Falkirk
Sat Dec 4 2004,Partick,0-4,0-2,St Johnstone
Sat Dec 4 2004,Queen of Sth,2-0,1-0,Raith Rvs
Sat Dec 4 2004,Ross County,1-1,0-0,Hamilton
Sat Dec 11 2004,Airdrie Utd,0-0,0-0,St Johnstone
