Date,Team 1,FT,HT,Team 2
Sat Aug 14 2004,Aston Villa,2-0,2-0,Southampton
Sat Aug 14 2004,Blackburn,1-1,0-1,West Brom
Sat Aug 14 2004,Bolton,4-1,2-0,Charlton
Sat Aug 14 2004,Man City,1-1,1-0,Fulham
Sat Aug 14 2004,Middlesbrough,2-2,0-1,Newcastle
Sat Aug 14 2004,Norwich,1-1,1-0,Crystal Palace
Sat Aug 14 2004,Portsmouth,1-1,1-1,Birmingham
Sat Aug 14 2004,Tottenham,1-1,0-1,Liverpool
Sun Aug 15 2004,Chelsea,1-0,1-0,Man United
Sun Aug 15 2004,Everton,1-4,0-2,Arsenal
Sat Aug 21 2004,Birmingham,0-1,0-0,Chelsea
Sat Aug 21 2004,Charlton,2-1,1-0,Portsmouth
Sat Aug 21 2004,Crystal Palace,1-3,1-1,Everton
Sat Aug 21 2004,Fulham,2-0,1-0,Bolton
Sat Aug 21 2004,Liverpool,2-1,0-1,Man City
Sat Aug 21 2004,Man United,2-1,1-0,Norwich
Sat Aug 21 2004,Newcastle,0-1,0-0,Tottenham
Sat Aug 21 2004,Southampton,3-2,1-0,Blackburn
Sun Aug 22 2004,Arsenal,5-3,1-1,Middlesbrough
Sun Aug 22 2004,West Brom,1-1,1-1,Aston Villa
Tue Aug 24 2004,Birmingham,1-0,1-0,Man City
Tue Aug 24 2004,Crystal Palace,0-2,0-1,Chelsea
Wed Aug 25 2004,Arsenal,3-0,0-0,Blackburn
Wed Aug 25 2004,Charlton,3-0,2-0,Aston Villa
Wed Aug 25 2004,Fulham,0-2,0-0,Middlesbrough
Wed Aug 25 2004,Newcastle,2-2,1-0,Norwich
Wed Aug 25 2004,Southampton,1-2,0-2,Bolton
Wed Aug 25 2004,West Brom,1-1,1-1,Tottenham
Sat Aug 28 2004,Aston Villa,4-2,1-2,Newcastle
Sat Aug 28 2004,Blackburn,1-1,1-0,Man United
Sat Aug 28 2004,Chelsea,2-1,2-1,Southampton
Sat Aug 28 2004,Everton,2-1,1-1,West Brom
Sat Aug 28 2004,Man City,4-0,2-0,Charlton
Sat Aug 28 2004,Middlesbrough,2-1,0-0,Crystal Palace
Sat Aug 28 2004,Norwich,1-4,0-3,Arsenal
Sat Aug 28 2004,Tottenham,1-0,1-0,Birmingham
Sun Aug 29 2004,Bolton,1-0,1-0,Liverpool
Mon Aug 30 2004,Man United,0-0,0-0,Everton
Mon Aug 30 2004,Portsmouth,4-3,3-2,Fulham
Sat Sep 11 2004,Aston Villa,0-0,0-0,Chelsea
Sat Sep 11 2004,Bolton,2-2,0-1,Man United
Sat Sep 11 2004,Fulham,0-3,0-0,Arsenal
Sat Sep 11 2004,Liverpool,3-0,2-0,West Brom
Sat Sep 11 2004,Man City,0-1,0-0,Everton
Sat Sep 11 2004,Middlesbrough,2-1,1-1,Birmingham
Sat Sep 11 2004,Newcastle,3-0,2-0,Blackburn
Sat Sep 11 2004,Portsmouth,3-1,1-1,Crystal Palace
Sun Sep 12 2004,Tottenham,0-0,0-0,Norwich
Mon Sep 13 2004,Charlton,0-0,0-0,Southampton
Sat Sep 18 2004,Arsenal,2-2,1-0,Bolton
Sat Sep 18 2004,Birmingham,1-1,0-0,Charlton
Sat Sep 18 2004,Blackburn,1-0,0-0,Portsmouth
Sat Sep 18 2004,Crystal Palace,1-2,0-0,Man City
