Date,Team 1,FT,HT,Team 2
Sat Aug 23 2008,Buyuksehyr,0-0,0-0,Eskisehirspor
Sat Aug 23 2008,Galatasaray,4-1,1-1,Denizlispor
Sat Aug 23 2008,Gaziantepspor,1-0,0-0,Fenerbahce
Sat Aug 23 2008,Hacettepespor,1-2,1-1,Bursaspor
Sat Aug 23 2008,Sivasspor,0-0,0-0,Kayserispor
Sun Aug 24 2008,Antalyaspor,2-3,2-0,Besiktas
Sun Aug 24 2008,Genclerbirligi,1-1,1-1,Kocaelispor
Sun Aug 24 2008,Konyaspor,3-2,2-1,Ankaragucu
Sun Aug 24 2008,Trabzonspor,2-0,0-0,Ankaraspor
Fri Aug 29 2008,Ankaragucu,1-2,0-2,Trabzonspor
Sat Aug 30 2008,Ankaraspor,0-2,0-1,Gaziantepspor
Sat Aug 30 2008,Fenerbahce,2-0,0-0,Buyuksehyr
Sat Aug 30 2008,Kocaelispor,0-2,0-0,Sivasspor
Sun Aug 31 2008,Bursaspor,2-0,0-0,Genclerbirligi
Sun Aug 31 2008,Denizlispor,3-2,1-0,Antalyaspor
Sun Aug 31 2008,Eskisehirspor,0-0,0-0,Hacettepespor
Sun Aug 31 2008,Kayserispor,0-0,0-0,Galatasaray
Mon Sep 1 2008,Besiktas,2-0,0-0,Konyaspor
Sat Sep 13 2008,Galatasaray,1-1,1-1,Antalyaspor
Sat Sep 13 2008,Hacettepespor,2-1,1-1,Fenerbahce
Sat Sep 13 2008,Kayserispor,1-0,0-0,Kocaelispor
Sat Sep 13 2008,Konyaspor,1-1,0-0,Denizlispor
Sun Sep 14 2008,Buyuksehyr,1-2,0-0,Ankaraspor
Sun Sep 14 2008,Gaziantepspor,2-2,1-0,Ankaragucu
Sun Sep 14 2008,Genclerbirligi,3-1,2-0,Eskisehirspor
Sun Sep 14 2008,Sivasspor,3-1,3-1,Bursaspor
Sun Sep 14 2008,Trabzonspor,0-0,0-0,Besiktas
Fri Sep 19 2008,Denizlispor,0-1,0-0,Trabzonspor
Sat Sep 20 2008,Ankaragucu,0-0,0-0,Buyuksehyr
Sat Sep 20 2008,Eskisehirspor,2-2,1-0,Sivasspor
Sat Sep 20 2008,Fenerbahce,3-0,1-0,Genclerbirligi
Sun Sep 21 2008,Ankaraspor,4-0,4-0,Hacettepespor
Sun Sep 21 2008,Antalyaspor,0-1,0-0,Konyaspor
Sun Sep 21 2008,Besiktas,3-0,1-0,Gaziantepspor
Sun Sep 21 2008,Bursaspor,1-0,1-0,Kayserispor
Sun Sep 21 2008,Kocaelispor,1-4,1-1,Galatasaray
Fri Sep 26 2008,Sivasspor,2-1,0-1,Fenerbahce
Sat Sep 27 2008,Buyuksehyr,1-1,0-1,Besiktas
Sat Sep 27 2008,Genclerbirligi,1-1,0-0,Ankaraspor
Sat Sep 27 2008,Kocaelispor,2-3,2-2,Bursaspor
