Date,Team 1,FT,HT,Team 2
Sat Aug 16 2008,Cercle Brugge,0-3,0-1,Anderlecht
Sat Aug 16 2008,Dender,1-3,0-1,Standard
Sat Aug 16 2008,Roeselare,2-2,1-1,Kortrijk
Sat Aug 16 2008,Tubize,1-2,0-1,Mouscron
Sat Aug 16 2008,Waregem,0-0,0-0,Lokeren
Sat Aug 16 2008,Westerlo,1-0,1-0,Charleroi
Sun Aug 17 2008,Genk,1-1,1-0,Germinal
Sun Aug 17 2008,Gent,5-0,3-0,Bergen
Sat Aug 23 2008,Anderlecht,2-2,2-2,Gent
Sat Aug 23 2008,Charleroi,1-0,0-0,Roeselare
Sat Aug 23 2008,Germinal,1-1,1-1,Dender
Sat Aug 23 2008,Kortrijk,2-1,1-0,Cercle Brugge
Sat Aug 23 2008,Lokeren,4-1,2-0,Tubize
Sat Aug 23 2008,Mouscron,3-1,1-1,Mechelen
Sat Aug 23 2008,Standard,3-0,2-0,Westerlo
Sun Aug 24 2008,Bergen,3-1,2-0,Genk
Fri Aug 29 2008,Tubize,1-4,0-3,Club Brugge
Sat Aug 30 2008,Anderlecht,4-0,2-0,Kortrijk
Sat Aug 30 2008,Cercle Brugge,2-1,1-0,Bergen
Sat Aug 30 2008,Dender,1-2,0-1,Mouscron
Sat Aug 30 2008,Genk,1-0,0-0,Lokeren
Sat Aug 30 2008,Mechelen,0-2,0-0,Waregem
Sat Aug 30 2008,Westerlo,1-0,0-0,Germinal
Sun Aug 31 2008,Gent,2-0,1-0,Charleroi
Sun Aug 31 2008,Roeselare,1-1,0-1,Standard
Sat Sep 13 2008,Bergen,1-2,1-1,Anderlecht
Sat Sep 13 2008,Club Brugge,1-1,0-1,Dender
Sat Sep 13 2008,Germinal,3-0,0-0,Roeselare
Sat Sep 13 2008,Lokeren,1-1,1-0,Westerlo
Sat Sep 13 2008,Mechelen,0-0,0-0,Tubize
Sat Sep 13 2008,Mouscron,4-2,3-0,Gent
Sat Sep 13 2008,Standard,2-0,1-0,Kortrijk
Sun Sep 14 2008,Charleroi,3-2,2-2,Cercle Brugge
Sun Sep 14 2008,Waregem,1-3,1-1,Genk
Fri Sep 19 2008,Anderlecht,2-0,0-0,Charleroi
Sat Sep 20 2008,Cercle Brugge,1-0,1-0,Germinal
Sat Sep 20 2008,Dender,2-0,1-0,Waregem
Sat Sep 20 2008,Gent,1-2,1-1,Mechelen
Sat Sep 20 2008,Kortrijk,1-0,1-0,Bergen
Sat Sep 20 2008,Roeselare,0-1,0-0,Lokeren
Sat Sep 20 2008,Westerlo,0-0,0-0,Mouscron
Sun Sep 21 2008,Genk,0-1,0-0,Club Brugge
Sun Sep 21 2008,Tubize,0-1,0-1,Standard
Wed Sep 24 2008,Mechelen,1-1,0-1,Club Brugge
Fri Sep 26 2008,Standard,2-1,0-0,Anderlecht
Sat Sep 27 2008,Bergen,2-0,1-0,Roeselare
Sat Sep 27 2008,Charleroi,1-2,0-0,Kortrijk
Sat Sep 27 2008,Club Brugge,2-0,1-0,Westerlo
Sat Sep 27 2008,Lokeren,1-1,1-1,Cercle Brugge
Sat Sep 27 2008,Waregem,1-0,0-0,Tubize
Sun Sep 28 2008,Germinal,2-2,1-0,Gent
Sun Sep 28 2008,Mouscron,1-2,1-0,Genk
Mon Sep 29 2008,Mechelen,4-1,4-0,Dender
Fri Oct 3 2008,Anderlecht,2-1,1-0,Mouscron
